Mechanism,Short Name,Species,Reactions,Stoichiometric Invariants,Largest Merged Group,# Merged Groups,Coproduction Index,Kinetic Invariants,Broken Null Cycles,References and Source Notes
Small Strato,SmallStrato,5,10,1,2,1,1,0,1,"(Zaveri & Peters, 1999)"
Julia Photochem v0.2,JPMv0.2,11,10,2,2,1,1,1,0,"(Sturm & Wexler, 2022)"
Julia Photochem v1.1,JPMv1.1,16,13,5,2,1,1,1,0,"(Sturm & Silva, 2024)"
Form85,Form85,12,25,1,3,5,6,0,6,"(Vajda et al., 1985) is the first obtainable reference"
Superfast,Superfast,15,32,0,3,5,6,1,5,"Original reference (Cameron-Smith et al., 2006), obtained in KPP format from Kelp et al. (2022) and added sulfate chem back based on table S2 of the supplement of (Brown-Steiner et al., 2018)4/21/26 4:05:00 PM"
Verwer1994 (POLLU),POLLU,20,25,3,2,4,4,0,4,"(Verwer, 1994) is the first obtainable reference"
Logan1981,Logan81,29,54,3,3,8,9,1,8,"(Logan et al., 1981) table 1, gas-phase mechanism reactions 1-49. Note that we expand branching reaction and reversible reactions as their own reactions, leading to a higher count of overall reactions. The original paper used an O1D quantum yield of unity (100%) from O3 photolysis in reaction 40, which we preserve."
GEOS-Chem Hg,GC-Hg,32,91,2,11,24,65,4,61,"(Shah et al., 2021), exact KPP version downloaded as part of GC14.6.3: https://doi.org/10.5281/zenodo.16538682 ; 3 null reactions not included in reaction count."
E3SM-chem,E3SM,46,103,1,3,15,19,1,18,"(Tang et al., 2025) obtained from data availability statement https://github.com/E3SM-Project/E3SM/blob/master/components/eam/src/chemistry/pp_chemuci_linozv3_mam5_vbs/chem_mech.in, last access February 12, 2026 ; 1 null reaction not included in reaction count."
CBM-Z,CBM-Z,67,139,7,3,9,10,0,10,"(Zaveri & Peters, 1999),* ; 3 null reactions not included in reaction count."
RADM2,RADM2,59,156,2,2,9,9,0,9,"(Stockwell et al., 1990),*"
SAPRC99,SAPRC99,74,210,1,2,13,13,0,13,"(Carter, 2000), part of KPP software examples (Damian et al., 2002; Lin et al., 2023) ; 1 null reaction not included in reaction count."
CB05-TUCl,CB05,82,205,7,4,12,14,0,14,"(Whitten et al., 2010),*"
RACM,RACM,82,250,1,2,13,13,0,13,"(Stockwell et al., 1997)"
CRACMM2,CRACMM2,196,531,4,4,16,22,0,22,"(Pye et al., 2023; Skipper et al., 2024)"
CRACMM3 ,CRACMM3,226,614,5,4,23,35,0,35,"Downloaded from the CRACMM Repo Update Oct 2025: https://doi.org/10.23719/d-tdzv. Note: adding the eliminated element tracking species adds 3 species, but only 1 additional stoichiometric invariant, indicating that 2 of 3 of the balance species do not close the atom balance"
MOZART-4,MOZART-4,81,196,0,3,16,17,0,17,"(Emmons et al., 2010),*"
MOZART-T1,MOZART-T1,155,360,0,3,39,41,0,41,"(Emmons et al., 2020),*"
"AMORE-Isoprene v2.0, 109 isoprene-derived species",AMORE,133,330,0,4,32,42,0,42,"(Wiser et al., 2025) downloaded from https://doi.org/10.5281/zenodo.15026991. Wiser et al. (2025) found that the 133-species AMORE-Isoprene mechanism had better fidelity compared to CIM than its comparable size RCIM (pink vs orange points in Figure 2 and Figure 3b of Wiser et al. (2025) – note the number of species discrepancy is because the number in the reference includes only isoprene-derived species). As neither AMORE-Isoprene nor RCIM has stoichiometric invariants or emergent conservation from kinetic invariants, neither has an effective dimensionality lower than its respective number of species. Reduced intrinsic dimensionality from emergent conservation can be ruled out as a structural cause of the difference in fidelity between RCIM and its comparatively sized AMORE-Isoprene mechanism. "
PACT-1D-HALOGENS-v1.1,PACT-1D,167,512,9,4,36,49,1,48,"(Ahmed et al., 2022) and Zenodo https://doi.org/10.5281/zenodo.6045999 ; 1 null reaction not included in reaction count."
Caltech reduced plus v5,RCIM,145,379,0,5,64,85,0,85,"(Wennberg et al., 2018) downloaded from (Bates & Wennberg, 2017)"
