! This is the bipartite species-reaction graph of an automatically reduced
! isoprene oxidation mechanism from the AMORE 2.0 algorithm
! Wiser et al. (2025): https://doi.org/10.1093/pnasnexus/pgaf273
! We use the 135 species, 330 reaction version from this paper
! Parsed from a MATLAB f0am script with Julia
! Note from Obin Nov 10 2025:
! Downloaded from Zenodo archive https://zenodo.org/records/15026992
! 135 species mechanism only present in 'fcw2110/fcw2110-AMORE-2.0-2661568/Supporting Files/Reduced Isoprene Mechanisms/AMORE_with_stiffness_reduction'
! The following are the notes from Woods Wiser:
! Three sets of isoprene mechanisms.
! One with rate constant optimization but no stiffness reduction,
! one with rate constant optimization and stiffness reduction,
! one with stiffness reduction but no rate constant optimization.
!
! The numbers correspond to the desired number of species set in the inputs to the algorithm.
! The numbers reported in the paper are lower because the number here includes non-isoprene species
! which are not counted. The 42 species mechanism corresponds to the 15 species mechanism reported
! in the paper. 135, and 100 here are the 109 and 74 species mechanisms from the paper.
!
!
!
!
!
!
!
# species_index (starts from 1),reaction_index (starts from 1),from,to, directed stoichiometric value
7,1, ISOP,R1: ISOP + OH = ISOP1OHc + ISOP1OHt + ISOP4OHc + ISOP4OHt,-1
8,1,R1: ISOP + OH = ISOP1OHc + ISOP1OHt + ISOP4OHc + ISOP4OHt,ISOP1OHt,0.31500000000000006
9,1,R1: ISOP + OH = ISOP1OHc + ISOP1OHt + ISOP4OHc + ISOP4OHt,ISOP1OHc,0.31500000000000006
10,1,R1: ISOP + OH = ISOP1OHc + ISOP1OHt + ISOP4OHc + ISOP4OHt,ISOP4OHt,0.11099999999999997
11,1,R1: ISOP + OH = ISOP1OHc + ISOP1OHt + ISOP4OHc + ISOP4OHt,ISOP4OHc,0.25899999999999995
426,1, OH,R1: ISOP + OH = ISOP1OHc + ISOP1OHt + ISOP4OHc + ISOP4OHt,-1
12,2, ISOP1OH2OO,R2: ISOP1OH2OO + NO = NO2 + MVK + HO2 + HCHO + ISOP1OH2N,-1
20,2,R2: ISOP1OH2OO + NO = NO2 + MVK + HO2 + HCHO + ISOP1OH2N,MVK,0.8565864451677034
24,2,R2: ISOP1OH2OO + NO = NO2 + MVK + HO2 + HCHO + ISOP1OH2N,ISOP1OH2N,0.14341355483229654
38,2,R2: ISOP1OH2OO + NO = NO2 + MVK + HO2 + HCHO + ISOP1OH2N,HCHO,0.8565864451677034
427,2,R2: ISOP1OH2OO + NO = NO2 + MVK + HO2 + HCHO + ISOP1OH2N,HO2,0.8565864451677034
428,2, NO,R2: ISOP1OH2OO + NO = NO2 + MVK + HO2 + HCHO + ISOP1OH2N,-1
429,2,R2: ISOP1OH2OO + NO = NO2 + MVK + HO2 + HCHO + ISOP1OH2N,NO2,0.8565864451677034
14,3, ISOP1OH4OOc,R3: ISOP1OH4OOc + NO = NO2 + HO2 + ISOP1CO4OH + ISOP1CO2OO3OOH4OH + IHN,-1
22,3,R3: ISOP1OH4OOc + NO = NO2 + HO2 + ISOP1CO4OH + ISOP1CO2OO3OOH4OH + IHN,ISOP1CO4OH,0.3946781033789962
31,3,R3: ISOP1OH4OOc + NO = NO2 + HO2 + ISOP1CO4OH + ISOP1CO2OO3OOH4OH + IHN,ISOP1CO2OO3OOH4OH,0.4823957615648632
