! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Sparse Biadjacency Matrix, aka Stoichiometric Matrix, in CSV format
! 
! Generated by KPP-3.3.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : CB05TUCl_EPA_BiadjacencyMatrix.csv
! Equation file        : CB05TUCl_EPA.kpp
! Output root filename : CB05TUCl_EPA
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



spc_name,species_index,reaction_index,stoichiometric_coefficient
NO,74,1,1
O,78,1,1
NO2,81,1,-1
O2,25,2,-1
O3,71,2,1
O,78,2,-1
O3,71,3,-1
NO,74,3,-1
NO2,81,3,1
NO,74,4,1
O,78,4,-1
NO2,81,4,-1
O,78,5,-1
NO3,79,5,1
NO2,81,5,-1
NO,74,6,-1
O,78,6,-1
NO2,81,6,1
O3,71,7,-1
NO3,79,7,1
NO2,81,7,-1
O3,71,8,-1
O,78,8,1
O1D,24,9,1
O3,71,9,-1
O1D,24,10,-1
O,78,10,1
O1D,24,11,-1
OH,72,11,2
O3,71,12,-1
OH,72,12,-1
HO2,82,12,1
O3,71,13,-1
OH,72,13,1
HO2,82,13,-1
O,78,14,1
NO3,79,14,-1
NO2,81,14,1
NO,74,15,1
NO3,79,15,-1
NO,74,16,-1
NO3,79,16,-1
NO2,81,16,2
NO,74,17,1
NO3,79,17,-1
N2O5,23,18,1
NO3,79,18,-1
NO2,81,18,-1
N2O5,23,19,-1
HNO3,52,19,2
N2O5,23,20,-1
HNO3,52,20,2
N2O5,23,21,-1
NO3,79,21,1
NO2,81,21,1
O2,25,22,-1
NO,74,22,-2
NO2,81,22,2
HONO,27,23,2
NO,74,23,-1
NO2,81,23,-1
HONO,27,24,1
OH,72,24,-1
NO,74,24,-1
HONO,27,25,-1
OH,72,25,1
NO,74,25,1
HONO,27,26,-1
OH,72,26,-1
NO2,81,26,1
HONO,27,27,-2
NO,74,27,1
NO2,81,27,1
HNO3,52,28,1
OH,72,28,-1
NO2,81,28,-1
HNO3,52,29,-1
OH,72,29,-1
NO3,79,29,1
OH,72,30,1
NO,74,30,-1
NO2,81,30,1
HO2,82,30,-1
PNA,32,31,1
NO2,81,31,-1
HO2,82,31,-1
PNA,32,32,-1
NO2,81,32,1
HO2,82,32,1
PNA,32,33,-1
OH,72,33,-1
NO2,81,33,1
H2O2,26,34,1
HO2,82,34,-2
H2O2,26,35,1
HO2,82,35,-2
H2O2,26,36,-1
OH,72,36,2
H2O2,26,37,-1
OH,72,37,-1
HO2,82,37,1
H2,22,38,-1
O1D,24,38,-1
OH,72,38,1
HO2,82,38,1
H2,22,39,-1
OH,72,39,-1
HO2,82,39,1
OH,72,40,-1
O,78,40,-1
HO2,82,40,1
OH,72,41,-2
O,78,41,1
H2O2,26,42,1
OH,72,42,-2
OH,72,43,-1
HO2,82,43,-1
OH,72,44,1
O,78,44,-1
HO2,82,44,-1
H2O2,26,45,-1
OH,72,45,1
O,78,45,-1
HO2,82,45,1
O,78,46,-1
NO3,79,46,-1
NO2,81,46,1
OH,72,47,-1
NO3,79,47,-1
NO2,81,47,1
HO2,82,47,1
HNO3,52,48,1
NO3,79,48,-1
HO2,82,48,-1
O3,71,49,-1
NO3,79,49,-1
NO2,81,49,1
NO3,79,50,-2
NO2,81,50,2
PNA,32,51,-1
OH,72,51,0.39
NO3,79,51,0.39
NO2,81,51,0.61
HO2,82,51,0.61
HNO3,52,52,-1
OH,72,52,1
NO2,81,52,1
N2O5,23,53,-1
NO3,79,53,1
NO2,81,53,1
XO2,73,54,-1
NO,74,54,-1
NO2,81,54,1
XO2N,63,55,-1
NTR,70,55,1
NO,74,55,-1
ROOH,41,56,1
XO2,73,56,-1
HO2,82,56,-1
ROOH,41,57,1
XO2N,63,57,-1
HO2,82,57,-1
XO2,73,58,-2
XO2N,63,59,-2
XO2N,63,60,-1
XO2,73,60,-1
HNO3,52,61,1
PAR,64,61,-0.66
ALDX,67,61,0.33
ALD2,68,61,0.33
FORM,69,61,0.33
NTR,70,61,-1
OH,72,61,-1
HO2,82,61,1
PAR,64,62,-0.66
ALDX,67,62,0.33
ALD2,68,62,0.33
FORM,69,62,0.33
NTR,70,62,-1
NO2,81,62,1
HO2,82,62,1
ROOH,41,63,-1
ALDX,67,63,0.5
ALD2,68,63,0.5
OH,72,63,-1
XO2,73,63,1
ROOH,41,64,-1
ALDX,67,64,0.5
ALD2,68,64,0.5
OH,72,64,1
HO2,82,64,1
CO,54,65,-1
OH,72,65,-1
HO2,82,65,1
OH,72,66,-1
MEO2,76,66,1
FORM,69,67,1
NO,74,67,-1
MEO2,76,67,-1
NO2,81,67,1
HO2,82,67,1
MEPX,46,68,1
MEO2,76,68,-1
HO2,82,68,-1
MEOH,35,69,0.63
FORM,69,69,1.37
MEO2,76,69,-2
HO2,82,69,0.74
MEPX,46,70,-1
OH,72,70,-1
XO2,73,70,0.3
MEO2,76,70,0.7
HO2,82,70,0.3
MEPX,46,71,-1
FORM,69,71,1
OH,72,71,1
HO2,82,71,1
MEOH,35,72,-1
FORM,69,72,1
OH,72,72,-1
HO2,82,72,1
CO,54,73,1
FORM,69,73,-1
OH,72,73,-1
HO2,82,73,1
CO,54,74,1
FORM,69,74,-1
HO2,82,74,2
CO,54,75,1
FORM,69,75,-1
CO,54,76,1
FORM,69,76,-1
OH,72,76,1
O,78,76,-1
HO2,82,76,1
HNO3,52,77,1
CO,54,77,1
FORM,69,77,-1
NO3,79,77,-1
HO2,82,77,1
HCO3,40,78,1
FORM,69,78,-1
HO2,82,78,-1
HCO3,40,79,-1
FORM,69,79,1
HO2,82,79,1
FACD,29,80,1
HCO3,40,80,-1
NO,74,80,-1
NO2,81,80,1
HO2,82,80,1
HCO3,40,81,-1
MEPX,46,81,1
HO2,82,81,-1
FACD,29,82,-1
OH,72,82,-1
HO2,82,82,1
ALD2,68,83,-1
OH,72,83,1
C2O3,75,83,1
O,78,83,-1
ALD2,68,84,-1
OH,72,84,-1
C2O3,75,84,1
HNO3,52,85,1
ALD2,68,85,-1
C2O3,75,85,1
NO3,79,85,-1
CO,54,86,1
ALD2,68,86,-1
MEO2,76,86,1
HO2,82,86,1
NO,74,87,-1
C2O3,75,87,-1
MEO2,76,87,1
NO2,81,87,1
PAN,21,88,1
C2O3,75,88,-1
NO2,81,88,-1
PAN,21,89,-1
C2O3,75,89,1
NO2,81,89,1
PAN,21,90,-1
C2O3,75,90,1
NO2,81,90,1
PACD,30,91,0.8
AACD,33,91,0.2
O3,71,91,0.2
C2O3,75,91,-1
HO2,82,91,-1
AACD,33,92,0.1
FORM,69,92,1
C2O3,75,92,-1
MEO2,76,92,-0.1
HO2,82,92,0.9
AACD,33,93,0.1
XO2,73,93,-1
C2O3,75,93,-1
MEO2,76,93,0.9
C2O3,75,94,-2
MEO2,76,94,2
PACD,30,95,-1
OH,72,95,-1
C2O3,75,95,1
PACD,30,96,-1
OH,72,96,1
MEO2,76,96,1
AACD,33,97,-1
OH,72,97,-1
MEO2,76,97,1
ALDX,67,98,-1
OH,72,98,1
O,78,98,-1
CXO3,80,98,1
ALDX,67,99,-1
OH,72,99,-1
CXO3,80,99,1
HNO3,52,100,1
ALDX,67,100,-1
NO3,79,100,-1
CXO3,80,100,1
CO,54,101,1
ALDX,67,101,-1
MEO2,76,101,1
HO2,82,101,1
ALD2,68,102,1
XO2,73,102,1
NO,74,102,-1
CXO3,80,102,-1
NO2,81,102,1
HO2,82,102,1
PANX,31,103,1
CXO3,80,103,-1
NO2,81,103,-1
PANX,31,104,-1
CXO3,80,104,1
NO2,81,104,1
PANX,31,105,-1
CXO3,80,105,1
NO2,81,105,1
PANX,31,106,-1
ALD2,68,106,1
OH,72,106,-1
