! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Representation of the mechanism as a bipartite species-reaction graph in CSV format
! 
! Generated by KPP-3.3.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : CB05TUCl_EPA_EdgeList.csv
! Equation file        : CB05TUCl_EPA.kpp
! Output root filename : CB05TUCl_EPA
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



# species_index (starts from 1),reaction_index (starts from 1),from,to, directed stoichiometric value
74,1,R1,NO,1
78,1,R1,O,1
81,1,NO2,R1,-1
25,2,O2,R2,-1
71,2,R2,O3,1
78,2,O,R2,-1
71,3,O3,R3,-1
74,3,NO,R3,-1
81,3,R3,NO2,1
74,4,R4,NO,1
78,4,O,R4,-1
81,4,NO2,R4,-1
78,5,O,R5,-1
79,5,R5,NO3,1
81,5,NO2,R5,-1
74,6,NO,R6,-1
78,6,O,R6,-1
81,6,R6,NO2,1
71,7,O3,R7,-1
79,7,R7,NO3,1
81,7,NO2,R7,-1
71,8,O3,R8,-1
78,8,R8,O,1
24,9,R9,O1D,1
71,9,O3,R9,-1
24,10,O1D,R10,-1
78,10,R10,O,1
24,11,O1D,R11,-1
72,11,R11,OH,2
71,12,O3,R12,-1
72,12,OH,R12,-1
82,12,R12,HO2,1
71,13,O3,R13,-1
72,13,R13,OH,1
82,13,HO2,R13,-1
78,14,R14,O,1
79,14,NO3,R14,-1
81,14,R14,NO2,1
74,15,R15,NO,1
79,15,NO3,R15,-1
74,16,NO,R16,-1
79,16,NO3,R16,-1
81,16,R16,NO2,2
74,17,R17,NO,1
79,17,NO3,R17,-1
81,17,NO2,R17,-1
81,17,R17,NO2,1
23,18,R18,N2O5,1
79,18,NO3,R18,-1
81,18,NO2,R18,-1
23,19,N2O5,R19,-1
52,19,R19,HNO3,2
23,20,N2O5,R20,-1
52,20,R20,HNO3,2
23,21,N2O5,R21,-1
79,21,R21,NO3,1
81,21,R21,NO2,1
25,22,O2,R22,-1
74,22,NO,R22,-2
81,22,R22,NO2,2
27,23,R23,HONO,2
74,23,NO,R23,-1
81,23,NO2,R23,-1
27,24,R24,HONO,1
72,24,OH,R24,-1
74,24,NO,R24,-1
27,25,HONO,R25,-1
72,25,R25,OH,1
74,25,R25,NO,1
27,26,HONO,R26,-1
72,26,OH,R26,-1
81,26,R26,NO2,1
27,27,HONO,R27,-2
74,27,R27,NO,1
81,27,R27,NO2,1
52,28,R28,HNO3,1
72,28,OH,R28,-1
81,28,NO2,R28,-1
52,29,HNO3,R29,-1
72,29,OH,R29,-1
79,29,R29,NO3,1
72,30,R30,OH,1
74,30,NO,R30,-1
81,30,R30,NO2,1
82,30,HO2,R30,-1
32,31,R31,PNA,1
81,31,NO2,R31,-1
82,31,HO2,R31,-1
32,32,PNA,R32,-1
81,32,R32,NO2,1
82,32,R32,HO2,1
32,33,PNA,R33,-1
72,33,OH,R33,-1
81,33,R33,NO2,1
26,34,R34,H2O2,1
82,34,HO2,R34,-2
26,35,R35,H2O2,1
82,35,HO2,R35,-2
26,36,H2O2,R36,-1
72,36,R36,OH,2
26,37,H2O2,R37,-1
72,37,OH,R37,-1
82,37,R37,HO2,1
22,38,H2,R38,-1
24,38,O1D,R38,-1
72,38,R38,OH,1
82,38,R38,HO2,1
22,39,H2,R39,-1
72,39,OH,R39,-1
82,39,R39,HO2,1
72,40,OH,R40,-1
78,40,O,R40,-1
82,40,R40,HO2,1
72,41,OH,R41,-2
78,41,R41,O,1
26,42,R42,H2O2,1
72,42,OH,R42,-2
72,43,OH,R43,-1
82,43,HO2,R43,-1
72,44,R44,OH,1
78,44,O,R44,-1
82,44,HO2,R44,-1
26,45,H2O2,R45,-1
72,45,R45,OH,1
78,45,O,R45,-1
82,45,R45,HO2,1
78,46,O,R46,-1
79,46,NO3,R46,-1
81,46,R46,NO2,1
72,47,OH,R47,-1
79,47,NO3,R47,-1
81,47,R47,NO2,1
82,47,R47,HO2,1
52,48,R48,HNO3,1
79,48,NO3,R48,-1
82,48,HO2,R48,-1
71,49,O3,R49,-1
79,49,NO3,R49,-1
81,49,R49,NO2,1
79,50,NO3,R50,-2
81,50,R50,NO2,2
32,51,PNA,R51,-1
72,51,R51,OH,0.39
79,51,R51,NO3,0.39
81,51,R51,NO2,0.61
82,51,R51,HO2,0.61
52,52,HNO3,R52,-1
72,52,R52,OH,1
81,52,R52,NO2,1
23,53,N2O5,R53,-1
79,53,R53,NO3,1
81,53,R53,NO2,1
73,54,XO2,R54,-1
74,54,NO,R54,-1
81,54,R54,NO2,1
63,55,XO2N,R55,-1
70,55,R55,NTR,1
74,55,NO,R55,-1
41,56,R56,ROOH,1
73,56,XO2,R56,-1
82,56,HO2,R56,-1
41,57,R57,ROOH,1
63,57,XO2N,R57,-1
82,57,HO2,R57,-1
73,58,XO2,R58,-2
63,59,XO2N,R59,-2
63,60,XO2N,R60,-1
73,60,XO2,R60,-1
52,61,R61,HNO3,1
64,61,R61,PAR,-0.66
67,61,R61,ALDX,0.33
68,61,R61,ALD2,0.33
69,61,R61,FORM,0.33
70,61,NTR,R61,-1
72,61,OH,R61,-1
82,61,R61,HO2,1
64,62,R62,PAR,-0.66
67,62,R62,ALDX,0.33
68,62,R62,ALD2,0.33
69,62,R62,FORM,0.33
70,62,NTR,R62,-1
81,62,R62,NO2,1
82,62,R62,HO2,1
41,63,ROOH,R63,-1
67,63,R63,ALDX,0.5
68,63,R63,ALD2,0.5
72,63,OH,R63,-1
73,63,R63,XO2,1
41,64,ROOH,R64,-1
67,64,R64,ALDX,0.5
68,64,R64,ALD2,0.5
72,64,R64,OH,1
82,64,R64,HO2,1
54,65,CO,R65,-1
72,65,OH,R65,-1
82,65,R65,HO2,1
72,66,OH,R66,-1
76,66,R66,MEO2,1
69,67,R67,FORM,1
74,67,NO,R67,-1
76,67,MEO2,R67,-1
81,67,R67,NO2,1
82,67,R67,HO2,1
46,68,R68,MEPX,1
76,68,MEO2,R68,-1
82,68,HO2,R68,-1
35,69,R69,MEOH,0.63
69,69,R69,FORM,1.37
76,69,MEO2,R69,-2
82,69,R69,HO2,0.74
46,70,MEPX,R70,-1
72,70,OH,R70,-1
73,70,R70,XO2,0.3
76,70,R70,MEO2,0.7
82,70,R70,HO2,0.3
46,71,MEPX,R71,-1
69,71,R71,FORM,1
72,71,R71,OH,1
82,71,R71,HO2,1
35,72,MEOH,R72,-1
69,72,R72,FORM,1
72,72,OH,R72,-1
82,72,R72,HO2,1
54,73,R73,CO,1
69,73,FORM,R73,-1
72,73,OH,R73,-1
82,73,R73,HO2,1
54,74,R74,CO,1
69,74,FORM,R74,-1
82,74,R74,HO2,2
54,75,R75,CO,1
69,75,FORM,R75,-1
54,76,R76,CO,1
69,76,FORM,R76,-1
72,76,R76,OH,1
78,76,O,R76,-1
82,76,R76,HO2,1
52,77,R77,HNO3,1
54,77,R77,CO,1
69,77,FORM,R77,-1
79,77,NO3,R77,-1
82,77,R77,HO2,1
40,78,R78,HCO3,1
69,78,FORM,R78,-1
82,78,HO2,R78,-1
40,79,HCO3,R79,-1
69,79,R79,FORM,1
82,79,R79,HO2,1
29,80,R80,FACD,1
40,80,HCO3,R80,-1
74,80,NO,R80,-1
81,80,R80,NO2,1
82,80,R80,HO2,1
40,81,HCO3,R81,-1
46,81,R81,MEPX,1
82,81,HO2,R81,-1
29,82,FACD,R82,-1
72,82,OH,R82,-1
82,82,R82,HO2,1
68,83,ALD2,R83,-1
72,83,R83,OH,1
75,83,R83,C2O3,1
78,83,O,R83,-1
68,84,ALD2,R84,-1
72,84,OH,R84,-1
75,84,R84,C2O3,1
52,85,R85,HNO3,1
68,85,ALD2,R85,-1
75,85,R85,C2O3,1
79,85,NO3,R85,-1
54,86,R86,CO,1
68,86,ALD2,R86,-1
76,86,R86,MEO2,1
82,86,R86,HO2,1
74,87,NO,R87,-1
75,87,C2O3,R87,-1
76,87,R87,MEO2,1
81,87,R87,NO2,1
21,88,R88,PAN,1
75,88,C2O3,R88,-1
81,88,NO2,R88,-1
21,89,PAN,R89,-1
75,89,R89,C2O3,1
81,89,R89,NO2,1
21,90,PAN,R90,-1
75,90,R90,C2O3,1
81,90,R90,NO2,1
30,91,R91,PACD,0.8
33,91,R91,AACD,0.2
71,91,R91,O3,0.2
75,91,C2O3,R91,-1
82,91,HO2,R91,-1
33,92,R92,AACD,0.1
69,92,R92,FORM,1
75,92,C2O3,R92,-1
76,92,MEO2,R92,-1
76,92,R92,MEO2,0.9
82,92,R92,HO2,0.9
33,93,R93,AACD,0.1
73,93,XO2,R93,-1
75,93,C2O3,R93,-1
76,93,R93,MEO2,0.9
75,94,C2O3,R94,-2
76,94,R94,MEO2,2
30,95,PACD,R95,-1
72,95,OH,R95,-1
75,95,R95,C2O3,1
30,96,PACD,R96,-1
72,96,R96,OH,1
76,96,R96,MEO2,1
33,97,AACD,R97,-1
72,97,OH,R97,-1
76,97,R97,MEO2,1
67,98,ALDX,R98,-1
72,98,R98,OH,1
78,98,O,R98,-1
80,98,R98,CXO3,1
67,99,ALDX,R99,-1
72,99,OH,R99,-1
80,99,R99,CXO3,1
52,100,R100,HNO3,1
67,100,ALDX,R100,-1
79,100,NO3,R100,-1
80,100,R100,CXO3,1
54,101,R101,CO,1
67,101,ALDX,R101,-1
76,101,R101,MEO2,1
82,101,R101,HO2,1
68,102,R102,ALD2,1
73,102,R102,XO2,1
74,102,NO,R102,-1
80,102,CXO3,R102,-1
81,102,R102,NO2,1
82,102,R102,HO2,1
31,103,R103,PANX,1
80,103,CXO3,R103,-1
81,103,NO2,R103,-1
31,104,PANX,R104,-1
80,104,R104,CXO3,1
81,104,R104,NO2,1
31,105,PANX,R105,-1
80,105,R105,CXO3,1
81,105,R105,NO2,1
31,106,PANX,R106,-1
68,106,R106,ALD2,1
72,106,OH,R106,-1
81,106,R106,NO2,1
30,107,R107,PACD,0.8
33,107,R107,AACD,0.2
71,107,R107,O3,0.2
80,107,CXO3,R107,-1
82,107,HO2,R107,-1
33,108,R108,AACD,0.1
68,108,R108,ALD2,0.9
69,108,R108,FORM,0.1
73,108,R108,XO2,0.9
76,108,MEO2,R108,-1
80,108,CXO3,R108,-1
