! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Dense species-by-atom composition matrix (variable species only) in CSV format
! 
! Generated by KPP-3.3.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : CB05TUCl_EPA_SpeciesCompositionMatrix.csv
! Equation file        : CB05TUCl_EPA.kpp
! Output root filename : CB05TUCl_EPA
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



species_index,species_name,IGNORE
1,BNZHRXN,1
2,BNZNRXN,1
3,BENZRO2,1
4,BENZENE,1
5,ISOPRXN,1
6,SESQRXN,1
7,SESQ,1
8,SULF,1
9,SULRXN,1
10,TOLHRXN,1
11,TOLNRXN,1
12,TOLRO2,1
13,TRPRXN,1
14,XYLHRXN,1
15,XYLNRXN,1
16,XYLRO2,1
17,CL2,1
18,SO2,1
19,HOCL,1
20,OPAN,1
21,PAN,1
22,H2,1
23,N2O5,1
24,O1D,1
25,O2,1
26,H2O2,1
27,HONO,1
28,CRPX,1
29,FACD,1
30,PACD,1
31,PANX,1
32,PNA,1
33,AACD,1
34,ETHA,1
35,MEOH,1
36,CAT1,1
37,TOL,1
38,ETOH,1
39,CRON,1
40,HCO3,1
41,ROOH,1
42,HCL,1
43,XYL,1
44,CLO,1
45,FMCL,1
46,MEPX,1
47,CRN2,1
48,OPO3,1
49,ROR,1
50,TO2,1
51,CRO,1
52,HNO3,1
53,CAO2,1
54,CO,1
55,MGLY,1
56,CRNO,1
57,ETH,1
58,TERP,1
59,CRES,1
60,IOLE,1
61,OLE,1
62,OPEN,1
63,XO2N,1
64,PAR,1
65,ISOP,1
66,ISPD,1
67,ALDX,1
68,ALD2,1
69,FORM,1
70,NTR,1
71,O3,1
72,OH,1
73,XO2,1
74,NO,1
75,C2O3,1
76,MEO2,1
77,CL,1
78,O,1
79,NO3,1
80,CXO3,1
81,NO2,1
82,HO2,1
