! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Sparse Biadjacency Matrix, aka Stoichiometric Matrix, in CSV format
! 
! Generated by KPP-3.4.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
!        P.O. Sturm,  Univ. of Southern California, Los Angeles, CA, USA
! 
! File                 : CBMZ_BiadjacencyMatrix.csv
! Equation file        : CBMZ.kpp
! Output root filename : CBMZ
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



species_name,species_index,reaction_index,stoichiometric_coefficient
O3P,37,1,1
NO2,59,1,-1
NO,63,1,1
O3P,37,2,0.89
NO2,59,2,0.89
NO3,60,2,-1
NO,63,2,0.11
HONO,32,3,-1
NO,63,3,1
OH,67,3,1
HNO3,38,4,-1
NO2,59,4,1
OH,67,4,1
HNO4,27,5,-1
NO2,59,5,1
HO2,65,5,1
N2O5,21,6,-1
NO2,59,6,1
NO3,60,6,1
O3P,37,7,1
O3,64,7,-1
O1D,16,8,1
O3,64,8,-1
H2O2,19,9,-1
OH,67,9,2
CO,39,10,1
HCHO,47,10,-1
HO2,65,10,2
CO,39,11,1
HCHO,47,11,-1
CH3OOH,31,12,-1
HCHO,47,12,1
HO2,65,12,1
OH,67,12,1
ETHOOH,33,13,-1
ALD2,54,13,1
HO2,65,13,1
OH,67,13,1
CO,39,14,1
ALD2,54,14,-1
CH3O2,55,14,1
HO2,65,14,1
AONE,49,15,-1
CH3O2,55,15,1
C2O3,58,15,1
CO,39,16,1
MGLY,53,16,-1
C2O3,58,16,1
HO2,65,16,1
CO,39,17,1
OPEN,42,17,-1
C2O3,58,17,1
HO2,65,17,1
XPAR,30,18,1.98
XO2,48,18,0.4
AONE,49,18,0.74
ETHP,52,18,0.1
ALD2,54,18,0.3
HO2,65,18,0.9
ROOH,66,18,-1
OH,67,18,1
XPAR,30,19,1.98
XO2,48,19,0.41
AONE,49,19,0.74
ETHP,52,19,0.1
ALD2,54,19,0.3
ONIT,57,19,-1
NO2,59,19,1
HO2,65,19,0.9
CO,39,20,0.33
HCHO,47,20,0.2
AONE,49,20,0.03
ALD2,54,20,0.07
CH3O2,55,20,0.7
ISOPRD,56,20,-1
C2O3,58,20,0.97
HO2,65,20,0.33
O1D,16,21,-1
O3P,37,21,1
O1D,16,22,-1
OH,67,22,2
O3P,37,23,-1
O3,64,23,1
O3P,37,24,-1
O3,64,24,-1
O3P,37,25,-1
NO2,59,25,-1
NO,63,25,1
O3P,37,26,-1
NO2,59,26,-1
NO3,60,26,1
O3P,37,27,-1
NO2,59,27,1
NO,63,27,-1
NO2,59,28,1
NO,63,28,-1
O3,64,28,-1
NO2,59,29,-1
NO3,60,29,1
O3,64,29,-1
O3,64,30,-1
HO2,65,30,1
OH,67,30,-1
O3,64,31,-1
HO2,65,31,-1
OH,67,31,1
HO2,65,32,1
OH,67,32,-1
HONO,32,33,1
NO,63,33,-1
OH,67,33,-1
HNO3,38,34,1
