! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Dense species-by-atom composition matrix (variable species only) in CSV format
! 
! Generated by KPP-3.4.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
!        P.O. Sturm,  Univ. of Southern California, Los Angeles, CA, USA
! 
! File                 : CBMZ_SpeciesCompositionMatrix.csv
! Equation file        : CBMZ.kpp
! Output root filename : CBMZ
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



species_index,species_name,IGNORE,N,S
1,H2SO4,0,0,1
2,HCl,1,0,0
3,NH3,1,0,0
4,HCOOH,1,0,0
5,RCOOH,1,0,0
6,ARO1,1,0,0
7,ARO2,1,0,0
8,ALK1,1,0,0
9,OLE1,1,0,0
10,API1,1,0,0
11,API2,1,0,0
12,LIM1,1,0,0
13,LIM2,1,0,0
14,DUMMY,1,0,0
15,SO2,0,0,1
16,O1D,1,0,0
17,ANOL,1,0,0
18,PAN,0,1,0
19,H2O2,1,0,0
20,TOL,1,0,0
21,N2O5,0,2,0
22,XYL,1,0,0
23,CH4,1,0,0
24,CRO,1,0,0
25,API,1,0,0
26,LIM,1,0,0
27,HNO4,0,1,0
28,C2H6,1,0,0
29,TO2,1,0,0
30,XPAR,1,0,0
31,CH3OOH,1,0,0
32,HONO,0,1,0
33,ETHOOH,1,0,0
34,ETH,1,0,0
35,CH3OH,1,0,0
36,CRES,1,0,0
37,O3P,1,0,0
38,HNO3,0,1,0
39,CO,1,0,0
40,ISOPN,0,1,0
41,PAR,1,0,0
42,OPEN,1,0,0
43,ISOPP,1,0,0
44,ISOPO2,1,0,0
45,OLET,1,0,0
46,ISOP,1,0,0
47,HCHO,1,0,0
48,XO2,1,0,0
49,AONE,1,0,0
50,OLEI,1,0,0
51,NAP,0,1,0
52,ETHP,1,0,0
53,MGLY,1,0,0
54,ALD2,1,0,0
55,CH3O2,1,0,0
56,ISOPRD,1,0,0
57,ONIT,0,1,0
58,C2O3,1,0,0
59,NO2,0,1,0
60,NO3,0,1,0
61,RO2,1,0,0
62,ANO2,1,0,0
63,NO,0,1,0
64,O3,1,0,0
65,HO2,1,0,0
66,ROOH,1,0,0
67,OH,1,0,0
