! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Representation of the mechanism as a bipartite species-reaction graph in CSV format
! 
! Generated by KPP-3.3.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : CBMZ_EdgeList.csv
! Equation file        : CBMZ.kpp
! Output root filename : CBMZ
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



# species_index (starts from 1),reaction_index (starts from 1),from,to, directed stoichiometric value
37,1,R1,O3P,1
59,1,NO2,R1,-1
63,1,R1,NO,1
37,2,R2,O3P,0.89
59,2,R2,NO2,0.89
60,2,NO3,R2,-1
63,2,R2,NO,0.11
32,3,HONO,R3,-1
63,3,R3,NO,1
67,3,R3,OH,1
38,4,HNO3,R4,-1
59,4,R4,NO2,1
67,4,R4,OH,1
27,5,HNO4,R5,-1
59,5,R5,NO2,1
65,5,R5,HO2,1
21,6,N2O5,R6,-1
59,6,R6,NO2,1
60,6,R6,NO3,1
37,7,R7,O3P,1
64,7,O3,R7,-1
16,8,R8,O1D,1
64,8,O3,R8,-1
19,9,H2O2,R9,-1
67,9,R9,OH,2
39,10,R10,CO,1
47,10,HCHO,R10,-1
65,10,R10,HO2,2
39,11,R11,CO,1
47,11,HCHO,R11,-1
31,12,CH3OOH,R12,-1
47,12,R12,HCHO,1
65,12,R12,HO2,1
67,12,R12,OH,1
33,13,ETHOOH,R13,-1
54,13,R13,ALD2,1
65,13,R13,HO2,1
67,13,R13,OH,1
39,14,R14,CO,1
54,14,ALD2,R14,-1
55,14,R14,CH3O2,1
65,14,R14,HO2,1
49,15,AONE,R15,-1
55,15,R15,CH3O2,1
58,15,R15,C2O3,1
