# species_index (starts from 1),reaction_index (starts from 1),from,to,directed stoichiometric value
20,1,O3,R1,-1.0
168,1,R1,O3P,1.0
20,2,O3,R2,-1.0
186,2,R2,O1D,1.0
70,3,H2O2,R3,-1.0
62,3,R3,HO,2.0
101,4,NO2,R4,-1.0
168,4,R4,O3P,1.0
49,4,R4,NO,1.0
19,5,NO3,R5,-1.0
49,5,R5,NO,1.0
19,6,NO3,R6,-1.0
168,6,R6,O3P,1.0
101,6,R6,NO2,1.0
118,7,HONO,R7,-1.0
62,7,R7,HO,1.0
49,7,R7,NO,1.0
104,8,HNO3,R8,-1.0
62,8,R8,HO,1.0
101,8,R8,NO2,1.0
4,9,HNO4,R9,-1.0
62,9,R9,HO,0.2
163,9,R9,HO2,0.8
101,9,R9,NO2,0.8
19,9,R9,NO3,0.2
177,10,HCHO,R10,-1.0
108,10,R10,CO,1.0
177,11,HCHO,R11,-1.0
163,11,R11,HO2,2.0
108,11,R11,CO,1.0
71,12,ACD,R12,-1.0
163,12,R12,HO2,1.0
174,12,R12,MO2,1.0
108,12,R12,CO,1.0
180,13,ALD,R13,-1.0
163,13,R13,HO2,1.0
74,13,R13,ETHP,1.0
108,13,R13,CO,1.0
140,14,ACT,R14,-1.0
174,14,R14,MO2,1.0
63,14,R14,ACO3,1.0
140,15,ACT,R15,-1.0
174,15,R15,MO2,2.0
108,15,R15,CO,1.0
100,16,UALD,R16,-1.0
163,16,R16,HO2,1.22
63,16,R16,ACO3,0.784
108,16,R16,CO,1.22
177,16,R16,HCHO,0.35
180,16,R16,ALD,0.434
181,16,R16,KET,0.216
81,17,PINAL,R17,-1.0
163,17,R17,HO2,1.0
59,17,R17,HC10P,1.0
108,17,R17,CO,1.0
147,18,LIMAL,R18,-1.0
163,18,R18,HO2,1.0
59,18,R18,HC10P,1.0
108,18,R18,CO,1.0
156,19,MEK,R19,-1.0
174,19,R19,MO2,0.1
74,19,R19,ETHP,1.0
63,19,R19,ACO3,0.9
108,19,R19,CO,0.1
181,20,KET,R20,-1.0
74,20,R20,ETHP,1.5
63,20,R20,ACO3,0.5
108,20,R20,CO,0.5
10,21,HKET,R21,-1.0
163,21,R21,HO2,1.0
63,21,R21,ACO3,1.0
177,21,R21,HCHO,1.0
148,22,MACR,R22,-1.0
62,22,R22,HO,0.34
163,22,R22,HO2,0.66
63,22,R22,ACO3,0.67
122,22,R22,MACP,0.33
195,22,R22,XO2,0.34
108,22,R22,CO,0.67
177,22,R22,HCHO,0.67
187,23,MVK,R23,-1.0
174,23,R23,MO2,0.3
122,23,R23,MACP,0.3
108,23,R23,CO,0.7
100,23,R23,UALD,0.7
192,24,GLY,R24,-1.0
108,24,R24,CO,2.0
192,25,GLY,R25,-1.0
177,25,R25,HCHO,1.0
108,25,R25,CO,1.0
192,26,GLY,R26,-1.0
163,26,R26,HO2,2.0
108,26,R26,CO,2.0
131,27,MGLY,R27,-1.0
163,27,R27,HO2,1.0
63,27,R27,ACO3,1.0
108,27,R27,CO,1.0
117,28,DCB1,R28,-1.0
163,28,R28,HO2,1.5
63,28,R28,ACO3,0.25
195,28,R28,XO2,0.2
108,28,R28,CO,1.0
192,28,R28,GLY,0.5
131,28,R28,MGLY,0.5
130,29,DCB2,R29,-1.0
163,29,R29,HO2,1.5
63,29,R29,ACO3,0.25
195,29,R29,XO2,0.2
108,29,R29,CO,1.0
192,29,R29,GLY,0.5
131,29,R29,MGLY,0.5
33,30,BALD,R30,-1.0
190,30,R30,CHO,1.0
163,30,R30,HO2,1.0
108,30,R30,CO,1.0
52,31,OP1,R31,-1.0
62,31,R31,HO,1.0
163,31,R31,HO2,1.0
177,31,R31,HCHO,1.0
137,32,OP2,R32,-1.0
62,32,R32,HO,1.0
163,32,R32,HO2,1.0
180,32,R32,ALD,1.0
72,33,OPB,R33,-1.0
62,33,R33,HO,1.0
163,33,R33,HO2,1.0
180,33,R33,ALD,1.0
97,34,OP3,R34,-1.0
62,34,R34,HO,1.0
163,34,R34,HO2,1.0
180,34,R34,ALD,1.0
86,35,PAA,R35,-1.0
62,35,R35,HO,1.0
174,35,R35,MO2,1.0
1,36,ONIT,R36,-1.0
163,36,R36,HO2,1.0
101,36,R36,NO2,1.0
180,36,R36,ALD,0.2
181,36,R36,KET,0.8
8,37,PAN,R37,-1.0
63,37,R37,ACO3,1.0
101,37,R37,NO2,1.0
8,38,PAN,R38,-1.0
174,38,R38,MO2,1.0
19,38,R38,NO3,1.0
141,39,TRPN,R39,-1.0
95,39,hv,R39,-1.0
101,39,R39,NO2,1.0
181,39,R39,KET,0.67
100,39,R39,UALD,0.33
78,40,HONIT,R40,-1.0
95,40,hv,R40,-1.0
10,40,R40,HKET,1.0
101,40,R40,NO2,1.0
20,41,O3,R41,-1.0
62,41,HO,R41,-1.0
163,41,R41,HO2,1.0
20,42,O3,R42,-1.0
163,42,HO2,R42,-1.0
62,42,R42,HO,1.0
20,43,O3,R43,-1.0
49,43,NO,R43,-1.0
101,43,R43,NO2,1.0
20,44,O3,R44,-1.0
101,44,NO2,R44,-1.0
19,44,R44,NO3,1.0
168,45,O3P,R45,-1.0
102,45,O2,R45,-1.0
173,45,M,R45,-1.0
20,45,R45,O3,1.0
168,46,O3P,R46,-1.0
20,46,O3,R46,-1.0
186,47,O1D,R47,-1.0
102,47,O2,R47,-1.0
168,47,R47,O3P,1.0
186,48,O1D,R48,-1.0
32,48,N2,R48,-1.0
168,48,R48,O3P,1.0
186,49,O1D,R49,-1.0
143,49,H2O,R49,-1.0
62,49,R49,HO,2.0
62,50,HO,R50,-1.0
169,50,H2,R50,-1.0
163,50,R50,HO2,1.0
62,51,HO,R51,-1.0
163,51,HO2,R51,-1.0
163,52,HO2,R52,-1.0
163,52,HO2,R52,-1.0
70,52,R52,H2O2,1.0
163,53,HO2,R53,-1.0
163,53,HO2,R53,-1.0
143,53,H2O,R53,-1.0
70,53,R53,H2O2,1.0
70,54,H2O2,R54,-1.0
62,54,HO,R54,-1.0
163,54,R54,HO2,1.0
49,55,NO,R55,-1.0
168,55,O3P,R55,-1.0
101,55,R55,NO2,1.0
49,56,NO,R56,-1.0
62,56,HO,R56,-1.0
118,56,R56,HONO,1.0
49,57,NO,R57,-1.0
163,57,HO2,R57,-1.0
101,57,R57,NO2,1.0
62,57,R57,HO,1.0
49,58,NO,R58,-1.0
163,58,HO2,R58,-1.0
104,58,R58,HNO3,1.0
49,59,NO,R59,-1.0
49,59,NO,R59,-1.0
102,59,O2,R59,-1.0
101,59,R59,NO2,2.0
118,60,HONO,R60,-1.0
62,60,HO,R60,-1.0
101,60,R60,NO2,1.0
101,61,NO2,R61,-1.0
168,61,O3P,R61,-1.0
49,61,R61,NO,1.0
101,62,NO2,R62,-1.0
168,62,O3P,R62,-1.0
19,62,R62,NO3,1.0
101,63,NO2,R63,-1.0
62,63,HO,R63,-1.0
104,63,R63,HNO3,1.0
104,64,HNO3,R64,-1.0
62,64,HO,R64,-1.0
19,64,R64,NO3,1.0
19,65,NO3,R65,-1.0
62,65,HO,R65,-1.0
163,65,R65,HO2,1.0
101,65,R65,NO2,1.0
19,66,NO3,R66,-1.0
163,66,HO2,R66,-1.0
62,66,R66,HO,0.7
101,66,R66,NO2,0.7
104,66,R66,HNO3,0.3
19,67,NO3,R67,-1.0
49,67,NO,R67,-1.0
101,67,R67,NO2,2.0
19,68,NO3,R68,-1.0
101,68,NO2,R68,-1.0
49,68,R68,NO,1.0
101,68,R68,NO2,1.0
19,69,NO3,R69,-1.0
19,69,NO3,R69,-1.0
101,69,R69,NO2,2.0
19,70,NO3,R70,-1.0
101,70,NO2,R70,-1.0
175,70,R70,N2O5,1.0
175,71,N2O5,R71,-1.0
101,71,R71,NO2,1.0
19,71,R71,NO3,1.0
175,72,N2O5,R72,-1.0
143,72,H2O,R72,-1.0
104,72,R72,HNO3,2.0
101,73,NO2,R73,-1.0
163,73,HO2,R73,-1.0
4,73,R73,HNO4,1.0
4,74,HNO4,R74,-1.0
163,74,R74,HO2,1.0
101,74,R74,NO2,1.0
4,75,HNO4,R75,-1.0
62,75,HO,R75,-1.0
101,75,R75,NO2,1.0
85,76,SO2,R76,-1.0
62,76,HO,R76,-1.0
