species_index,reaction_index,source,target,directed_stoichiometric_value
195,1,O3,R1,-1.0
3,1,R1,O3P,1.0
195,2,O3,R2,-1.0
59,2,R2,O1D,1.0
49,3,H2O2,R3,-1.0
188,3,R3,HO,2.0
126,4,NO2,R4,-1.0
3,4,R4,O3P,1.0
119,4,R4,NO,1.0
110,5,NO3,R5,-1.0
119,5,R5,NO,1.0
110,6,NO3,R6,-1.0
3,6,R6,O3P,1.0
126,6,R6,NO2,1.0
184,7,HONO,R7,-1.0
188,7,R7,HO,1.0
119,7,R7,NO,1.0
11,8,HNO3,R8,-1.0
188,8,R8,HO,1.0
126,8,R8,NO2,1.0
168,9,HNO4,R9,-1.0
188,9,R9,HO,0.2
142,9,R9,HO2,0.8
126,9,R9,NO2,0.8
110,9,R9,NO3,0.2
65,10,HCHO,R10,-1.0
150,10,R10,CO,1.0
65,11,HCHO,R11,-1.0
142,11,R11,HO2,2.0
150,11,R11,CO,1.0
50,12,ACD,R12,-1.0
142,12,R12,HO2,1.0
128,12,R12,MO2,1.0
150,12,R12,CO,1.0
97,13,ALD,R13,-1.0
142,13,R13,HO2,1.0
18,13,R13,ETHP,1.0
150,13,R13,CO,1.0
27,14,ACT,R14,-1.0
128,14,R14,MO2,1.0
81,14,R14,ACO3,1.0
27,15,ACT,R15,-1.0
128,15,R15,MO2,2.0
150,15,R15,CO,1.0
132,16,UALD,R16,-1.0
142,16,R16,HO2,1.22
81,16,R16,ACO3,0.784
150,16,R16,CO,1.22
65,16,R16,HCHO,0.35
97,16,R16,ALD,0.434
53,16,R16,KET,0.216
165,17,PINAL,R17,-1.0
142,17,R17,HO2,1.0
85,17,R17,HC10P,1.0
150,17,R17,CO,1.0
28,18,LIMAL,R18,-1.0
142,18,R18,HO2,1.0
85,18,R18,HC10P,1.0
150,18,R18,CO,1.0
56,19,MEK,R19,-1.0
128,19,R19,MO2,0.1
18,19,R19,ETHP,1.0
81,19,R19,ACO3,0.9
150,19,R19,CO,0.1
53,20,KET,R20,-1.0
18,20,R20,ETHP,1.5
81,20,R20,ACO3,0.5
150,20,R20,CO,0.5
23,21,HKET,R21,-1.0
142,21,R21,HO2,1.0
81,21,R21,ACO3,1.0
65,21,R21,HCHO,1.0
83,22,MACR,R22,-1.0
188,22,R22,HO,0.34
142,22,R22,HO2,0.66
81,22,R22,ACO3,0.67
55,22,R22,MACP,0.33
176,22,R22,XO2,0.34
150,22,R22,CO,0.67
65,22,R22,HCHO,0.67
113,23,MVK,R23,-1.0
128,23,R23,MO2,0.3
55,23,R23,MACP,0.3
150,23,R23,CO,0.7
132,23,R23,UALD,0.7
108,24,GLY,R24,-1.0
150,24,R24,CO,2.0
108,25,GLY,R25,-1.0
65,25,R25,HCHO,1.0
150,25,R25,CO,1.0
108,26,GLY,R26,-1.0
142,26,R26,HO2,2.0
150,26,R26,CO,2.0
174,27,MGLY,R27,-1.0
142,27,R27,HO2,1.0
81,27,R27,ACO3,1.0
150,27,R27,CO,1.0
68,28,DCB1,R28,-1.0
142,28,R28,HO2,1.5
81,28,R28,ACO3,0.25
176,28,R28,XO2,0.2
150,28,R28,CO,1.0
108,28,R28,GLY,0.5
174,28,R28,MGLY,0.5
34,29,DCB2,R29,-1.0
142,29,R29,HO2,1.5
81,29,R29,ACO3,0.25
176,29,R29,XO2,0.2
150,29,R29,CO,1.0
108,29,R29,GLY,0.5
174,29,R29,MGLY,0.5
51,30,BALD,R30,-1.0
78,30,R30,CHO,1.0
142,30,R30,HO2,1.0
150,30,R30,CO,1.0
134,31,OP1,R31,-1.0
188,31,R31,HO,1.0
142,31,R31,HO2,1.0
65,31,R31,HCHO,1.0
159,32,OP2,R32,-1.0
188,32,R32,HO,1.0
142,32,R32,HO2,1.0
97,32,R32,ALD,1.0
156,33,OPB,R33,-1.0
188,33,R33,HO,1.0
142,33,R33,HO2,1.0
97,33,R33,ALD,1.0
139,34,OP3,R34,-1.0
188,34,R34,HO,1.0
142,34,R34,HO2,1.0
97,34,R34,ALD,1.0
133,35,PAA,R35,-1.0
188,35,R35,HO,1.0
128,35,R35,MO2,1.0
90,36,ONIT,R36,-1.0
142,36,R36,HO2,1.0
126,36,R36,NO2,1.0
97,36,R36,ALD,0.2
53,36,R36,KET,0.8
70,37,PAN,R37,-1.0
81,37,R37,ACO3,1.0
126,37,R37,NO2,1.0
70,38,PAN,R38,-1.0
128,38,R38,MO2,1.0
110,38,R38,NO3,1.0
115,39,TRPN,R39,-1.0
35,39,hv,R39,-1.0
126,39,R39,NO2,1.0
53,39,R39,KET,0.67
132,39,R39,UALD,0.33
19,40,HONIT,R40,-1.0
35,40,hv,R40,-1.0
23,40,R40,HKET,1.0
126,40,R40,NO2,1.0
195,41,O3,R41,-1.0
188,41,HO,R41,-1.0
142,41,R41,HO2,1.0
195,42,O3,R42,-1.0
142,42,HO2,R42,-1.0
188,42,R42,HO,1.0
195,43,O3,R43,-1.0
119,43,NO,R43,-1.0
126,43,R43,NO2,1.0
195,44,O3,R44,-1.0
126,44,NO2,R44,-1.0
110,44,R44,NO3,1.0
3,45,O3P,R45,-1.0
14,45,O2,R45,-1.0
179,45,M,R45,-1.0
195,45,R45,O3,1.0
3,46,O3P,R46,-1.0
195,46,O3,R46,-1.0
59,47,O1D,R47,-1.0
14,47,O2,R47,-1.0
3,47,R47,O3P,1.0
59,48,O1D,R48,-1.0
116,48,N2,R48,-1.0
3,48,R48,O3P,1.0
59,49,O1D,R49,-1.0
22,49,H2O,R49,-1.0
188,49,R49,HO,2.0
188,50,HO,R50,-1.0
148,50,H2,R50,-1.0
142,50,R50,HO2,1.0
188,51,HO,R51,-1.0
142,51,HO2,R51,-1.0
142,52,HO2,R52,-1.0
142,52,HO2,R52,-1.0
49,52,R52,H2O2,1.0
142,53,HO2,R53,-1.0
142,53,HO2,R53,-1.0
22,53,H2O,R53,-1.0
49,53,R53,H2O2,1.0
49,54,H2O2,R54,-1.0
188,54,HO,R54,-1.0
142,54,R54,HO2,1.0
119,55,NO,R55,-1.0
3,55,O3P,R55,-1.0
126,55,R55,NO2,1.0
119,56,NO,R56,-1.0
188,56,HO,R56,-1.0
184,56,R56,HONO,1.0
119,57,NO,R57,-1.0
142,57,HO2,R57,-1.0
126,57,R57,NO2,1.0
188,57,R57,HO,1.0
119,58,NO,R58,-1.0
142,58,HO2,R58,-1.0
11,58,R58,HNO3,1.0
119,59,NO,R59,-1.0
119,59,NO,R59,-1.0
14,59,O2,R59,-1.0
126,59,R59,NO2,2.0
184,60,HONO,R60,-1.0
188,60,HO,R60,-1.0
126,60,R60,NO2,1.0
126,61,NO2,R61,-1.0
3,61,O3P,R61,-1.0
119,61,R61,NO,1.0
126,62,NO2,R62,-1.0
3,62,O3P,R62,-1.0
110,62,R62,NO3,1.0
126,63,NO2,R63,-1.0
188,63,HO,R63,-1.0
11,63,R63,HNO3,1.0
11,64,HNO3,R64,-1.0
188,64,HO,R64,-1.0
110,64,R64,NO3,1.0
110,65,NO3,R65,-1.0
188,65,HO,R65,-1.0
142,65,R65,HO2,1.0
126,65,R65,NO2,1.0
110,66,NO3,R66,-1.0
142,66,HO2,R66,-1.0
188,66,R66,HO,0.7
126,66,R66,NO2,0.7
11,66,R66,HNO3,0.3
110,67,NO3,R67,-1.0
119,67,NO,R67,-1.0
126,67,R67,NO2,2.0
110,68,NO3,R68,-1.0
126,68,NO2,R68,-1.0
119,68,R68,NO,1.0
126,68,R68,NO2,1.0
110,69,NO3,R69,-1.0
110,69,NO3,R69,-1.0
126,69,R69,NO2,2.0
110,70,NO3,R70,-1.0
126,70,NO2,R70,-1.0
178,70,R70,N2O5,1.0
178,71,N2O5,R71,-1.0
126,71,R71,NO2,1.0
110,71,R71,NO3,1.0
178,72,N2O5,R72,-1.0
22,72,H2O,R72,-1.0
11,72,R72,HNO3,2.0
126,73,NO2,R73,-1.0
142,73,HO2,R73,-1.0
168,73,R73,HNO4,1.0
168,74,HNO4,R74,-1.0
142,74,R74,HO2,1.0
126,74,R74,NO2,1.0
168,75,HNO4,R75,-1.0
188,75,HO,R75,-1.0
126,75,R75,NO2,1.0
187,76,SO2,R76,-1.0
188,76,HO,R76,-1.0
142,76,R76,HO2,1.0
145,76,R76,SULF,1.0
146,76,R76,SULRXN,1.0
150,77,CO,R77,-1.0
188,77,HO,R77,-1.0
142,77,R77,HO2,1.0
188,78,HO,R78,-1.0
137,78,CH4,R78,-1.0
128,78,R78,MO2,1.0
24,79,ETH,R79,-1.0
188,79,HO,R79,-1.0
18,79,R79,ETHP,1.0
191,80,HC3,R80,-1.0
188,80,HO,R80,-1.0
41,80,R80,HC3P,1.0
143,80,R80,ASOATJ,0.0
172,81,HC5,R81,-1.0
188,81,HO,R81,-1.0
120,81,R81,HC5P,1.0
143,81,R81,ASOATJ,0.0013
54,82,ETE,R82,-1.0
188,82,HO,R82,-1.0
30,82,R82,ETEP,1.0
136,83,OLT,R83,-1.0
188,83,HO,R83,-1.0
88,83,R83,OLTP,1.0
121,84,OLI,R84,-1.0
188,84,HO,R84,-1.0
21,84,R84,OLIP,1.0
138,85,ACE,R85,-1.0
188,85,HO,R85,-1.0
188,85,R85,HO,0.65
142,85,R85,HO2,0.35
150,85,R85,CO,0.35
108,85,R85,GLY,0.65
46,85,R85,ORA1,0.35
13,86,BEN,R86,-1.0
188,86,HO,R86,-1.0
103,86,R86,BENP,0.47
183,86,R86,PHEN,0.53
142,86,R86,HO2,0.53
84,87,TOL,R87,-1.0
188,87,HO,R87,-1.0
131,87,R87,TOLP,0.82
20,87,R87,CSL,0.18
142,87,R87,HO2,0.18
15,88,XYL,R88,-1.0
188,88,HO,R88,-1.0
86,88,R88,XYLP,0.83
20,88,R88,CSL,0.17
142,88,R88,HO2,0.17
63,89,EBZ,R89,-1.0
188,89,HO,R89,-1.0
102,89,R89,EBZP,0.82
20,89,R89,CSL,0.18
142,89,R89,HO2,0.18
92,90,ISO,R90,-1.0
195,90,O3,R90,-1.0
188,90,R90,HO,0.25
142,90,R90,HO2,0.25
128,90,R90,MO2,0.4
81,90,R90,ACO3,0.018
55,90,R90,MACP,0.1
49,90,R90,H2O2,0.09
150,90,R90,CO,0.22
65,90,R90,HCHO,1.0
83,90,R90,MACR,0.3
113,90,R90,MVK,0.14
46,90,R90,ORA1,0.28
136,90,R90,OLT,0.153
92,91,ISO,R91,-1.0
110,91,NO3,R91,-1.0
126,91,R91,NO2,0.4
181,91,R91,ISON,0.045
65,91,R91,HCHO,0.35
26,91,R91,INO2,0.555
113,91,R91,MVK,0.26
83,91,R91,MACR,0.028
92,92,ISO,R92,-1.0
188,92,HO,R92,-1.0
158,92,R92,ISOP,1.0
65,92,R92,HCHO,0.25
83,92,R92,MACR,0.03
174,92,R92,MGLY,0.05
158,93,ISOP,R93,-1.0
142,93,HO2,R93,-1.0
105,93,R93,ISHP,1.0
142,93,R93,HO2,0.07
188,93,R93,HO,0.5
158,94,ISOP,R94,-1.0
119,94,NO,R94,-1.0
181,94,R94,ISON,0.13
65,94,R94,HCHO,0.4
142,94,R94,HO2,0.88
126,94,R94,NO2,0.87
83,94,R94,MACR,0.18
113,94,R94,MVK,0.51
105,95,ISHP,R95,-1.0
188,95,HO,R95,-1.0
158,95,R95,ISOP,1.0
105,96,ISHP,R96,-1.0
188,96,HO,R96,-1.0
174,96,R96,MGLY,0.04
108,96,R96,GLY,0.02
113,96,R96,MVK,0.13
98,96,R96,IEPOX,0.44
81,96,R96,ACO3,0.11
83,96,R96,MACR,0.03
188,96,R96,HO,2.0
142,96,R96,HO2,0.34
114,96,R96,IPX,0.14
150,96,R96,CO,1.0
26,97,INO2,R97,-1.0
142,97,HO2,R97,-1.0
188,97,R97,HO,0.45
100,97,R97,INALD,0.95
114,97,R97,IPX,0.02
26,98,INO2,R98,-1.0
119,98,NO,R98,-1.0
113,98,R98,MVK,0.15
100,98,R98,INALD,0.65
181,98,R98,ISON,0.05
65,98,R98,HCHO,0.2
126,98,R98,NO2,1.3
181,99,ISON,R99,-1.0
188,99,HO,R99,-1.0
188,99,R99,HO,1.0
100,99,R99,INALD,0.35
98,99,R99,IEPOX,0.17
126,99,R99,NO2,0.65
100,100,INALD,R100,-1.0
188,100,HO,R100,-1.0
150,100,R100,CO,1.0
126,100,R100,NO2,1.0
142,100,R100,HO2,0.3
65,100,R100,HCHO,1.0
181,101,ISON,R101,-1.0
11,101,R101,HNO3,1.0
196,101,R101,ROH,1.0
114,102,IPX,R102,-1.0
188,102,HO,R102,-1.0
83,102,R102,MACR,0.57
113,102,R102,MVK,0.43
4,103,API,R103,-1.0
188,103,HO,R103,-1.0
77,103,R103,APIP1,0.975
193,103,R103,APIP2,0.025
164,104,LIM,R104,-1.0
188,104,HO,R104,-1.0
101,104,R104,LIMP1,0.945
75,104,R104,LIMP2,0.055
165,105,PINAL,R105,-1.0
188,105,HO,R105,-1.0
33,105,R105,PINALP,0.23
62,105,R105,RCO3,0.77
28,106,LIMAL,R106,-1.0
188,106,HO,R106,-1.0
140,106,R106,LIMALP,0.83
62,106,R106,RCO3,0.17
65,107,HCHO,R107,-1.0
188,107,HO,R107,-1.0
142,107,R107,HO2,1.0
150,107,R107,CO,1.0
50,108,ACD,R108,-1.0
188,108,HO,R108,-1.0
81,108,R108,ACO3,1.0
97,109,ALD,R109,-1.0
188,109,HO,R109,-1.0
62,109,R109,RCO3,1.0
27,110,ACT,R110,-1.0
188,110,HO,R110,-1.0
10,110,R110,ACTP,1.0
56,111,MEK,R111,-1.0
188,111,HO,R111,-1.0
112,111,R111,MEKP,1.0
53,112,KET,R112,-1.0
188,112,HO,R112,-1.0
125,112,R112,KETP,1.0
23,113,HKET,R113,-1.0
188,113,HO,R113,-1.0
142,113,R113,HO2,1.0
174,113,R113,MGLY,1.0
83,114,MACR,R114,-1.0
188,114,HO,R114,-1.0
55,114,R114,MACP,0.57
170,114,R114,MCP,0.43
113,115,MVK,R115,-1.0
188,115,HO,R115,-1.0
80,115,R115,MVKP,1.0
132,116,UALD,R116,-1.0
188,116,HO,R116,-1.0
81,116,R116,ACO3,0.313
149,116,R116,UALP,0.687
108,117,GLY,R117,-1.0
188,117,HO,R117,-1.0
142,117,R117,HO2,1.0
150,117,R117,CO,2.0
174,118,MGLY,R118,-1.0
188,118,HO,R118,-1.0
81,118,R118,ACO3,1.0
150,118,R118,CO,1.0
68,119,DCB1,R119,-1.0
188,119,HO,R119,-1.0
142,119,R119,HO2,0.52
150,119,R119,CO,0.33
97,119,R119,ALD,0.4
53,119,R119,KET,0.78
108,119,R119,GLY,0.1
174,119,R119,MGLY,0.01
34,120,DCB2,R120,-1.0
188,120,HO,R120,-1.0
142,120,R120,HO2,0.52
150,120,R120,CO,0.33
56,120,R120,MEK,0.13
108,120,R120,GLY,0.1
174,120,R120,MGLY,0.01
159,120,R120,OP2,0.78
189,121,DCB3,R121,-1.0
188,121,HO,R121,-1.0
142,121,R121,HO2,0.56
55,121,R121,MACP,0.21
150,121,R121,CO,0.11
108,121,R121,GLY,0.27
174,121,R121,MGLY,0.01
159,121,R121,OP2,0.79
51,122,BALD,R122,-1.0
188,122,HO,R122,-1.0
52,122,R122,BALP,1.0
183,123,PHEN,R123,-1.0
188,123,HO,R123,-1.0
143,123,R123,ASOATJ,0.152
142,123,R123,HO2,0.619
151,123,R123,ADDC,0.17
78,123,R123,CHO,0.059
186,123,R123,MCT,0.619
20,124,CSL,R124,-1.0
188,124,HO,R124,-1.0
143,124,R124,ASOATJ,0.2
142,124,R124,HO2,0.584
151,124,R124,ADDC,0.16
78,124,R124,CHO,0.056
186,124,R124,MCT,0.584
186,125,MCT,R125,-1.0
188,125,HO,R125,-1.0
71,125,R125,MCTO,1.0
127,126,MOH,R126,-1.0
188,126,HO,R126,-1.0
142,126,R126,HO2,1.0
65,126,R126,HCHO,1.0
64,127,EOH,R127,-1.0
188,127,HO,R127,-1.0
142,127,R127,HO2,1.0
50,127,R127,ACD,1.0
196,128,ROH,R128,-1.0
188,128,HO,R128,-1.0
142,128,R128,HO2,1.0
97,128,R128,ALD,0.719
50,128,R128,ACD,0.184
45,129,ETEG,R129,-1.0
188,129,HO,R129,-1.0
142,129,R129,HO2,1.0
97,129,R129,ALD,1.0
134,130,OP1,R130,-1.0
188,130,HO,R130,-1.0
188,130,R130,HO,0.35
128,130,R130,MO2,0.65
