original r_id,# species_index (starts from 1),reaction_index (starts from 1),from,to, directed stoichiometric value
R001,212,1,O3,R1,-1.0
R001,47,1,R1,O3P,1.0
R002,212,2,O3,R2,-1.0
R002,25,2,R2,O1D,1.0
R003,164,3,H2O2,R3,-1.0
R003,185,3,R3,HO,2.0
R004,58,4,NO2,R4,-1.0
R004,47,4,R4,O3P,1.0
R004,207,4,R4,NO,1.0
R005,124,5,NO3,R5,-1.0
R005,207,5,R5,NO,1.0
R006,124,6,NO3,R6,-1.0
R006,47,6,R6,O3P,1.0
R006,58,6,R6,NO2,1.0
R007,65,7,HONO,R7,-1.0
R007,185,7,R7,HO,1.0
R007,207,7,R7,NO,1.0
R008,167,8,HNO3,R8,-1.0
R008,185,8,R8,HO,1.0
R008,58,8,R8,NO2,1.0
R009,161,9,HNO4,R9,-1.0
R009,185,9,R9,HO,0.2
R009,190,9,R9,HO2,0.8
R009,58,9,R9,NO2,0.8
R009,124,9,R9,NO3,0.2
R010,92,10,HCHO,R10,-1.0
R010,99,10,R10,CO,1.0
R011,92,11,HCHO,R11,-1.0
R011,190,11,R11,HO2,2.0
R011,99,11,R11,CO,1.0
R012,189,12,ACD,R12,-1.0
R012,190,12,R12,HO2,1.0
R012,27,12,R12,MO2,1.0
R012,99,12,R12,CO,1.0
R013,193,13,ALD,R13,-1.0
R013,190,13,R13,HO2,1.0
R013,33,13,R13,ETHP,1.0
R013,99,13,R13,CO,1.0
R014,5,14,ACT,R14,-1.0
R014,27,14,R14,MO2,1.0
R014,31,14,R14,ACO3,1.0
R014a,5,15,ACT,R15,-1.0
R014a,27,15,R15,MO2,2.0
R014a,99,15,R15,CO,1.0
R015,209,16,UALD,R16,-1.0
R015,190,16,R16,HO2,1.22
R015,31,16,R16,ACO3,0.784
R015,99,16,R16,CO,1.22
R015,92,16,R16,HCHO,0.35
R015,193,16,R16,ALD,0.434
R015,191,16,R16,KET,0.216
R015,168,16,R16,DELTA_C,-0.52
TRP01,156,17,PINAL,R17,-1.0
TRP01,190,17,R17,HO2,1.0
TRP01,71,17,R17,PINALP,1.0
TRP01,99,17,R17,CO,1.0
TRP01,168,17,R17,DELTA_C,-1.0
TRP02,174,18,LIMAL,R18,-1.0
TRP02,190,18,R18,HO2,1.0
TRP02,149,18,R18,LIMALP,1.0
TRP02,99,18,R18,CO,1.0
TRP02,168,18,R18,DELTA_C,-1.0
R016,96,19,MEK,R19,-1.0
R016,27,19,R19,MO2,0.1
R016,33,19,R19,ETHP,1.0
R016,31,19,R19,ACO3,0.9
R016,99,19,R19,CO,0.1
R017,191,20,KET,R20,-1.0
R017,33,20,R20,ETHP,1.5
R017,31,20,R20,ACO3,0.5
R017,99,20,R20,CO,0.5
R017,168,20,R20,DELTA_C,0.5
R018,59,21,HKET,R21,-1.0
R018,190,21,R21,HO2,1.0
R018,31,21,R21,ACO3,1.0
R018,92,21,R21,HCHO,1.0
R019,140,22,MACR,R22,-1.0
R019,185,22,R22,HO,0.34
R019,190,22,R22,HO2,0.66
R019,31,22,R22,ACO3,0.67
R019,84,22,R22,MACP,0.33
R019,112,22,R22,XO2,0.34
R019,99,22,R22,CO,0.67
R019,92,22,R22,HCHO,0.67
R020,115,23,MVK,R23,-1.0
R020,27,23,R23,MO2,0.3
R020,84,23,R23,MACP,0.3
R020,99,23,R23,CO,0.7
R020,209,23,R23,UALD,0.7
R020,168,23,R23,DELTA_C,-1.7
R021,186,24,GLY,R24,-1.0
R021,99,24,R24,CO,2.0
R022,186,25,GLY,R25,-1.0
R022,92,25,R25,HCHO,1.0
R022,99,25,R25,CO,1.0
R023,186,26,GLY,R26,-1.0
R023,190,26,R26,HO2,2.0
R023,99,26,R26,CO,2.0
R024,108,27,MGLY,R27,-1.0
R024,190,27,R27,HO2,1.0
R024,31,27,R27,ACO3,1.0
R024,99,27,R27,CO,1.0
R025,129,28,DCB1,R28,-1.0
R025,190,28,R28,HO2,1.5
R025,31,28,R28,ACO3,0.25
R025,112,28,R28,XO2,0.2
R025,99,28,R28,CO,1.0
R025,186,28,R28,GLY,0.5
R025,108,28,R28,MGLY,0.5
R025,168,28,R28,DELTA_C,1.0
R026,110,29,DCB2,R29,-1.0
R026,190,29,R29,HO2,1.5
R026,31,29,R29,ACO3,0.25
R026,112,29,R29,XO2,0.2
R026,99,29,R29,CO,1.0
R026,186,29,R29,GLY,0.5
R026,108,29,R29,MGLY,0.5
