original r_id,species_index,reaction_index,source,target,directed_stoichiometric_value
R001,209,1,O3,R1,-1.0
R001,46,1,R1,O3P,1.0
R002,209,2,O3,R2,-1.0
R002,24,2,R2,O1D,1.0
R003,162,3,H2O2,R3,-1.0
R003,182,3,R3,HO,2.0
R004,56,4,NO2,R4,-1.0
R004,46,4,R4,O3P,1.0
R004,204,4,R4,NO,1.0
R005,122,5,NO3,R5,-1.0
R005,204,5,R5,NO,1.0
R006,122,6,NO3,R6,-1.0
R006,46,6,R6,O3P,1.0
R006,56,6,R6,NO2,1.0
R007,63,7,HONO,R7,-1.0
R007,182,7,R7,HO,1.0
R007,204,7,R7,NO,1.0
R008,165,8,HNO3,R8,-1.0
R008,182,8,R8,HO,1.0
R008,56,8,R8,NO2,1.0
R009,159,9,HNO4,R9,-1.0
R009,182,9,R9,HO,0.2
R009,187,9,R9,HO2,0.8
R009,56,9,R9,NO2,0.8
R009,122,9,R9,NO3,0.2
R010,90,10,HCHO,R10,-1.0
R010,97,10,R10,CO,1.0
R011,90,11,HCHO,R11,-1.0
R011,187,11,R11,HO2,2.0
R011,97,11,R11,CO,1.0
R012,186,12,ACD,R12,-1.0
R012,187,12,R12,HO2,1.0
R012,26,12,R12,MO2,1.0
R012,97,12,R12,CO,1.0
R013,190,13,ALD,R13,-1.0
R013,187,13,R13,HO2,1.0
R013,32,13,R13,ETHP,1.0
R013,97,13,R13,CO,1.0
R014,5,14,ACT,R14,-1.0
R014,26,14,R14,MO2,1.0
R014,30,14,R14,ACO3,1.0
R014a,5,15,ACT,R15,-1.0
R014a,26,15,R15,MO2,2.0
R014a,97,15,R15,CO,1.0
R015,206,16,UALD,R16,-1.0
R015,187,16,R16,HO2,1.22
R015,30,16,R16,ACO3,0.784
R015,97,16,R16,CO,1.22
R015,90,16,R16,HCHO,0.35
R015,190,16,R16,ALD,0.434
R015,188,16,R16,KET,0.216
TRP01,154,17,PINAL,R17,-1.0
TRP01,187,17,R17,HO2,1.0
TRP01,69,17,R17,PINALP,1.0
TRP01,97,17,R17,CO,1.0
TRP02,171,18,LIMAL,R18,-1.0
TRP02,187,18,R18,HO2,1.0
TRP02,147,18,R18,LIMALP,1.0
TRP02,97,18,R18,CO,1.0
R016,94,19,MEK,R19,-1.0
R016,26,19,R19,MO2,0.1
R016,32,19,R19,ETHP,1.0
R016,30,19,R19,ACO3,0.9
R016,97,19,R19,CO,0.1
R017,188,20,KET,R20,-1.0
R017,32,20,R20,ETHP,1.5
R017,30,20,R20,ACO3,0.5
R017,97,20,R20,CO,0.5
R018,57,21,HKET,R21,-1.0
R018,187,21,R21,HO2,1.0
R018,30,21,R21,ACO3,1.0
R018,90,21,R21,HCHO,1.0
R019,138,22,MACR,R22,-1.0
R019,182,22,R22,HO,0.34
R019,187,22,R22,HO2,0.66
R019,30,22,R22,ACO3,0.67
R019,82,22,R22,MACP,0.33
R019,110,22,R22,XO2,0.34
