! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Sparse Biadjacency Matrix, aka Stoichiometric Matrix, in CSV format
! 
! Generated by KPP-3.4.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
!        P.O. Sturm,  Univ. of Southern California, Los Angeles, CA, USA
! 
! File                 : cri_BiadjacencyMatrix.csv
! Equation file        : cri.kpp
! Output root filename : cri
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



species_name,species_index,reaction_index,stoichiometric_coefficient
CH4,40,1,-1
CH3O2,417,1,1
OH,439,1,-1
C2H6,4,2,-1
C2H5O2,423,2,1
OH,439,2,-1
C3H8,42,3,-1
IC3H7O2,362,3,1
OH,439,3,-1
C3H8,42,4,-1
RN10O2,427,4,1
OH,439,4,-1
NC4H10,5,5,-1
OH,439,5,-1
RN13O2,442,5,1
NC5H12,6,6,-1
RN16O2,435,6,1
OH,439,6,-1
NC6H14,7,7,-1
RN19O2,406,7,1
OH,439,7,-1
NC7H16,8,8,-1
RN22O2,394,8,1
OH,439,8,-1
NC8H18,9,9,-1
RN25O2,390,9,1
OH,439,9,-1
NC9H20,10,10,-1
RN28O2,384,10,1
OH,439,10,-1
NC10H22,11,11,-1
RN31O2,351,11,1
OH,439,11,-1
NC11H24,12,12,-1
RN34O2,349,12,1
OH,439,12,-1
NC12H26,13,13,-1
RN37O2,343,13,1
OH,439,13,-1
IC4H10,14,14,-1
RI13O2,361,14,1
OH,439,14,-1
IC5H12,15,15,-1
RI16O2,364,15,1
OH,439,15,-1
NEOP,16,16,-1
RI16AO2,336,16,1
OH,439,16,-1
M2PE,17,17,-1
RN19BO2,315,17,1
OH,439,17,-1
M3PE,18,18,-1
RN19BO2,315,18,1
OH,439,18,-1
M22C4,19,19,-1
RN19O2,406,19,1
OH,439,19,-1
M23C4,54,20,-1
RI19O2,409,20,1
OH,439,20,-1
M23C4,54,21,-1
RN19AO2,398,21,1
OH,439,21,-1
M2HEX,20,22,-1
RN22O2,394,22,1
OH,439,22,-1
M3HEX,41,23,-1
RN22O2,394,23,1
OH,439,23,-1
M3HEX,41,24,-1
RN22AO2,393,24,1
OH,439,24,-1
CHEX,21,25,-1
RC18O2,274,25,1
OH,439,25,-1
C2H4,369,26,-1
HOCH2CH2O2,403,26,1
OH,439,26,-1
C3H6,341,27,-1
RN9O2,421,27,1
OH,439,27,-1
BUT1ENE,260,28,-1
RN12O2,419,28,1
OH,439,28,-1
PENT1ENE,424,29,-1
RN15O2,426,29,1
OH,439,29,-1
HEX1ENE,295,30,-1
RN18O2,407,30,1
OH,439,30,-1
CBUT2ENE,268,31,-1
RN12O2,419,31,1
OH,439,31,-1
TBUT2ENE,272,32,-1
RN12O2,419,32,1
OH,439,32,-1
CPENT2ENE,261,33,-1
RN15O2,426,33,1
OH,439,33,-1
TPENT2ENE,262,34,-1
RN15O2,426,34,1
OH,439,34,-1
CHEX2ENE,263,35,-1
RN18O2,407,35,1
OH,439,35,-1
THEX2ENE,264,36,-1
RN18O2,407,36,1
OH,439,36,-1
MEPROPENE,318,37,-1
RI12O2,328,37,1
OH,439,37,-1
ME2BUT1ENE,278,38,-1
RN15AO2,436,38,1
OH,439,38,-1
ME3BUT1ENE,279,39,-1
RI15O2,321,39,1
OH,439,39,-1
ME2BUT2ENE,267,40,-1
RI15O2,321,40,1
OH,439,40,-1
NRN6O2,270,41,1
C2H4,369,41,-1
NO3,437,41,-1
C3H6,341,42,-1
NRN9O2,342,42,1
NO3,437,42,-1
BUT1ENE,260,43,-1
NRN12O2,310,43,1
NO3,437,43,-1
NRN15O2,359,44,1
PENT1ENE,424,44,-1
NO3,437,44,-1
HEX1ENE,295,45,-1
NRN18O2,301,45,1
NO3,437,45,-1
CBUT2ENE,268,46,-1
NRN12O2,310,46,1
NO3,437,46,-1
TBUT2ENE,272,47,-1
NRN12O2,310,47,1
NO3,437,47,-1
CPENT2ENE,261,48,-1
NRN15O2,359,48,1
NO3,437,48,-1
TPENT2ENE,262,49,-1
NRN15O2,359,49,1
NO3,437,49,-1
CHEX2ENE,263,50,-1
NRN18O2,301,50,1
NO3,437,50,-1
THEX2ENE,264,51,-1
NRN18O2,301,51,1
NO3,437,51,-1
NRI12O2,290,52,1
MEPROPENE,318,52,-1
NO3,437,52,-1
ME2BUT1ENE,278,53,-1
NRN15O2,359,53,1
NO3,437,53,-1
ME3BUT1ENE,279,54,-1
NRI15O2,323,54,1
NO3,437,54,-1
ME2BUT2ENE,267,55,-1
NRI15O2,323,55,1
NO3,437,55,-1
C2H4,369,56,-1
CO,376,56,1
HCHO,415,56,1
O3,434,56,-1
OH,439,56,1
HO2,441,56,1
HCOOH,277,57,1
C2H4,369,57,-1
HCHO,415,57,1
O3,434,57,-1
C3H6,341,58,-1
CO,376,58,1
HCHO,415,58,1
CH3O2,417,58,1
O3,434,58,-1
OH,439,58,1
CH3CO2H,235,59,1
C3H6,341,59,-1
HCHO,415,59,1
O3,434,59,-1
BUT1ENE,260,60,-1
CO,376,60,1
HCHO,415,60,1
C2H5O2,423,60,1
O3,434,60,-1
OH,439,60,1
PROPACID,136,61,1
BUT1ENE,260,61,-1
HCHO,415,61,1
O3,434,61,-1
CBUT2ENE,268,62,-1
CO,376,62,1
CH3O2,417,62,1
CH3CHO,433,62,1
O3,434,62,-1
OH,439,62,1
CH3CO2H,235,63,1
CBUT2ENE,268,63,-1
CH3CHO,433,63,1
O3,434,63,-1
TBUT2ENE,272,64,-1
CO,376,64,1
CH3O2,417,64,1
CH3CHO,433,64,1
O3,434,64,-1
OH,439,64,1
CH3CO2H,235,65,1
TBUT2ENE,272,65,-1
CH3CHO,433,65,1
O3,434,65,-1
MEPROPENE,318,66,-1
CH3COCH3,371,66,1
CO,376,66,1
O3,434,66,-1
OH,439,66,1
HO2,441,66,1
HCOOH,277,67,1
MEPROPENE,318,67,-1
CH3COCH3,371,67,1
O3,434,67,-1
MEPROPENE,318,68,-1
HCHO,415,68,1
RN8O2,430,68,1
O3,434,68,-1
OH,439,68,1
H2O2,204,69,1
MEPROPENE,318,69,-1
CH3COCH3,371,69,1
HCHO,415,69,1
O3,434,69,-1
CO,376,70,1
HCHO,415,70,1
PENT1ENE,424,70,-1
RN10O2,427,70,1
O3,434,70,-1
OH,439,70,1
HCOOH,277,71,1
CARB11,388,71,1
PENT1ENE,424,71,-1
O3,434,71,-1
CPENT2ENE,261,72,-1
CO,376,72,1
CH3O2,417,72,1
C2H5CHO,425,72,1
O3,434,72,-1
OH,439,72,1
CH3CO2H,235,73,1
CPENT2ENE,261,73,-1
C2H5CHO,425,73,1
O3,434,73,-1
TPENT2ENE,262,74,-1
CO,376,74,1
CH3O2,417,74,1
C2H5CHO,425,74,1
O3,434,74,-1
OH,439,74,1
CH3CO2H,235,75,1
TPENT2ENE,262,75,-1
C2H5CHO,425,75,1
O3,434,75,-1
ME2BUT1ENE,278,76,-1
CARB11A,288,76,1
CO,376,76,1
O3,434,76,-1
OH,439,76,1
HO2,441,76,1
HCOOH,277,77,1
ME2BUT1ENE,278,77,-1
CARB11A,288,77,1
O3,434,77,-1
ME3BUT1ENE,279,78,-1
CO,376,78,1
CARB11,388,78,1
O3,434,78,-1
OH,439,78,1
HO2,441,78,1
HCOOH,277,79,1
ME3BUT1ENE,279,79,-1
CARB11,388,79,1
O3,434,79,-1
ME2BUT2ENE,267,80,-1
CH3COCH3,371,80,1
CO,376,80,1
CH3O2,417,80,1
O3,434,80,-1
OH,439,80,1
CH3CO2H,235,81,1
ME2BUT2ENE,267,81,-1
CH3COCH3,371,81,1
O3,434,81,-1
HEX1ENE,295,82,-1
CO,376,82,1
HCHO,415,82,1
O3,434,82,-1
OH,439,82,1
RN13O2,442,82,1
HCOOH,277,83,1
HEX1ENE,295,83,-1
CARB14,357,83,1
O3,434,83,-1
CHEX2ENE,263,84,-1
CO,376,84,1
C2H5O2,423,84,1
C2H5CHO,425,84,1
O3,434,84,-1
