! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Representation of the mechanism as a bipartite species-reaction graph in CSV format
! 
! Generated by KPP-3.4.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
!        P.O. Sturm,  Univ. of Southern California, Los Angeles, CA, USA
! 
! File                 : cri_EdgeList.csv
! Equation file        : cri.kpp
! Output root filename : cri
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



species_index,reaction_index,source,target,directed_stoichiometric_value
40,1,CH4,R1,-1
417,1,R1,CH3O2,1
439,1,OH,R1,-1
4,2,C2H6,R2,-1
423,2,R2,C2H5O2,1
439,2,OH,R2,-1
42,3,C3H8,R3,-1
362,3,R3,IC3H7O2,1
439,3,OH,R3,-1
42,4,C3H8,R4,-1
427,4,R4,RN10O2,1
439,4,OH,R4,-1
5,5,NC4H10,R5,-1
439,5,OH,R5,-1
442,5,R5,RN13O2,1
6,6,NC5H12,R6,-1
435,6,R6,RN16O2,1
439,6,OH,R6,-1
7,7,NC6H14,R7,-1
406,7,R7,RN19O2,1
439,7,OH,R7,-1
8,8,NC7H16,R8,-1
394,8,R8,RN22O2,1
439,8,OH,R8,-1
9,9,NC8H18,R9,-1
390,9,R9,RN25O2,1
439,9,OH,R9,-1
10,10,NC9H20,R10,-1
384,10,R10,RN28O2,1
439,10,OH,R10,-1
11,11,NC10H22,R11,-1
351,11,R11,RN31O2,1
439,11,OH,R11,-1
12,12,NC11H24,R12,-1
349,12,R12,RN34O2,1
439,12,OH,R12,-1
13,13,NC12H26,R13,-1
343,13,R13,RN37O2,1
439,13,OH,R13,-1
14,14,IC4H10,R14,-1
361,14,R14,RI13O2,1
439,14,OH,R14,-1
15,15,IC5H12,R15,-1
364,15,R15,RI16O2,1
439,15,OH,R15,-1
16,16,NEOP,R16,-1
336,16,R16,RI16AO2,1
439,16,OH,R16,-1
17,17,M2PE,R17,-1
315,17,R17,RN19BO2,1
439,17,OH,R17,-1
18,18,M3PE,R18,-1
315,18,R18,RN19BO2,1
439,18,OH,R18,-1
19,19,M22C4,R19,-1
406,19,R19,RN19O2,1
439,19,OH,R19,-1
54,20,M23C4,R20,-1
409,20,R20,RI19O2,1
439,20,OH,R20,-1
54,21,M23C4,R21,-1
398,21,R21,RN19AO2,1
439,21,OH,R21,-1
20,22,M2HEX,R22,-1
394,22,R22,RN22O2,1
439,22,OH,R22,-1
41,23,M3HEX,R23,-1
394,23,R23,RN22O2,1
439,23,OH,R23,-1
41,24,M3HEX,R24,-1
393,24,R24,RN22AO2,1
439,24,OH,R24,-1
21,25,CHEX,R25,-1
274,25,R25,RC18O2,1
439,25,OH,R25,-1
369,26,C2H4,R26,-1
403,26,R26,HOCH2CH2O2,1
439,26,OH,R26,-1
341,27,C3H6,R27,-1
421,27,R27,RN9O2,1
439,27,OH,R27,-1
260,28,BUT1ENE,R28,-1
419,28,R28,RN12O2,1
439,28,OH,R28,-1
424,29,PENT1ENE,R29,-1
426,29,R29,RN15O2,1
439,29,OH,R29,-1
295,30,HEX1ENE,R30,-1
407,30,R30,RN18O2,1
439,30,OH,R30,-1
268,31,CBUT2ENE,R31,-1
419,31,R31,RN12O2,1
439,31,OH,R31,-1
272,32,TBUT2ENE,R32,-1
419,32,R32,RN12O2,1
439,32,OH,R32,-1
261,33,CPENT2ENE,R33,-1
426,33,R33,RN15O2,1
439,33,OH,R33,-1
262,34,TPENT2ENE,R34,-1
426,34,R34,RN15O2,1
439,34,OH,R34,-1
263,35,CHEX2ENE,R35,-1
407,35,R35,RN18O2,1
439,35,OH,R35,-1
264,36,THEX2ENE,R36,-1
407,36,R36,RN18O2,1
439,36,OH,R36,-1
318,37,MEPROPENE,R37,-1
328,37,R37,RI12O2,1
439,37,OH,R37,-1
278,38,ME2BUT1ENE,R38,-1
436,38,R38,RN15AO2,1
439,38,OH,R38,-1
279,39,ME3BUT1ENE,R39,-1
321,39,R39,RI15O2,1
439,39,OH,R39,-1
267,40,ME2BUT2ENE,R40,-1
321,40,R40,RI15O2,1
439,40,OH,R40,-1
270,41,R41,NRN6O2,1
369,41,C2H4,R41,-1
437,41,NO3,R41,-1
341,42,C3H6,R42,-1
342,42,R42,NRN9O2,1
437,42,NO3,R42,-1
260,43,BUT1ENE,R43,-1
310,43,R43,NRN12O2,1
437,43,NO3,R43,-1
359,44,R44,NRN15O2,1
424,44,PENT1ENE,R44,-1
437,44,NO3,R44,-1
295,45,HEX1ENE,R45,-1
301,45,R45,NRN18O2,1
437,45,NO3,R45,-1
268,46,CBUT2ENE,R46,-1
310,46,R46,NRN12O2,1
437,46,NO3,R46,-1
272,47,TBUT2ENE,R47,-1
310,47,R47,NRN12O2,1
437,47,NO3,R47,-1
261,48,CPENT2ENE,R48,-1
359,48,R48,NRN15O2,1
437,48,NO3,R48,-1
262,49,TPENT2ENE,R49,-1
359,49,R49,NRN15O2,1
437,49,NO3,R49,-1
263,50,CHEX2ENE,R50,-1
301,50,R50,NRN18O2,1
437,50,NO3,R50,-1
264,51,THEX2ENE,R51,-1
301,51,R51,NRN18O2,1
437,51,NO3,R51,-1
290,52,R52,NRI12O2,1
318,52,MEPROPENE,R52,-1
437,52,NO3,R52,-1
278,53,ME2BUT1ENE,R53,-1
359,53,R53,NRN15O2,1
437,53,NO3,R53,-1
279,54,ME3BUT1ENE,R54,-1
323,54,R54,NRI15O2,1
437,54,NO3,R54,-1
267,55,ME2BUT2ENE,R55,-1
323,55,R55,NRI15O2,1
437,55,NO3,R55,-1
369,56,C2H4,R56,-1
376,56,R56,CO,1
415,56,R56,HCHO,1
434,56,O3,R56,-1
439,56,R56,OH,1
441,56,R56,HO2,1
277,57,R57,HCOOH,1
369,57,C2H4,R57,-1
415,57,R57,HCHO,1
434,57,O3,R57,-1
341,58,C3H6,R58,-1
376,58,R58,CO,1
415,58,R58,HCHO,1
417,58,R58,CH3O2,1
434,58,O3,R58,-1
439,58,R58,OH,1
235,59,R59,CH3CO2H,1
341,59,C3H6,R59,-1
415,59,R59,HCHO,1
434,59,O3,R59,-1
260,60,BUT1ENE,R60,-1
376,60,R60,CO,1
415,60,R60,HCHO,1
423,60,R60,C2H5O2,1
434,60,O3,R60,-1
439,60,R60,OH,1
136,61,R61,PROPACID,1
260,61,BUT1ENE,R61,-1
415,61,R61,HCHO,1
434,61,O3,R61,-1
268,62,CBUT2ENE,R62,-1
376,62,R62,CO,1
417,62,R62,CH3O2,1
433,62,R62,CH3CHO,1
434,62,O3,R62,-1
439,62,R62,OH,1
235,63,R63,CH3CO2H,1
268,63,CBUT2ENE,R63,-1
433,63,R63,CH3CHO,1
434,63,O3,R63,-1
272,64,TBUT2ENE,R64,-1
376,64,R64,CO,1
417,64,R64,CH3O2,1
433,64,R64,CH3CHO,1
434,64,O3,R64,-1
439,64,R64,OH,1
235,65,R65,CH3CO2H,1
272,65,TBUT2ENE,R65,-1
433,65,R65,CH3CHO,1
434,65,O3,R65,-1
318,66,MEPROPENE,R66,-1
371,66,R66,CH3COCH3,1
376,66,R66,CO,1
434,66,O3,R66,-1
439,66,R66,OH,1
441,66,R66,HO2,1
277,67,R67,HCOOH,1
