! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Dense species-by-atom composition matrix (variable species only) in CSV format
! 
! Generated by KPP-3.3.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : cri_SpeciesCompositionMatrix.csv
! Equation file        : cri.kpp
! Output root filename : cri
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



species_index,species_name,IGNORE,H,C,N,O,S
1,NA,1,0,0,0,0,0
2,SA,1,0,0,0,0,0
3,SO3,0,0,0,0,3,1
4,C2H6,0,6,2,0,0,0
5,NC4H10,0,10,4,0,0,0
6,NC5H12,0,12,5,0,0,0
7,NC6H14,0,14,6,0,0,0
8,NC7H16,0,16,7,0,0,0
9,NC8H18,0,18,8,0,0,0
10,NC9H20,0,20,9,0,0,0
11,NC10H22,0,22,10,0,0,0
12,NC11H24,0,24,11,0,0,0
13,NC12H26,0,26,12,0,0,0
14,IC4H10,0,10,4,0,0,0
15,IC5H12,0,12,5,0,0,0
16,NEOP,0,12,5,0,0,0
17,M2PE,0,14,6,0,0,0
18,M3PE,0,14,6,0,0,0
19,M22C4,0,14,6,0,0,0
20,M2HEX,0,16,7,0,0,0
21,CHEX,0,12,6,0,0,0
22,TM135B,0,12,9,0,0,0
23,OETHTOL,0,12,9,0,0,0
24,METHTOL,0,12,9,0,0,0
25,PETHTOL,0,12,9,0,0,0
26,DIME35EB,0,14,10,0,0,0
27,DIET35TOL,0,16,11,0,0,0
28,NBUTOL,0,10,4,0,1,0
29,TBUTOL,0,10,4,0,1,0
30,IPEAOH,0,12,5,0,1,0
31,ME3BUOL,0,12,5,0,1,0
32,IPECOH,0,12,5,0,1,0
33,DMC,0,6,3,0,3,0
34,METHACET,0,6,3,0,2,0
35,IPROACET,0,10,5,0,2,0
36,NBUTACET,0,12,6,0,2,0
37,SBUTACET,0,12,6,0,2,0
38,O1D,0,0,0,0,1,0
39,HSO3,0,1,0,0,3,1
40,CH4,0,4,1,0,0,0
41,M3HEX,0,16,7,0,0,0
42,C3H8,0,8,3,0,0,0
43,OXYL,0,10,8,0,0,0
44,MXYL,0,10,8,0,0,0
45,PXYL,0,10,8,0,0,0
46,EBENZ,0,10,8,0,0,0
47,TM123B,0,12,9,0,0,0
48,TM124B,0,12,9,0,0,0
49,PBENZ,0,12,9,0,0,0
50,IPBENZ,0,12,9,0,0,0
51,ETHGLY,0,6,2,0,2,0
52,DMM,0,8,3,0,2,0
53,NPROACET,0,10,5,0,2,0
54,M23C4,0,14,6,0,0,0
55,BENZENE,0,6,6,0,0,0
56,TOLUENE,0,8,7,0,0,0
57,MEK,0,8,4,0,1,0
58,MPRK,0,10,5,0,1,0
59,HEX2ONE,0,12,6,0,1,0
60,HEX3ONE,0,12,6,0,1,0
61,MIBK,0,12,6,0,1,0
62,MTBK,0,12,6,0,1,0
63,BUT2OL,0,10,4,0,1,0
64,IBUTOL,0,10,4,0,1,0
65,PECOH,0,12,5,0,1,0
66,DIEK,0,10,5,0,1,0
67,IPEBOH,0,12,5,0,1,0
68,CYHEXOL,0,12,6,0,1,0
69,PROPGLY,0,8,3,0,2,0
70,TNCARB15,1,0,0,0,0,0
71,IEPOX,1,0,0,0,0,0
72,N2O5,0,0,0,2,5,0
73,C2H2,0,2,2,0,0,0
74,MIBKAOH,0,12,6,0,2,0
75,RCOOH25,1,0,0,0,0,0
76,H2,0,2,0,0,0,0
77,CH3OH,0,4,1,0,1,0
78,CARB15,1,0,0,0,0,0
79,CARB21,1,0,0,0,0,0
80,CARB27,1,0,0,0,0,0
81,CARB33,1,0,0,0,0,0
82,HONO,0,1,0,1,2,0
83,SO2,0,0,0,0,2,1
84,AROH14,1,0,0,0,0,0
85,AROH17,1,0,0,0,0,0
86,RAROH17,1,0,0,0,0,0
87,C2H5OH,0,6,2,0,1,0
88,NPROPOL,0,8,3,0,1,0
89,IPROPOL,0,8,3,0,1,0
90,CH3OCH3,0,6,2,0,1,0
91,DIETETHER,0,10,4,0,1,0
92,DIIPRETHER,0,14,6,0,1,0
93,ETHACET,0,8,4,0,2,0
94,TBUACET,0,12,6,0,2,0
95,CCARB14,1,0,0,0,0,0
96,CARB12,1,0,0,0,0,0
97,CARB18,1,0,0,0,0,0
98,CARB24,1,0,0,0,0,0
99,CARB30,1,0,0,0,0,0
100,HMML,0,6,4,0,3,0
101,HOC2H4NO3,1,0,0,0,0,0
102,RN9NO3,1,0,0,0,0,0
103,RN12NO3,1,0,0,0,0,0
104,RTN28NO3,1,0,0,0,0,0
105,C2H5OOH,0,6,2,0,2,0
106,RN10OOH,1,0,0,0,0,0
107,IC3H7OOH,0,8,3,0,2,0
108,RN37OOH,1,0,0,0,0,0
109,RA16BOOH,1,0,0,0,0,0
110,RC18OOH,1,0,0,0,0,0
111,CH3CO3H,0,4,2,0,3,0
112,C2H5CO3H,1,0,0,0,0,0
113,RN11OOH,1,0,0,0,0,0
114,RI11OOH,1,0,0,0,0,0
115,NRN6OOH,1,0,0,0,0,0
116,NRN12OOH,1,0,0,0,0,0
117,NRN18OOH,1,0,0,0,0,0
118,NRU14OOH,1,0,0,0,0,0
119,NRUA20OOH,1,0,0,0,0,0
120,RTN28OOH,1,0,0,0,0,0
121,NRTN28OOH,1,0,0,0,0,0
122,RTN26OOH,1,0,0,0,0,0
123,RTN25OOH,1,0,0,0,0,0
124,RTN24OOH,1,0,0,0,0,0
125,RTX24OOH,1,0,0,0,0,0
126,HO2NO2,0,1,0,1,4,0
127,ETBE,0,14,6,0,1,0
128,MO2EOL,0,8,3,0,2,0
129,EOX2EOL,0,10,4,0,2,0
130,PR2OHMOX,0,10,4,0,2,0
131,CH3OCHO,0,4,2,0,2,0
132,BUOX2ETOH,0,14,6,0,2,0
133,BOX2PROL,0,16,7,0,2,0
134,ECARB7,1,0,0,0,0,0
135,DHCARB9,1,0,0,0,0,0
136,PROPACID,0,6,3,0,2,0
137,MTBE,0,12,5,0,1,0
138,CCARB12,1,0,0,0,0,0
139,CH3NO3,0,3,1,1,3,0
140,C2H5NO3,0,5,2,1,3,0
141,RN10NO3,1,0,0,0,0,0
