! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Representation of the mechanism as a bipartite species-reaction graph in CSV format
! 
! Generated by KPP-3.3.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : chemuci_EdgeList.csv
! Equation file        : chemuci.kpp
! Output root filename : chemuci
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



# species_index (starts from 1),reaction_index (starts from 1),from,to, directed stoichiometric value
40,1,O3,R1,-1
40,1,R1,O3,1
40,2,R2,O3,2
19,3,H2O2,R3,-1
46,3,R3,OH,2
30,4,R4,CO,1
32,4,CH2O,R4,-1
41,4,R4,HO2,2
30,5,R5,CO,1
32,5,CH2O,R5,-1
29,6,CH3OOH,R6,-1
32,6,R6,CH2O,1
41,6,R6,HO2,1
46,6,R6,OH,1
31,7,C2H5OOH,R7,-1
38,7,R7,CH3CHO,1
41,7,R7,HO2,1
46,7,R7,OH,1
40,8,R8,O3,1
43,8,R8,NO,1
44,8,NO2,R8,-1
40,9,R9,O3,1
44,9,R9,NO2,1
45,9,NO3,R9,-1
43,10,R10,NO,1
45,10,NO3,R10,-1
24,11,N2O5,R11,-1
44,11,R11,NO2,1
45,11,R11,NO3,1
24,12,N2O5,R12,-1
40,12,R12,O3,1
43,12,R12,NO,1
45,12,R12,NO3,1
27,13,HNO3,R13,-1
44,13,R13,NO2,1
46,13,R13,OH,1
28,14,HO2NO2,R14,-1
45,14,R14,NO3,1
46,14,R14,OH,1
28,15,HO2NO2,R15,-1
41,15,R15,HO2,1
44,15,R15,NO2,1
30,16,R16,CO,1
38,16,CH3CHO,R16,-1
41,16,R16,HO2,1
42,16,R16,CH3O2,1
20,17,PAN,R17,-1
39,17,R17,CH3CO3,1
44,17,R17,NO2,1
21,18,CH3COCH3,R18,-1
30,18,R18,CO,0.33
39,18,R18,CH3CO3,0.67
42,18,R18,CH3O2,1.33
30,19,R19,CO,1.5
32,19,R19,CH2O,2
37,19,MVKMACR,R19,-1
41,19,R19,HO2,0.5
42,19,R19,CH3O2,0.5
7,20,soa_a1,R20,-1
8,21,soa_a2,R21,-1
9,22,soa_a3,R22,-1
40,23,O3,R23,-1
46,23,R23,OH,2
40,24,O3,R24,-1
41,24,R24,HO2,1
46,24,R24,OH,1
22,25,CH4LNZ,R25,-1
40,25,O3,R25,-1
42,25,R25,CH3O2,1
46,25,R25,OH,1
30,26,CO,R26,-1
46,26,OH,R26,-1
30,27,CO,R27,-1
41,27,R27,HO2,1
46,27,OH,R27,-1
41,28,R28,HO2,1
46,28,OH,R28,-1
22,29,CH4LNZ,R29,-1
42,29,R29,CH3O2,1
46,29,OH,R29,-1
16,30,C2H6,R30,-1
35,30,R30,C2H5O2,1
46,30,OH,R30,-1
18,31,C3H8,R31,-1
21,31,R31,CH3COCH3,0.8
38,31,R31,CH3CHO,0.2
41,31,R31,HO2,1
46,31,OH,R31,-1
26,32,C2H4,R32,-1
34,32,R32,ROHO2,1
46,32,OH,R32,-1
26,33,C2H4,R33,-1
30,33,R33,CO,1
32,33,R33,CH2O,1
38,33,R33,CH3CHO,0.5
40,33,O3,R33,-1
25,34,ISOP,R34,-1
32,34,R34,CH2O,1
