! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Sparse Biadjacency Matrix, aka Stoichiometric Matrix, in CSV format
! 
! Generated by KPP-3.3.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : form1985_BiadjacencyMatrix.csv
! Equation file        : form1985.kpp
! Output root filename : form1985
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



spc_name,species_index,reaction_index,stoichiometric_coefficient
CO,3,1,1
HCO,6,1,-1
HO2,9,1,1
O2,12,1,-1
H2O2,5,2,1
HCO,6,2,1
HO2,9,2,-1
CH2O,11,2,-1
H2O2,5,3,-1
OH,7,3,2
H2O,1,4,1
HCO,6,4,1
OH,7,4,-1
CH2O,11,4,-1
H2O,1,5,1
H2O2,5,5,-1
OH,7,5,-1
HO2,9,5,1
H2O2,5,6,-1
HO2,9,7,-1
H2O2,5,8,1
HO2,9,8,-2
O2,12,8,1
CO2,2,9,1
CO,3,9,-1
OH,7,9,-1
H,8,9,1
CO2,2,10,1
CO,3,10,-1
OH,7,10,1
HO2,9,10,-1
H2,4,11,1
HCO,6,11,1
H,8,11,-1
CH2O,11,11,-1
OH,7,12,1
H,8,12,-1
O,10,12,1
O2,12,12,-1
H,8,13,-1
HO2,9,13,1
O2,12,13,-1
H,8,14,1
HO2,9,14,-1
O2,12,14,1
H2,4,15,-1
OH,7,15,1
H,8,15,1
O,10,15,-1
HCO,6,16,1
OH,7,16,1
O,10,16,-1
CH2O,11,16,-1
H2,4,17,1
H2O2,5,17,-1
H,8,17,-1
HO2,9,17,1
H2O,1,18,1
H2O2,5,18,-1
OH,7,18,1
H,8,18,-1
H2O2,5,19,-1
OH,7,19,1
HO2,9,19,1
O,10,19,-1
CO,3,20,1
HCO,6,20,-1
H,8,20,1
H2O,1,21,1
H2,4,21,-1
OH,7,21,-1
H,8,21,1
HCO,6,22,1
HO2,9,22,1
CH2O,11,22,-1
O2,12,22,-1
OH,7,23,2
H,8,23,-1
HO2,9,23,-1
H2O,1,24,1
H,8,24,-1
HO2,9,24,-1
O,10,24,1
H2,4,25,1
H,8,25,-1
HO2,9,25,-1
O2,12,25,1
