! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Representation of the mechanism as a bipartite species-reaction graph in CSV format
! 
! Generated by KPP-3.4.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
!        P.O. Sturm,  Univ. of Southern California, Los Angeles, CA, USA
! 
! File                 : form1985_EdgeList.csv
! Equation file        : form1985.kpp
! Output root filename : form1985
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



species_index,reaction_index,source,target,directed_stoichiometric_value
3,1,R1,CO,1
6,1,HCO,R1,-1
9,1,R1,HO2,1
12,1,O2,R1,-1
5,2,R2,H2O2,1
6,2,R2,HCO,1
9,2,HO2,R2,-1
11,2,CH2O,R2,-1
5,3,H2O2,R3,-1
7,3,R3,OH,2
1,4,R4,H2O,1
6,4,R4,HCO,1
7,4,OH,R4,-1
11,4,CH2O,R4,-1
1,5,R5,H2O,1
5,5,H2O2,R5,-1
7,5,OH,R5,-1
9,5,R5,HO2,1
5,6,H2O2,R6,-1
9,7,HO2,R7,-1
5,8,R8,H2O2,1
9,8,HO2,R8,-2
12,8,R8,O2,1
2,9,R9,CO2,1
3,9,CO,R9,-1
7,9,OH,R9,-1
8,9,R9,H,1
2,10,R10,CO2,1
3,10,CO,R10,-1
7,10,R10,OH,1
9,10,HO2,R10,-1
4,11,R11,H2,1
6,11,R11,HCO,1
8,11,H,R11,-1
11,11,CH2O,R11,-1
7,12,R12,OH,1
8,12,H,R12,-1
10,12,R12,O,1
12,12,O2,R12,-1
8,13,H,R13,-1
9,13,R13,HO2,1
12,13,O2,R13,-1
8,14,R14,H,1
9,14,HO2,R14,-1
12,14,R14,O2,1
4,15,H2,R15,-1
7,15,R15,OH,1
8,15,R15,H,1
10,15,O,R15,-1
6,16,R16,HCO,1
7,16,R16,OH,1
10,16,O,R16,-1
11,16,CH2O,R16,-1
4,17,R17,H2,1
5,17,H2O2,R17,-1
8,17,H,R17,-1
9,17,R17,HO2,1
1,18,R18,H2O,1
5,18,H2O2,R18,-1
7,18,R18,OH,1
8,18,H,R18,-1
5,19,H2O2,R19,-1
7,19,R19,OH,1
9,19,R19,HO2,1
10,19,O,R19,-1
3,20,R20,CO,1
6,20,HCO,R20,-1
8,20,R20,H,1
1,21,R21,H2O,1
4,21,H2,R21,-1
7,21,OH,R21,-1
8,21,R21,H,1
6,22,R22,HCO,1
9,22,R22,HO2,1
11,22,CH2O,R22,-1
12,22,O2,R22,-1
7,23,R23,OH,2
8,23,H,R23,-1
9,23,HO2,R23,-1
1,24,R24,H2O,1
8,24,H,R24,-1
9,24,HO2,R24,-1
10,24,R24,O,1
4,25,R25,H2,1
8,25,H,R25,-1
9,25,HO2,R25,-1
12,25,R25,O2,1
