! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Representation of the mechanism as a bipartite species-reaction graph in CSV format
! 
! Generated by KPP-3.4.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
!        P.O. Sturm,  Univ. of Southern California, Los Angeles, CA, USA
! 
! File                 : gckpp_EdgeList.csv
! Equation file        : gckpp.kpp
! Output root filename : gckpp
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



species_index,reaction_index,source,target,directed_stoichiometric_value
250,1,O3,R1,-1
251,1,R1,NO2,1
262,1,NO,R1,-1
27,2,R2,LOx,1
250,2,O3,R2,-1
256,2,OH,R2,-1
259,2,R2,HO2,1
27,3,R3,LOx,1
250,3,O3,R3,-1
256,3,R3,OH,1
259,3,HO2,R3,-1
250,4,O3,R4,-1
251,4,NO2,R4,-1
260,4,R4,NO3,1
27,5,R5,LOx,1
241,5,R5,CH2O,1
242,5,MO2,R5,-1
250,5,O3,R5,-1
259,5,R5,HO2,1
26,6,R6,POx,1
256,6,OH,R6,-2
258,6,R6,H2O,1
261,6,R6,O,1
32,7,R7,PH2O2,1
167,7,R7,H2O2,1
256,7,OH,R7,-2
256,8,OH,R8,-1
258,8,R8,H2O,1
259,8,HO2,R8,-1
167,9,H2O2,R9,-1
256,9,OH,R9,-1
258,9,R9,H2O,1
259,9,R9,HO2,1
26,10,R10,POx,1
251,10,R10,NO2,1
256,10,R10,OH,1
259,10,HO2,R10,-1
262,10,NO,R10,-1
32,11,R11,PH2O2,1
167,11,R11,H2O2,1
259,11,HO2,R11,-2
5,12,R12,CO2,1
29,12,R12,LCO,1
238,12,CO,R12,-1
256,12,OH,R12,-1
259,12,R12,HO2,1
31,13,R13,LCH4,1
162,13,CH4,R13,-1
242,13,R13,MO2,1
256,13,OH,R13,-1
258,13,R13,H2O,1
26,14,R14,POx,1
241,14,R14,CH2O,1
242,14,MO2,R14,-1
251,14,R14,NO2,1
259,14,R14,HO2,1
262,14,NO,R14,-1
77,15,R15,MENO3,1
242,15,MO2,R15,-1
262,15,NO,R15,-1
120,16,R16,MP,1
242,16,MO2,R16,-1
259,16,HO2,R16,-1
192,17,R17,MOH,1
241,17,R17,CH2O,1
242,17,MO2,R17,-2
241,18,R18,CH2O,2
242,18,MO2,R18,-2
259,18,R18,HO2,2
120,19,MP,R19,-1
242,19,R19,MO2,1
256,19,OH,R19,-1
258,19,R19,H2O,1
120,20,MP,R20,-1
241,20,R20,CH2O,1
256,20,OH,R20,-1
256,20,R20,OH,1
258,20,R20,H2O,1
170,21,ATOOH,R21,-1
227,21,R21,ATO2,1
256,21,OH,R21,-1
258,21,R21,H2O,1
170,22,ATOOH,R22,-1
208,22,R22,MGLY,1
256,22,OH,R22,-1
256,22,R22,OH,1
258,22,R22,H2O,1
28,23,R23,PCO,1
238,23,R23,CO,1
241,23,CH2O,R23,-1
256,23,OH,R23,-1
258,23,R23,H2O,1
259,23,R23,HO2,1
211,24,R24,HNO3,1
251,24,NO2,R24,-1
256,24,OH,R24,-1
26,25,R25,POx,1
211,25,HNO3,R25,-1
256,25,OH,R25,-1
258,25,R25,H2O,1
260,25,R25,NO3,1
143,26,R26,HNO2,1
256,26,OH,R26,-1
262,26,NO,R26,-1
26,27,R27,POx,1
143,27,HNO2,R27,-1
251,27,R27,NO2,1
256,27,OH,R27,-1
258,27,R27,H2O,1
94,28,R28,HNO4,1
251,28,NO2,R28,-1
259,28,HO2,R28,-1
94,29,HNO4,R29,-1
251,29,R29,NO2,1
259,29,R29,HO2,1
94,30,HNO4,R30,-1
251,30,R30,NO2,1
256,30,OH,R30,-1
258,30,R30,H2O,1
27,31,R31,LOx,1
251,31,R31,NO2,1
256,31,R31,OH,1
259,31,HO2,R31,-1
260,31,NO3,R31,-1
251,32,R32,NO2,2
260,32,NO3,R32,-1
262,32,NO,R32,-1
27,33,R33,LOx,1
251,33,R33,NO2,1
256,33,OH,R33,-1
259,33,R33,HO2,1
260,33,NO3,R33,-1
151,34,R34,N2O5,1
251,34,NO2,R34,-1
260,34,NO3,R34,-1
151,35,N2O5,R35,-1
251,35,R35,NO2,1
260,35,R35,NO3,1
5,36,R36,CO2,1
184,36,HCOOH,R36,-1
256,36,OH,R36,-1
258,36,R36,H2O,1
259,36,R36,HO2,1
192,37,MOH,R37,-1
241,37,R37,CH2O,1
256,37,OH,R37,-1
259,37,R37,HO2,1
27,38,R38,LOx,2
251,38,NO2,R38,-1
251,38,R38,NO2,1
260,38,NO3,R38,-1
262,38,R38,NO,1
27,39,R39,LOx,1
28,39,R39,PCO,1
211,39,R39,HNO3,1
238,39,R39,CO,1
241,39,CH2O,R39,-1
259,39,R39,HO2,1
260,39,NO3,R39,-1
28,40,R40,PCO,0.05
237,40,R40,MCO3,0.95
238,40,R40,CO,0.05
239,40,ALD2,R40,-1
241,40,R40,CH2O,0.05
256,40,OH,R40,-1
258,40,R40,H2O,1
259,40,R40,HO2,0.05
27,41,R41,LOx,1
211,41,R41,HNO3,1
237,41,R41,MCO3,1
239,41,ALD2,R41,-1
260,41,NO3,R41,-1
60,42,R42,PAN,1
237,42,MCO3,R42,-1
251,42,NO2,R42,-1
60,43,PAN,R43,-1
237,43,R43,MCO3,1
251,43,R43,NO2,1
5,44,R44,CO2,1
26,44,R44,POx,1
237,44,MCO3,R44,-1
242,44,R44,MO2,1
251,44,R44,NO2,1
262,44,NO,R44,-1
138,45,C2H6,R45,-1
191,45,R45,ETO2,1
256,45,OH,R45,-1
258,45,R45,H2O,1
26,46,R46,POx,1
191,46,ETO2,R46,-1
239,46,R46,ALD2,1
251,46,R46,NO2,1
259,46,R46,HO2,1
262,46,NO,R46,-1
76,47,R47,ETNO3,1
191,47,ETO2,R47,-1
262,47,NO,R47,-1
26,48,R48,POx,1
229,48,OTHRO2,R48,-1
239,48,R48,ALD2,1
251,48,R48,NO2,1
259,48,R48,HO2,1
262,48,NO,R48,-1
107,49,C3H8,R49,-1
232,49,R49,B3O2,1
256,49,OH,R49,-1
107,50,C3H8,R50,-1
209,50,R50,A3O2,1
256,50,OH,R50,-1
26,51,R51,POx,1
209,51,A3O2,R51,-1
234,51,R51,RCHO,1
251,51,R51,NO2,1
259,51,R51,HO2,1
262,51,NO,R51,-1
78,52,R52,NPRNO3,1
209,52,A3O2,R52,-1
262,52,NO,R52,-1
26,53,R53,POx,1
182,53,PO2,R53,-1
239,53,R53,ALD2,1
241,53,R53,CH2O,1
251,53,R53,NO2,1
259,53,R53,HO2,1
262,53,NO,R53,-1
101,54,ALK4,R54,-1
231,54,R54,R4O2,1
256,54,OH,R54,-1
26,55,R55,POx,1
188,55,R55,ACET,0.32
209,55,R55,A3O2,0.05
228,55,R55,MEK,0.19
229,55,R55,OTHRO2,0.32
231,55,R4O2,R55,-1
232,55,R55,B3O2,0.18
234,55,R55,RCHO,0.14
239,55,R55,ALD2,0.32
242,55,R55,MO2,0.19
251,55,R55,NO2,1
259,55,R55,HO2,0.27
262,55,NO,R55,-1
26,56,R56,POx,1
230,56,R56,R4N2,1
231,56,R4O2,R56,-1
262,56,NO,R56,-1
26,57,R57,POx,1
174,57,R4N1,R57,-1
234,57,R57,RCHO,0.57
239,57,R57,ALD2,0.86
241,57,R57,CH2O,0.57
251,57,R57,NO2,2
262,57,NO,R57,-1
26,58,R58,POx,1
227,58,ATO2,R58,-1
237,58,R58,MCO3,1
241,58,R58,CH2O,1
251,58,R58,NO2,1
262,58,NO,R58,-1
26,59,R59,POx,1
199,59,KO2,R59,-1
230,59,R59,R4N2,0.07
237,59,R59,MCO3,0.93
239,59,R59,ALD2,0.93
251,59,R59,NO2,0.93
262,59,NO,R59,-1
26,60,R60,POx,1
188,60,R60,ACET,1
232,60,B3O2,R60,-1
251,60,R60,NO2,1
259,60,R60,HO2,1
262,60,NO,R60,-1
75,61,R61,IPRNO3,1
232,61,B3O2,R61,-1
262,61,NO,R61,-1
26,62,R62,POx,1
175,62,PRN1,R62,-1
239,62,R62,ALD2,1
241,62,R62,CH2O,1
251,62,R62,NO2,2
262,62,NO,R62,-1
27,63,R63,LOx,1
101,63,ALK4,R63,-1
211,63,R63,HNO3,1
231,63,R63,R4O2,1
260,63,NO3,R63,-1
174,64,R64,R4N1,1
230,64,R4N2,R64,-1
256,64,OH,R64,-1
258,64,R64,H2O,1
5,65,R65,CO2,1
183,65,ACTA,R65,-1
242,65,R65,MO2,1
256,65,OH,R65,-1
258,65,R65,H2O,1
195,66,R66,RCO3,1
234,66,RCHO,R66,-1
256,66,OH,R66,-1
258,66,R66,H2O,1
44,67,R67,PPN,1
195,67,RCO3,R67,-1
251,67,NO2,R67,-1
44,68,PPN,R68,-1
195,68,R68,RCO3,1
251,68,R68,NO2,1
26,69,R69,POx,1
195,69,RCO3,R69,-1
209,69,R69,A3O2,0.07
229,69,R69,OTHRO2,0.5
232,69,R69,B3O2,0.27
251,69,R69,NO2,1
262,69,NO,R69,-1
