! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Representation of the mechanism as a bipartite species-reaction graph in CSV format
! 
! Generated by KPP-3.3.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : gckpp_EdgeList.csv
! Equation file        : gckpp.kpp
! Output root filename : gckpp
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



# species_index (starts from 1),reaction_index (starts from 1),from,to, directed stoichiometric value
276,1,O3,R1,-1
279,1,NO,R1,-1
281,1,R1,NO2,1
35,2,R2,LOx,1
275,2,R2,HO2,1
276,2,O3,R2,-1
277,2,OH,R2,-1
35,3,R3,LOx,1
275,3,HO2,R3,-1
276,3,O3,R3,-1
277,3,R3,OH,1
276,4,O3,R4,-1
281,4,NO2,R4,-1
283,4,R4,NO3,1
35,5,R5,LOx,1
264,5,R5,CH2O,1
265,5,MO2,R5,-1
275,5,R5,HO2,1
276,5,O3,R5,-1
34,6,R6,POx,1
277,6,OH,R6,-2
278,6,R6,O,1
287,6,R6,H2O,1
40,7,R7,PH2O2,1
191,7,R7,H2O2,1
277,7,OH,R7,-2
275,8,HO2,R8,-1
277,8,OH,R8,-1
287,8,R8,H2O,1
191,9,H2O2,R9,-1
275,9,R9,HO2,1
277,9,OH,R9,-1
287,9,R9,H2O,1
34,10,R10,POx,1
275,10,HO2,R10,-1
277,10,R10,OH,1
279,10,NO,R10,-1
281,10,R10,NO2,1
40,11,R11,PH2O2,1
191,11,R11,H2O2,1
275,11,HO2,R11,-2
6,12,R12,CO2,1
37,12,R12,LCO,1
261,12,CO,R12,-1
275,12,R12,HO2,1
277,12,OH,R12,-1
39,13,R13,LCH4,1
187,13,CH4,R13,-1
265,13,R13,MO2,1
277,13,OH,R13,-1
287,13,R13,H2O,1
34,14,R14,POx,1
264,14,R14,CH2O,1
265,14,MO2,R14,-1
275,14,R14,HO2,1
279,14,NO,R14,-1
281,14,R14,NO2,1
90,15,R15,MENO3,1
265,15,MO2,R15,-1
279,15,NO,R15,-1
