! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Representation of the mechanism as a bipartite species-reaction graph in CSV format
! 
! Generated by KPP-3.3.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : Hg_EdgeList.csv
! Equation file        : Hg.kpp
! Output root filename : Hg
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



# species_index (starts from 1),reaction_index (starts from 1),from,to, directed stoichiometric value
3,1,R1,PHg2,1
5,1,R1,PHg2Br,1
30,1,Hg0,R1,-1
32,1,R1,HgBr,1
4,2,R2,PHg0,1
30,2,R2,Hg0,1
32,2,HgBr,R2,-1
4,3,R3,PHg0,1
30,3,R3,Hg0,1
32,3,HgBr,R3,-1
4,4,R4,PHg0,1
30,4,R4,Hg0,1
32,4,HgBr,R4,-1
16,5,R5,HgBrNO2,1
32,5,HgBr,R5,-1
23,6,R6,HgBrHO2,1
32,6,HgBr,R6,-1
13,7,R7,HgBrClO,1
32,7,HgBr,R7,-1
14,8,R8,HgBrBrO,1
32,8,HgBr,R8,-1
31,9,R9,HgBrOH,1
32,9,HgBr,R9,-1
18,10,R10,HgBr2,1
32,10,HgBr,R10,-1
22,11,HgBrO,R11,-1
31,11,R11,HgBrOH,1
22,12,HgBrO,R12,-1
32,12,R12,HgBr,1
22,13,R13,HgBrO,1
32,13,HgBr,R13,-1
3,14,R14,PHg2,1
7,14,R14,PHg2Cl,1
27,14,R14,HgCl,1
30,14,Hg0,R14,-1
4,15,R15,PHg0,1
27,15,HgCl,R15,-1
30,15,R15,Hg0,1
4,16,R16,PHg0,1
27,16,HgCl,R16,-1
