! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Sparse Biadjacency Matrix, aka Stoichiometric Matrix, in CSV format
! 
! Generated by KPP-3.3.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : isoprene_full_v5_BiadjacencyMatrix.csv
! Equation file        : isoprene_full_v5.def
! Output root filename : isoprene_full_v5
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



spc_name,species_index,reaction_index,stoichiometric_coefficient
ISOP,1,1,-1
ISOP1OHc,376,1,1
ISOP,1,2,-1
ISOP1OHt,375,2,1
ISOP,1,3,-1
ISOP4OHc,365,3,1
ISOP,1,4,-1
ISOP4OHt,372,4,1
ISOP1OHt,375,5,-1
ISOP1OH4OOt,380,5,1
ISOP1OHt,375,6,-1
ISOP1OH2OO,379,6,1
ISOP1OHc,376,7,-1
ISOP1OH2OO,379,7,1
ISOP1OHc,376,8,-1
ISOP1OH4OOc,377,8,1
ISOP4OHt,372,9,-1
ISOP1OO4OHt,373,9,1
ISOP4OHt,372,10,-1
ISOP3OO4OH,378,10,1
ISOP4OHc,365,11,-1
ISOP3OO4OH,378,11,1
ISOP4OHc,365,12,-1
ISOP1OO4OHc,374,12,1
ISOP1OHt,375,13,1
ISOP1OH4OOt,380,13,-1
ISOP1OHt,375,14,1
ISOP1OH2OO,379,14,-1
ISOP1OHc,376,15,1
ISOP1OH2OO,379,15,-1
ISOP1OHc,376,16,1
ISOP1OH4OOc,377,16,-1
ISOP4OHt,372,17,1
ISOP1OO4OHt,373,17,-1
ISOP4OHt,372,18,1
ISOP3OO4OH,378,18,-1
ISOP4OHc,365,19,1
ISOP3OO4OH,378,19,-1
ISOP4OHc,365,20,1
ISOP1OO4OHc,374,20,-1
HCHO,9,21,1
MVK,223,21,1
ISOP1OH2OO,379,21,-1
ISOP1OH2N,259,22,1
ISOP1OH2OO,379,22,-1
ISOP1CO4OH,285,23,1
ISOP1OH4OOc,377,23,-1
ISOP1CO2OO3OOH4OH,294,24,1
ISOP1OH4OOc,377,24,-1
ISOP1OH4Nc,358,25,1
ISOP1OH4OOc,377,25,-1
ISOP1CO4OH,285,26,1
ISOP1OH4OOt,380,26,-1
ISOP1CO2OO3OOH4OH,294,27,1
ISOP1OH4OOt,380,27,-1
ISOP1OH4Nt,356,28,1
ISOP1OH4OOt,380,28,-1
ISOP1CO2OOH3OO4OH,293,29,1
ISOP1CO2OO3OOH4OH,294,29,-1
ISOP1CO2OOH3OO4OH,293,30,-1
ISOP1CO2OO3OOH4OH,294,30,1
MGLY,7,31,1
GLYC,8,31,1
ISOP1CO2OO3OOH4OH,294,31,-1
ISOP1CO2N3OOH4OH,5,32,1
ISOP1CO2OO3OOH4OH,294,32,-1
MVK3OOH4OH,46,33,1
CO,199,33,1
ISOP1CO2OO3OOH4OH,294,33,-1
MGLY,7,34,1
GLYC,8,34,1
ISOP1CO2OO3OOH4OH,294,34,-1
MGLY,7,35,1
GLYC,8,35,1
ISOP1CO2OOH3OO4OH,293,35,-1
ISOP1CO2OOH3N4OH,6,36,1
ISOP1CO2OOH3OO4OH,293,36,-1
MVK3OOH4OH,46,37,1
CO,199,37,1
ISOP1CO2OOH3OO4OH,293,37,-1
ISOP1CO2OOH3OOH4OH,15,38,1
ISOP1CO2OOH3OO4OH,293,38,-1
MGLY,7,39,1
GLYC,8,39,1
ISOP1CO2OOH3OO4OH,293,39,-1
HCHO,9,40,1
MACR,267,40,1
ISOP3OO4OH,378,40,-1
ISOP3N4OH,254,41,1
ISOP3OO4OH,378,41,-1
ISOP1OH4CO,319,42,1
ISOP1OO4OHc,374,42,-1
ISOP1OH2OOH3OO4CO,287,43,1
ISOP1OO4OHc,374,43,-1
ISOP1N4OHc,354,44,1
ISOP1OO4OHc,374,44,-1
ISOP1OH4CO,319,45,1
ISOP1OO4OHt,373,45,-1
ISOP1OH2OOH3OO4CO,287,46,1
ISOP1OO4OHt,373,46,-1
ISOP1N4OHt,357,47,1
ISOP1OO4OHt,373,47,-1
ISOP1OH2OO3OOH4CO,286,48,1
ISOP1OH2OOH3OO4CO,287,48,-1
ISOP1OH2OO3OOH4CO,286,49,-1
ISOP1OH2OOH3OO4CO,287,49,1
GLYX,10,50,1
HAC,11,50,1
ISOP1OH2OOH3OO4CO,287,50,-1
ISOP1OH2OOH3N4CO,12,51,1
ISOP1OH2OOH3OO4CO,287,51,-1
MACR2OOH3OH,16,52,1
CO,199,52,1
ISOP1OH2OOH3OO4CO,287,52,-1
ISOP1OH2OOH3OOH4CO,14,53,1
ISOP1OH2OOH3OO4CO,287,53,-1
GLYX,10,54,1
HAC,11,54,1
ISOP1OH2OOH3OO4CO,287,54,-1
GLYX,10,55,1
HAC,11,55,1
ISOP1OH2OO3OOH4CO,286,55,-1
ISOP1OH2N3OOH4CO,13,56,1
ISOP1OH2OO3OOH4CO,286,56,-1
MACR2OOH3OH,16,57,1
CO,199,57,1
ISOP1OH2OO3OOH4CO,286,57,-1
ISOP1OH2OOH3OOH4CO,14,58,1
ISOP1OH2OO3OOH4CO,286,58,-1
GLYX,10,59,1
HAC,11,59,1
ISOP1OH2OO3OOH4CO,286,59,-1
ISOP1CO2OO3OH4OH,242,60,1
ISOP1CO4OH,285,60,-1
MVK3OOH4OH,46,61,1
CO,199,61,1
ISOP1CO4OH,285,61,-1
ISOP1CO1R4OH,275,62,1
ISOP1CO4OH,285,62,-1
MACR2OOH3OH,16,63,1
CO,199,63,1
ISOP1OH4CO,319,63,-1
ISOP1OH2OH3OO4CO,247,64,1
ISOP1OH4CO,319,64,-1
ISOP1OH4CO4R,288,65,1
ISOP1OH4CO,319,65,-1
ISOP1CO1R4OH,275,66,-1
ISOP1CO1OO4OH,284,66,1
ISOP1PAN4OH,283,67,1
ISOP1CO1OO4OH,284,67,-1
ISOP1PAN4OH,283,68,-1
ISOP1CO1OO4OH,284,68,1
C4HVP1,224,69,1
CO2,231,69,1
ISOP1CO1OO4OH,284,69,-1
C4HVP1,224,70,1
CO2,231,70,1
ISOP1CO1OO4OH,284,70,-1
ISOP1CO1OH4OH,195,71,1
ISOP1CO1OO4OH,284,71,-1
ISOP1CO1OOH4OH,197,72,1
ISOP1CO1OO4OH,284,72,-1
MACR2OOH3CO3OOH,27,73,1
CO,199,73,1
ISOP1CO1OO4OH,284,73,-1
ISOP1OH4CO4R,288,74,-1
ISOP1OH4CO4OO,318,74,1
ISOP1OH4PAN,317,75,1
ISOP1OH4CO4OO,318,75,-1
ISOP1OH4PAN,317,76,-1
ISOP1OH4CO4OO,318,76,1
C4HVP2,213,77,1
CO2,231,77,1
ISOP1OH4CO4OO,318,77,-1
C4HVP2,213,78,1
CO2,231,78,1
ISOP1OH4CO4OO,318,78,-1
ISOP1OH4CO4OH,196,79,1
ISOP1OH4CO4OO,318,79,-1
ISOP1OH4CO4OOH,198,80,1
ISOP1OH4CO4OO,318,80,-1
MVK3OOH4CO4OOH,26,81,1
CO,199,81,1
ISOP1OH4CO4OO,318,81,-1
ISOP1OH2OO3CO4OH,202,82,1
ISOP3CO4OH,203,82,-1
ISOP1OH2OOH3CO4OH,21,83,1
ISOP1OH2OO3CO4OH,202,83,-1
HCHO,9,84,1
MVK3CO4OH,201,84,1
ISOP1OH2OO3CO4OH,202,84,-1
HAC,11,85,1
HPA,17,85,1
ISOP1OH2OO3CO4OH,202,85,-1
ISOP1OH2N3CO4OH,18,86,1
ISOP1OH2OO3CO4OH,202,86,-1
HAC,11,87,1
HPA,17,87,1
ISOP1OH2OO3CO4OH,202,87,-1
HCHO,9,88,1
MVK3CO4OH,201,88,1
ISOP1OH2OO3CO4OH,202,88,-1
ISOP1OH2OOH3CO4CO,104,89,1
ISOP1OH2OO3CO4OH,202,89,-1
HCHO,9,90,2
MVK,223,90,2
ISOP1OH2OO,379,90,-2
HCHO,9,91,2
MACR,267,91,2
ISOP3OO4OH,378,91,-2
ISOP3OH4OH,19,92,1
ISOP3CO4OH,203,92,1
ISOP3OO4OH,378,92,-2
HCHO,9,93,2
MVK,223,93,1
MACR,267,93,1
ISOP3OO4OH,378,93,-1
ISOP1OH2OO,379,93,-1
ISOP1OH2OH,20,94,1
ISOP3CO4OH,203,94,1
ISOP3OO4OH,378,94,-1
ISOP1OH2OO,379,94,-1
HCHO,9,95,1
MVK,223,95,1
ISOP1OH4CO,319,95,1
ISOP1OO4OHc,374,95,-1
ISOP1OH2OO,379,95,-1
HCHO,9,96,1
MVK,223,96,1
ISOP1OH2OOH3OO4CO,287,96,1
ISOP1OO4OHc,374,96,-1
ISOP1OH2OO,379,96,-1
ISOP1OH2OH,20,97,1
ISOP1CO4OH,285,97,1
ISOP1OO4OHc,374,97,-1
ISOP1OH2OO,379,97,-1
HCHO,9,98,1
MVK,223,98,1
ISOP1OH4CO,319,98,1
ISOP1OO4OHt,373,98,-1
ISOP1OH2OO,379,98,-1
HCHO,9,99,1
MVK,223,99,1
ISOP1OH2OOH3OO4CO,287,99,1
