! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Representation of the mechanism as a bipartite species-reaction graph in CSV format
! 
! Generated by KPP-3.4.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
!        P.O. Sturm,  Univ. of Southern California, Los Angeles, CA, USA
! 
! File                 : isoprene_full_v5_EdgeList.csv
! Equation file        : isoprene_full_v5.def
! Output root filename : isoprene_full_v5
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



species_index,reaction_index,source,target,directed_stoichiometric_value
1,1,ISOP,R1,-1
376,1,R1,ISOP1OHc,1
1,2,ISOP,R2,-1
375,2,R2,ISOP1OHt,1
1,3,ISOP,R3,-1
365,3,R3,ISOP4OHc,1
1,4,ISOP,R4,-1
372,4,R4,ISOP4OHt,1
375,5,ISOP1OHt,R5,-1
380,5,R5,ISOP1OH4OOt,1
375,6,ISOP1OHt,R6,-1
379,6,R6,ISOP1OH2OO,1
376,7,ISOP1OHc,R7,-1
379,7,R7,ISOP1OH2OO,1
376,8,ISOP1OHc,R8,-1
377,8,R8,ISOP1OH4OOc,1
372,9,ISOP4OHt,R9,-1
373,9,R9,ISOP1OO4OHt,1
372,10,ISOP4OHt,R10,-1
378,10,R10,ISOP3OO4OH,1
365,11,ISOP4OHc,R11,-1
378,11,R11,ISOP3OO4OH,1
365,12,ISOP4OHc,R12,-1
374,12,R12,ISOP1OO4OHc,1
375,13,R13,ISOP1OHt,1
380,13,ISOP1OH4OOt,R13,-1
375,14,R14,ISOP1OHt,1
379,14,ISOP1OH2OO,R14,-1
376,15,R15,ISOP1OHc,1
379,15,ISOP1OH2OO,R15,-1
376,16,R16,ISOP1OHc,1
377,16,ISOP1OH4OOc,R16,-1
372,17,R17,ISOP4OHt,1
373,17,ISOP1OO4OHt,R17,-1
372,18,R18,ISOP4OHt,1
378,18,ISOP3OO4OH,R18,-1
