! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Dense species-by-atom composition matrix (variable species only) in CSV format
! 
! Generated by KPP-3.3.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : isoprene_full_v5_SpeciesCompositionMatrix.csv
! Equation file        : isoprene_full_v5.def
! Output root filename : isoprene_full_v5
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



species_index,species_name,IGNORE
1,ISOP,1
2,ciMVKOO,1
3,ciMACROO,1
4,ISOP1N2OO3CO4OH,1
5,ISOP1CO2N3OOH4OH,1
6,ISOP1CO2OOH3N4OH,1
7,MGLY,1
8,GLYC,1
9,HCHO,1
10,GLYX,1
11,HAC,1
12,ISOP1OH2OOH3N4CO,1
13,ISOP1OH2N3OOH4CO,1
14,ISOP1OH2OOH3OOH4CO,1
15,ISOP1CO2OOH3OOH4OH,1
16,MACR2OOH3OH,1
17,HPA,1
18,ISOP1OH2N3CO4OH,1
19,ISOP3OH4OH,1
20,ISOP1OH2OH,1
21,ISOP1OH2OOH3CO4OH,1
22,ISOP1OH4OH,1
23,CH3OO,1
24,CH3OH,1
25,ISOP1CO23O4OOH,1
26,MVK3OOH4CO4OOH,1
27,MACR2OOH3CO3OOH,1
28,ISOP1CO2N3OOH4OOH,1
29,HPETHNL,1
30,ISOP1CO2OOH3N4OOH,1
31,ISOP1CO2OOH3OOH4OOH,1
32,ISOP1CO2OOH3OOH4N,1
33,ISOP1OOH23O4CO,1
34,ISOP1OOH2OOH3N4CO,1
35,ISOP1OOH2OOH3OOH4CO,1
36,ISOP1OOH2N3OOH4CO,1
37,ISOP1N2OOH3OOH4CO,1
38,ISOP1OOH23O3OH4N,1
39,ISOP1N2OOH34O4OH,1
40,ISOP1OH12O3OOH4N,1
41,ISOP1CO2OOH3OOH4CO,1
42,ISOP1OOH2OOH3CO4CO,1
43,HPAC,1
44,CH3CO3,1
45,MVK3N4OH,1
46,MVK3OOH4OH,1
47,MVK3OOH4OOH,1
48,MVK3OOH4OH4OH,1
49,MVK3OH4OOH,1
50,MVK3N4OH4OH,1
51,ETHLN,1
52,MVK3OH4N,1
53,MVK3OH4OO,1
54,MVK3OO4N,1
55,MACR2OH3OOH,1
56,MACR1OOH,1
57,CH3COOCH2,1
58,MACR1OH,1
59,MACR2N3OH,1
60,MACR2OH3N,1
61,HMML,1
62,MPAN1OH2OOH,1
63,ISOP1OH2OOH3OH4CO,1
64,ISOP1OH2OOH3OH4N,1
65,ISOP1OH2N3OH4OOH,1
66,ISOP1OH2OOH3OH4OOH,1
67,ISOP1OOH2OH3CO4OH,1
68,ISOP1OOH2OH34O4OH,1
69,ISOP1N2OH3OOH4OH,1
70,ISOP1OOH2OH3N4OH,1
71,ISOP1OOH2OH3OOH4OH,1
72,ISOP1CO2OH3OOH4OH,1
73,ISOP1OH2OOH3N4OH,1
74,ISOP1OH2OOH3OOH4OH,1
75,ISOP1OH12O3OOH4OH,1
76,ISOP1OH12O3OH4OOH,1
77,ISOP1OH2N3OOH4OH,1
78,ISOP1OH2OOH34O4OH,1
79,ISOP1N2OOH3OH4CO,1
80,ISOP1CO2OH3OOH4N,1
81,ISOP1OOH2OH3CO4N,1
82,ISO1OH12O,1
83,ISOP1OH23O4CO,1
84,ISOP1CO23O4OH,1
85,ISOP1CO2OH34O,1
86,ISOP1OH2OH34O,1
87,ISOP12O3OH4CO,1
88,ISOP12O3CO4OH,1
89,ISOP1OH3OH4CO,1
90,ISOP1CO3OH4OH,1
91,ISOP1OH2OH3N4CO,1
92,ISOP1OH2OH3OOH4CO,1
93,ISOP1CO2OOH3OH4OH,1
94,ISOP1CO2N3OH4OH,1
95,ISOP1CO4CO,1
96,PPYRAC,1
97,PYRAC,1
98,DHA,1
99,H2SO4,1
100,H2O2,1
101,MACR3OH3OOH,1
102,MVK3OH3OOH,1
103,ISOP1CO2OOH3OH4CO,1
