! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Representation of the mechanism as a bipartite species-reaction graph in CSV format
! 
! Generated by KPP-3.4.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
!        P.O. Sturm,  Univ. of Southern California, Los Angeles, CA, USA
! 
! File                 : isoprene_full_v5_nofixedspc_EdgeList.csv
! Equation file        : isoprene_full_v5_nofixedspc.def
! Output root filename : isoprene_full_v5_nofixedspc
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



species_index,reaction_index,source,target,directed_stoichiometric_value
261,1,R1,ISOP1OHc,1
366,1,ISOP,R1,-1
388,1,OH,R1,-1
260,2,R2,ISOP1OHt,1
366,2,ISOP,R2,-1
388,2,OH,R2,-1
257,3,R3,ISOP4OHc,1
366,3,ISOP,R3,-1
388,3,OH,R3,-1
253,4,R4,ISOP4OHt,1
366,4,ISOP,R4,-1
388,4,OH,R4,-1
260,5,ISOP1OHt,R5,-1
380,5,R5,ISOP1OH4OOt,1
260,6,ISOP1OHt,R6,-1
381,6,R6,ISOP1OH2OO,1
261,7,ISOP1OHc,R7,-1
381,7,R7,ISOP1OH2OO,1
261,8,ISOP1OHc,R8,-1
377,8,R8,ISOP1OH4OOc,1
253,9,ISOP4OHt,R9,-1
376,9,R9,ISOP1OO4OHt,1
253,10,ISOP4OHt,R10,-1
379,10,R10,ISOP3OO4OH,1
257,11,ISOP4OHc,R11,-1
379,11,R11,ISOP3OO4OH,1
257,12,ISOP4OHc,R12,-1
378,12,R12,ISOP1OO4OHc,1
260,13,R13,ISOP1OHt,1
380,13,ISOP1OH4OOt,R13,-1
260,14,R14,ISOP1OHt,1
381,14,ISOP1OH2OO,R14,-1
261,15,R15,ISOP1OHc,1
381,15,ISOP1OH2OO,R15,-1
261,16,R16,ISOP1OHc,1
377,16,ISOP1OH4OOc,R16,-1
253,17,R17,ISOP4OHt,1
376,17,ISOP1OO4OHt,R17,-1
253,18,R18,ISOP4OHt,1
379,18,ISOP3OO4OH,R18,-1
257,19,R19,ISOP4OHc,1
379,19,ISOP3OO4OH,R19,-1
257,20,R20,ISOP4OHc,1
378,20,ISOP1OO4OHc,R20,-1
5,21,R21,HCHO,1
375,21,R21,MVK,1
381,21,ISOP1OH2OO,R21,-1
383,21,R21,NO2,1
389,21,R21,HO2,1
394,21,NO,R21,-1
284,22,R22,ISOP1OH2N,1
381,22,ISOP1OH2OO,R22,-1
394,22,NO,R22,-1
371,23,R23,ISOP1CO4OH,1
377,23,ISOP1OH4OOc,R23,-1
383,23,R23,NO2,1
389,23,R23,HO2,1
394,23,NO,R23,-1
356,24,R24,ISOP1CO2OO3OOH4OH,1
377,24,ISOP1OH4OOc,R24,-1
383,24,R24,NO2,1
394,24,NO,R24,-1
362,25,R25,ISOP1OH4Nc,1
377,25,ISOP1OH4OOc,R25,-1
394,25,NO,R25,-1
371,26,R26,ISOP1CO4OH,1
380,26,ISOP1OH4OOt,R26,-1
383,26,R26,NO2,1
389,26,R26,HO2,1
394,26,NO,R26,-1
356,27,R27,ISOP1CO2OO3OOH4OH,1
380,27,ISOP1OH4OOt,R27,-1
383,27,R27,NO2,1
394,27,NO,R27,-1
363,28,R28,ISOP1OH4Nt,1
380,28,ISOP1OH4OOt,R28,-1
394,28,NO,R28,-1
283,29,R29,ISOP1CO2OOH3OO4OH,1
356,29,ISOP1CO2OO3OOH4OH,R29,-1
283,30,ISOP1CO2OOH3OO4OH,R30,-1
356,30,R30,ISOP1CO2OO3OOH4OH,1
3,31,R31,MGLY,1
4,31,R31,GLYC,1
356,31,ISOP1CO2OO3OOH4OH,R31,-1
383,31,R31,NO2,1
388,31,R31,OH,1
394,31,NO,R31,-1
1,32,R32,ISOP1CO2N3OOH4OH,1
356,32,ISOP1CO2OO3OOH4OH,R32,-1
394,32,NO,R32,-1
171,33,R33,CO,1
268,33,R33,MVK3OOH4OH,1
356,33,ISOP1CO2OO3OOH4OH,R33,-1
388,33,R33,OH,1
3,34,R34,MGLY,1
4,34,R34,GLYC,1
356,34,ISOP1CO2OO3OOH4OH,R34,-1
388,34,R34,OH,2
389,34,HO2,R34,-1
3,35,R35,MGLY,1
4,35,R35,GLYC,1
283,35,ISOP1CO2OOH3OO4OH,R35,-1
383,35,R35,NO2,1
388,35,R35,OH,1
394,35,NO,R35,-1
2,36,R36,ISOP1CO2OOH3N4OH,1
283,36,ISOP1CO2OOH3OO4OH,R36,-1
394,36,NO,R36,-1
171,37,R37,CO,1
268,37,R37,MVK3OOH4OH,1
283,37,ISOP1CO2OOH3OO4OH,R37,-1
388,37,R37,OH,1
11,38,R38,ISOP1CO2OOH3OOH4OH,1
283,38,ISOP1CO2OOH3OO4OH,R38,-1
389,38,HO2,R38,-1
3,39,R39,MGLY,1
4,39,R39,GLYC,1
283,39,ISOP1CO2OOH3OO4OH,R39,-1
388,39,R39,OH,2
389,39,HO2,R39,-1
5,40,R40,HCHO,1
379,40,ISOP3OO4OH,R40,-1
382,40,R40,MACR,1
383,40,R40,NO2,1
389,40,R40,HO2,1
394,40,NO,R40,-1
285,41,R41,ISOP3N4OH,1
379,41,ISOP3OO4OH,R41,-1
394,41,NO,R41,-1
370,42,R42,ISOP1OH4CO,1
378,42,ISOP1OO4OHc,R42,-1
383,42,R42,NO2,1
389,42,R42,HO2,1
394,42,NO,R42,-1
355,43,R43,ISOP1OH2OOH3OO4CO,1
378,43,ISOP1OO4OHc,R43,-1
383,43,R43,NO2,1
394,43,NO,R43,-1
367,44,R44,ISOP1N4OHc,1
378,44,ISOP1OO4OHc,R44,-1
394,44,NO,R44,-1
370,45,R45,ISOP1OH4CO,1
376,45,ISOP1OO4OHt,R45,-1
383,45,R45,NO2,1
389,45,R45,HO2,1
394,45,NO,R45,-1
355,46,R46,ISOP1OH2OOH3OO4CO,1
376,46,ISOP1OO4OHt,R46,-1
383,46,R46,NO2,1
394,46,NO,R46,-1
368,47,R47,ISOP1N4OHt,1
376,47,ISOP1OO4OHt,R47,-1
394,47,NO,R47,-1
280,48,R48,ISOP1OH2OO3OOH4CO,1
355,48,ISOP1OH2OOH3OO4CO,R48,-1
280,49,ISOP1OH2OO3OOH4CO,R49,-1
355,49,R49,ISOP1OH2OOH3OO4CO,1
6,50,R50,GLYX,1
7,50,R50,HAC,1
355,50,ISOP1OH2OOH3OO4CO,R50,-1
383,50,R50,NO2,1
388,50,R50,OH,1
394,50,NO,R50,-1
8,51,R51,ISOP1OH2OOH3N4CO,1
355,51,ISOP1OH2OOH3OO4CO,R51,-1
394,51,NO,R51,-1
12,52,R52,MACR2OOH3OH,1
171,52,R52,CO,1
355,52,ISOP1OH2OOH3OO4CO,R52,-1
388,52,R52,OH,1
10,53,R53,ISOP1OH2OOH3OOH4CO,1
355,53,ISOP1OH2OOH3OO4CO,R53,-1
389,53,HO2,R53,-1
6,54,R54,GLYX,1
7,54,R54,HAC,1
355,54,ISOP1OH2OOH3OO4CO,R54,-1
388,54,R54,OH,2
389,54,HO2,R54,-1
6,55,R55,GLYX,1
7,55,R55,HAC,1
280,55,ISOP1OH2OO3OOH4CO,R55,-1
383,55,R55,NO2,1
388,55,R55,OH,1
394,55,NO,R55,-1
9,56,R56,ISOP1OH2N3OOH4CO,1
280,56,ISOP1OH2OO3OOH4CO,R56,-1
394,56,NO,R56,-1
12,57,R57,MACR2OOH3OH,1
171,57,R57,CO,1
280,57,ISOP1OH2OO3OOH4CO,R57,-1
388,57,R57,OH,1
10,58,R58,ISOP1OH2OOH3OOH4CO,1
280,58,ISOP1OH2OO3OOH4CO,R58,-1
389,58,HO2,R58,-1
6,59,R59,GLYX,1
7,59,R59,HAC,1
280,59,ISOP1OH2OO3OOH4CO,R59,-1
388,59,R59,OH,2
389,59,HO2,R59,-1
352,60,R60,ISOP1CO2OO3OH4OH,1
371,60,ISOP1CO4OH,R60,-1
388,60,OH,R60,-1
171,61,R61,CO,1
268,61,R61,MVK3OOH4OH,1
371,61,ISOP1CO4OH,R61,-1
388,61,OH,R61,-1
389,61,R61,HO2,1
186,62,R62,ISOP1CO1R4OH,1
371,62,ISOP1CO4OH,R62,-1
388,62,OH,R62,-1
12,63,R63,MACR2OOH3OH,1
171,63,R63,CO,1
370,63,ISOP1OH4CO,R63,-1
388,63,OH,R63,-1
389,63,R63,HO2,1
353,64,R64,ISOP1OH2OH3OO4CO,1
370,64,ISOP1OH4CO,R64,-1
388,64,OH,R64,-1
187,65,R65,ISOP1OH4CO4R,1
370,65,ISOP1OH4CO,R65,-1
388,65,OH,R65,-1
186,66,ISOP1CO1R4OH,R66,-1
335,66,R66,ISOP1CO1OO4OH,1
206,67,R67,ISOP1PAN4OH,1
335,67,ISOP1CO1OO4OH,R67,-1
383,67,NO2,R67,-1
206,68,ISOP1PAN4OH,R68,-1
335,68,R68,ISOP1CO1OO4OH,1
383,68,R68,NO2,1
173,69,R69,CO2,1
317,69,R69,C4HVP1,1
335,69,ISOP1CO1OO4OH,R69,-1
383,69,R69,NO2,1
394,69,NO,R69,-1
173,70,R70,CO2,1
317,70,R70,C4HVP1,1
335,70,ISOP1CO1OO4OH,R70,-1
388,70,R70,OH,1
389,70,HO2,R70,-1
167,71,R71,ISOP1CO1OH4OH,1
335,71,ISOP1CO1OO4OH,R71,-1
389,71,HO2,R71,-1
390,71,R71,O3,1
169,72,R72,ISOP1CO1OOH4OH,1
335,72,ISOP1CO1OO4OH,R72,-1
389,72,HO2,R72,-1
23,73,R73,MACR2OOH3CO3OOH,1
171,73,R73,CO,1
335,73,ISOP1CO1OO4OH,R73,-1
388,73,R73,OH,1
187,74,ISOP1OH4CO4R,R74,-1
358,74,R74,ISOP1OH4CO4OO,1
207,75,R75,ISOP1OH4PAN,1
358,75,ISOP1OH4CO4OO,R75,-1
383,75,NO2,R75,-1
207,76,ISOP1OH4PAN,R76,-1
358,76,R76,ISOP1OH4CO4OO,1
383,76,R76,NO2,1
173,77,R77,CO2,1
358,77,ISOP1OH4CO4OO,R77,-1
364,77,R77,C4HVP2,1
383,77,R77,NO2,1
394,77,NO,R77,-1
173,78,R78,CO2,1
358,78,ISOP1OH4CO4OO,R78,-1
364,78,R78,C4HVP2,1
388,78,R78,OH,1
389,78,HO2,R78,-1
168,79,R79,ISOP1OH4CO4OH,1
358,79,ISOP1OH4CO4OO,R79,-1
389,79,HO2,R79,-1
390,79,R79,O3,1
170,80,R80,ISOP1OH4CO4OOH,1
358,80,ISOP1OH4CO4OO,R80,-1
389,80,HO2,R80,-1
22,81,R81,MVK3OOH4CO4OOH,1
171,81,R81,CO,1
358,81,ISOP1OH4CO4OO,R81,-1
388,81,R81,OH,1
306,82,ISOP3CO4OH,R82,-1
373,82,R82,ISOP1OH2OO3CO4OH,1
388,82,OH,R82,-1
17,83,R83,ISOP1OH2OOH3CO4OH,1
