! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Sparse Biadjacency Matrix, aka Stoichiometric Matrix, in CSV format
! 
! Generated by KPP-3.3.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : isoprene_reduced_plus_v5_BiadjacencyMatrix.csv
! Equation file        : isoprene_reduced_plus_v5.def
! Output root filename : isoprene_reduced_plus_v5
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



spc_name,species_index,reaction_index,stoichiometric_coefficient
ISOP,100,1,-1
IHOO1,133,1,1
OH,144,1,-1
ISOP,100,2,-1
IHOO4,132,2,1
OH,144,2,-1
ISOP1CO2OOH,44,3,0.15
HPETHNL,85,3,0.3
ISOP1CO4OOH,92,3,0.25
ISOP,100,3,-1
CO,101,3,0.6
HCHO,115,3,0.3
MGLY,125,3,0.3
CH3CO3,138,3,0.3
OH,144,3,0.5
HO2,145,3,0.4
ISOP3OOH4CO,62,4,0.15
HPAC,78,4,0.3
ISOP1OOH4CO,87,4,0.25
ISOP,100,4,-1
CO,101,4,0.9
HCHO,115,4,0.3
MGLY,125,4,0.3
OH,144,4,0.5
HO2,145,4,0.7
MVK,107,5,2
HCHO,115,5,2
IHOO1,133,5,-2
HO2,145,5,2
HCHO,115,6,2
MACR,126,6,2
IHOO4,132,6,-2
HO2,145,6,2
MVK,107,7,1
HCHO,115,7,2
MACR,126,7,1
IHOO4,132,7,-1
IHOO1,133,7,-1
HO2,145,7,2
ISOP1CO4OH,66,8,0.5
MVK3OOH4OH,81,8,0.5
CO,101,8,0.5
IHOO1,133,8,-2
OH,144,8,0.5
HO2,145,8,0.5
ISOP1OH4CO,67,9,0.5
MACR2OOH3OH,90,9,0.5
CO,101,9,0.5
IHOO4,132,9,-2
OH,144,9,0.5
HO2,145,9,0.5
ISOP1CO4OH,66,10,0.25
ISOP1OH4CO,67,10,0.25
MVK3OOH4OH,81,10,0.25
MACR2OOH3OH,90,10,0.25
CO,101,10,0.5
IHOO4,132,10,-1
IHOO1,133,10,-1
OH,144,10,0.5
HO2,145,10,0.5
ISOP1OH2N,45,11,1
IHOO1,133,11,-1
NO,140,11,-1
MVK,107,12,1
HCHO,115,12,1
IHOO1,133,12,-1
NO2,136,12,1
NO,140,12,-1
HO2,145,12,1
ISOP1OH2OOH,68,13,0.937
MVK,107,13,0.063
HCHO,115,13,0.063
IHOO1,133,13,-1
OH,144,13,0.063
HO2,145,13,-0.937
ISOP1OH4N,121,14,1
IHOO1,133,14,-1
NO,140,14,-1
