! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Dense species-by-atom composition matrix (variable species only) in CSV format
! 
! Generated by KPP-3.3.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : isoprene_reduced_plus_v5_SpeciesCompositionMatrix.csv
! Equation file        : isoprene_reduced_plus_v5.def
! Output root filename : isoprene_reduced_plus_v5
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



species_index,species_name,IGNORE
1,CO2,1
2,H2,1
3,H2O2,1
4,HNO3,1
5,CH3OONO2,1
6,MPANHN,1
7,ISOP3CO4OH,1
8,CH3CO2H,1
9,HMHP,1
10,MACR2OH3N,1
11,MACR1OOH,1
12,HMML,1
13,CH3CO3H,1
14,HCOCO,1
15,HOCH2CO2H,1
16,NCH2CO2H,1
17,MACR2OH3CO,1
18,MACRNOH,1
19,HCOOH,1
20,ICNE,1
21,CH3ONO2,1
22,HOCH2CO3H,1
23,NCH2CO3H,1
24,MVK3CO4N,1
25,CH3OOH,1
26,MACR1OH,1
27,CH3OH,1
28,MACRNOOH,1
29,IHNPE,1
30,PNAN,1
31,PYRAC,1
32,MACR2OH3OOH,1
33,ISOP3CO4N,1
34,PAN,1
35,PHAN,1
36,SCI,1
37,MCRENOL,1
38,IEPOXD,1
39,ISOP1CO4CO,1
40,HPALD1OO,1
41,HPALD2OO,1
42,INO,1
43,IHNB,1
44,ISOP1CO2OOH,1
45,ISOP1OH2N,1
46,ISOP3N4OH,1
47,ICN4OO,1
48,ICN5OO,1
49,IHNDP,1
50,IDCHP,1
51,MPAN,1
52,INPB,1
53,MACR2OOH3N,1
54,MVK3OH4OH,1
55,MVKENOL,1
56,MVK3OOH4N,1
57,C4HVP1,1
58,C4HVP2,1
59,IEPOXt,1
60,IEPOXc,1
61,IDHDP,1
62,ISOP3OOH4CO,1
63,MACR2OH3OH,1
64,MVK3OH4OOH,1
65,IDHDN,1
66,ISOP1CO4OH,1
67,ISOP1OH4CO,1
68,ISOP1OH2OOH,1
69,INPD,1
70,IHNEOO,1
71,ISOP3OOH4OH,1
72,IDNOO,1
73,IDHPE,1
74,MVK3OOH4CO,1
75,ISOP1OOH4OH,1
76,ISOPNOO1,1
77,ISOPNOO2,1
78,HPAC,1
79,MACRNO2,1
80,ISOP1OH4OOH,1
81,MVK3OOH4OH,1
82,IDHNDOO2,1
83,ICN1OO,1
84,ICN2OO,1
85,HPETHNL,1
86,ICHE,1
87,ISOP1OOH4CO,1
88,ICN3OO,1
89,IHPOO2,1
90,MACR2OOH3OH,1
91,HOCH2CO3,1
92,ISOP1CO4OOH,1
93,NCH2CO3,1
94,IDN,1
95,IHPOO3,1
96,MVK3OH4N,1
97,IHPNDOO,1
98,ICHOO,1
99,CH3OO,1
100,ISOP,1
101,CO,1
102,MVK3CO4OH,1
103,IHPNBOO,1
104,PROPNN,1
105,ISOP1N4OH,1
106,IHNE,1
107,MVK,1
108,IHPOO1,1
109,MCROHOO,1
110,IHPDN,1
111,IDHNDOO1,1
112,GLYX,1
113,MACR1OO,1
114,ETHLN,1
115,HCHO,1
116,MACR2N3OH,1
117,ICPDH,1
118,IEPOXBOO,1
119,MVK3OH4CO,1
120,IEPOXAOO,1
121,ISOP1OH4N,1
122,ICHNP,1
123,IDHCN,1
124,HAC,1
125,MGLY,1
126,MACR,1
127,ICHDN,1
128,IDHNBOO,1
129,ISOP1N4CO,1
130,MVK3N4OH,1
131,IDHPN,1
132,IHOO4,1
133,IHOO1,1
134,GLYC,1
135,ISOP1CO4N,1
136,NO2,1
137,MVKOHOO,1
138,CH3CO3,1
139,INO2B,1
140,NO,1
141,NO3,1
142,INO2D,1
143,O3,1
144,OH,1
145,HO2,1
