! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Representation of the mechanism as a bipartite species-reaction graph in CSV format
! 
! Generated by KPP-3.3.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : isoprene_reduced_plus_v5_EdgeList.csv
! Equation file        : isoprene_reduced_plus_v5.def
! Output root filename : isoprene_reduced_plus_v5
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



# species_index (starts from 1),reaction_index (starts from 1),from,to, directed stoichiometric value
100,1,ISOP,R1,-1
133,1,R1,IHOO1,1
144,1,OH,R1,-1
100,2,ISOP,R2,-1
132,2,R2,IHOO4,1
144,2,OH,R2,-1
44,3,R3,ISOP1CO2OOH,0.15
85,3,R3,HPETHNL,0.3
92,3,R3,ISOP1CO4OOH,0.25
100,3,ISOP,R3,-1
101,3,R3,CO,0.6
115,3,R3,HCHO,0.3
125,3,R3,MGLY,0.3
138,3,R3,CH3CO3,0.3
144,3,OH,R3,-1
144,3,R3,OH,1.5
145,3,R3,HO2,0.4
62,4,R4,ISOP3OOH4CO,0.15
78,4,R4,HPAC,0.3
87,4,R4,ISOP1OOH4CO,0.25
100,4,ISOP,R4,-1
101,4,R4,CO,0.9
115,4,R4,HCHO,0.3
125,4,R4,MGLY,0.3
144,4,OH,R4,-1
144,4,R4,OH,1.5
145,4,R4,HO2,0.7
107,5,R5,MVK,2
115,5,R5,HCHO,2
133,5,IHOO1,R5,-2
145,5,R5,HO2,2
115,6,R6,HCHO,2
126,6,R6,MACR,2
132,6,IHOO4,R6,-2
145,6,R6,HO2,2
107,7,R7,MVK,1
115,7,R7,HCHO,2
126,7,R7,MACR,1
132,7,IHOO4,R7,-1
133,7,IHOO1,R7,-1
145,7,R7,HO2,2
66,8,R8,ISOP1CO4OH,0.5
81,8,R8,MVK3OOH4OH,0.5
101,8,R8,CO,0.5
133,8,IHOO1,R8,-2
144,8,R8,OH,0.5
145,8,R8,HO2,0.5
67,9,R9,ISOP1OH4CO,0.5
90,9,R9,MACR2OOH3OH,0.5
101,9,R9,CO,0.5
132,9,IHOO4,R9,-2
144,9,R9,OH,0.5
145,9,R9,HO2,0.5
66,10,R10,ISOP1CO4OH,0.25
67,10,R10,ISOP1OH4CO,0.25
81,10,R10,MVK3OOH4OH,0.25
90,10,R10,MACR2OOH3OH,0.25
101,10,R10,CO,0.5
132,10,IHOO4,R10,-1
133,10,IHOO1,R10,-1
144,10,R10,OH,0.5
145,10,R10,HO2,0.5
45,11,R11,ISOP1OH2N,1
133,11,IHOO1,R11,-1
140,11,NO,R11,-1
107,12,R12,MVK,1
115,12,R12,HCHO,1
133,12,IHOO1,R12,-1
136,12,R12,NO2,1
140,12,NO,R12,-1
145,12,R12,HO2,1
68,13,R13,ISOP1OH2OOH,0.937
107,13,R13,MVK,0.063
115,13,R13,HCHO,0.063
133,13,IHOO1,R13,-1
144,13,R13,OH,0.063
145,13,HO2,R13,-1
145,13,R13,HO2,0.063
121,14,R14,ISOP1OH4N,1
133,14,IHOO1,R14,-1
140,14,NO,R14,-1
66,15,R15,ISOP1CO4OH,0.45
81,15,R15,MVK3OOH4OH,0.55
101,15,R15,CO,0.55
133,15,IHOO1,R15,-1
136,15,R15,NO2,1
140,15,NO,R15,-1
144,15,R15,OH,0.55
145,15,R15,HO2,0.45
80,16,R16,ISOP1OH4OOH,1
133,16,IHOO1,R16,-1
145,16,HO2,R16,-1
107,17,R17,MVK,1
115,17,R17,HCHO,2
133,17,IHOO1,R17,-1
145,17,R17,HO2,2
66,18,R18,ISOP1CO4OH,0.5
81,18,R18,MVK3OOH4OH,0.5
101,18,R18,CO,0.5
115,18,R18,HCHO,1
133,18,IHOO1,R18,-1
144,18,R18,OH,0.5
145,18,R18,HO2,1.5
107,19,R19,MVK,1
115,19,R19,HCHO,1
133,19,IHOO1,R19,-1
144,19,R19,OH,1
44,20,R20,ISOP1CO2OOH,0.15
85,20,R20,HPETHNL,0.3
92,20,R20,ISOP1CO4OOH,0.25
101,20,R20,CO,0.6
115,20,R20,HCHO,0.3
125,20,R20,MGLY,0.3
133,20,IHOO1,R20,-1
138,20,R20,CH3CO3,0.3
144,20,R20,OH,1.5
145,20,R20,HO2,0.4
46,21,R21,ISOP3N4OH,1
132,21,IHOO4,R21,-1
140,21,NO,R21,-1
115,22,R22,HCHO,1
126,22,R22,MACR,1
132,22,IHOO4,R22,-1
136,22,R22,NO2,1
140,22,NO,R22,-1
145,22,R22,HO2,1
71,23,R23,ISOP3OOH4OH,0.937
115,23,R23,HCHO,0.063
126,23,R23,MACR,0.063
132,23,IHOO4,R23,-1
144,23,R23,OH,0.063
145,23,HO2,R23,-1
145,23,R23,HO2,0.063
105,24,R24,ISOP1N4OH,1
132,24,IHOO4,R24,-1
140,24,NO,R24,-1
67,25,R25,ISOP1OH4CO,0.45
90,25,R25,MACR2OOH3OH,0.55
101,25,R25,CO,0.55
132,25,IHOO4,R25,-1
136,25,R25,NO2,1
140,25,NO,R25,-1
144,25,R25,OH,0.55
145,25,R25,HO2,0.45
75,26,R26,ISOP1OOH4OH,1
132,26,IHOO4,R26,-1
145,26,HO2,R26,-1
115,27,R27,HCHO,2
126,27,R27,MACR,1
132,27,IHOO4,R27,-1
145,27,R27,HO2,2
67,28,R28,ISOP1OH4CO,0.5
90,28,R28,MACR2OOH3OH,0.5
101,28,R28,CO,0.5
115,28,R28,HCHO,1
132,28,IHOO4,R28,-1
144,28,R28,OH,0.5
145,28,R28,HO2,1.5
115,29,R29,HCHO,1
126,29,R29,MACR,1
132,29,IHOO4,R29,-1
144,29,R29,OH,1
62,30,R30,ISOP3OOH4CO,0.15
78,30,R30,HPAC,0.3
87,30,R30,ISOP1OOH4CO,0.25
101,30,R30,CO,0.9
115,30,R30,HCHO,0.3
125,30,R30,MGLY,0.3
132,30,IHOO4,R30,-1
144,30,R30,OH,1.5
145,30,R30,HO2,0.7
44,31,ISOP1CO2OOH,R31,-1
64,31,R31,MVK3OH4OOH,0.19
86,31,R31,ICHE,0.58
101,31,R31,CO,0.42
107,31,R31,MVK,0.23
144,31,OH,R31,-1
144,31,R31,OH,1
44,32,ISOP1CO2OOH,R32,-1
101,32,R32,CO,1
107,32,R32,MVK,1
144,32,R32,OH,1
145,32,R32,HO2,1
32,33,R33,MACR2OH3OOH,0.09
62,33,ISOP3OOH4CO,R33,-1
86,33,R33,ICHE,0.77
101,33,R33,CO,0.23
126,33,R33,MACR,0.14
144,33,OH,R33,-1
144,33,R33,OH,1
62,34,ISOP3OOH4CO,R34,-1
101,34,R34,CO,1
126,34,R34,MACR,1
144,34,R34,OH,1
145,34,R34,HO2,1
1,35,R35,CO2,0.355
66,35,ISOP1CO4OH,R35,-1
81,35,R35,MVK3OOH4OH,0.193
101,35,R35,CO,0.548
120,35,R35,IEPOXAOO,0.452
125,35,R35,MGLY,0.355
144,35,OH,R35,-1
144,35,R35,OH,1.065
145,35,R35,HO2,0.193
1,36,R36,CO2,0.355
67,36,ISOP1OH4CO,R36,-1
90,36,R36,MACR2OOH3OH,0.452
101,36,R36,CO,0.807
118,36,R36,IEPOXBOO,0.193
125,36,R36,MGLY,0.355
144,36,OH,R36,-1
144,36,R36,OH,1.065
145,36,R36,HO2,0.452
7,37,ISOP3CO4OH,R37,-1
98,37,R37,ICHOO,1
144,37,OH,R37,-1
98,38,ICHOO,R38,-1
101,38,R38,CO,0.52
102,38,R38,MVK3CO4OH,0.13
115,38,R38,HCHO,0.65
117,38,R38,ICPDH,0.35
124,38,R38,HAC,0.52
144,38,R38,OH,0.65
145,38,HO2,R38,-1
145,38,R38,HO2,0.65
98,39,ICHOO,R39,-1
123,39,R39,IDHCN,1
140,39,NO,R39,-1
98,40,ICHOO,R40,-1
101,40,R40,CO,0.8
102,40,R40,MVK3CO4OH,0.2
115,40,R40,HCHO,1
124,40,R40,HAC,0.8
136,40,R40,NO2,1
140,40,NO,R40,-1
145,40,R40,HO2,1
98,41,ICHOO,R41,-1
101,41,R41,CO,2
124,41,R41,HAC,1
144,41,R41,OH,1
145,41,R41,HO2,1
68,42,ISOP1OH2OOH,R42,-1
95,42,R42,IHPOO3,0.655
108,42,R42,IHPOO1,0.345
144,42,OH,R42,-1
59,43,R43,IEPOXt,0.67
60,43,R43,IEPOXc,0.33
68,43,ISOP1OH2OOH,R43,-1
144,43,OH,R43,-1
144,43,R43,OH,1
71,44,ISOP3OOH4OH,R44,-1
89,44,R44,IHPOO2,0.345
95,44,R44,IHPOO3,0.655
144,44,OH,R44,-1
59,45,R45,IEPOXt,0.68
60,45,R45,IEPOXc,0.32
71,45,ISOP3OOH4OH,R45,-1
144,45,OH,R45,-1
144,45,R45,OH,1
68,46,ISOP1OH2OOH,R46,-1
81,46,R46,MVK3OOH4OH,0.125
101,46,R46,CO,0.25
107,46,R46,MVK,0.125
133,46,R46,IHOO1,0.75
144,46,OH,R46,-1
145,46,R46,HO2,0.25
7,47,R47,ISOP3CO4OH,0.16
