! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Sparse Biadjacency Matrix, aka Stoichiometric Matrix, in CSV format
! 
! Generated by KPP-3.3.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : jam_BiadjacencyMatrix.csv
! Equation file        : jam.kpp
! Output root filename : jam
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



spc_name,species_index,reaction_index,stoichiometric_coefficient
O3P,241,1,-1
O2,242,1,-1
O3,243,1,1
O3P,241,2,-1
O2,242,2,2
O3,243,2,-1
O3P,241,3,-2
O2,242,3,1
O3P,241,4,1
O1D,245,4,-1
O3P,241,5,1
O1D,245,5,-1
H2O,228,6,-1
OH,234,6,2
O1D,245,6,-1
HO2,237,7,1
O2,242,7,-1
H,244,7,-1
OH,234,8,1
O2,242,8,1
O3,243,8,-1
H,244,8,-1
OH,234,9,2
HO2,237,9,-1
H,244,9,-1
H2O,228,10,1
HO2,237,10,-1
O3P,241,10,1
H,244,10,-1
H2,190,11,1
HO2,237,11,-1
O2,242,11,1
H,244,11,-1
H2,190,12,-1
OH,234,12,1
O3P,241,12,-1
H,244,12,1
H2,190,13,-1
H2O,228,13,1
OH,234,13,-1
H,244,13,1
OH,234,14,-1
O3P,241,14,-1
O2,242,14,1
H,244,14,1
H2O,228,15,1
OH,234,15,-2
O3P,241,15,1
H2O2,160,16,1
OH,234,16,-2
OH,234,17,-1
HO2,237,17,1
O2,242,17,1
O3,243,17,-1
OH,234,18,1
HO2,237,18,-1
O3P,241,18,-1
O2,242,18,1
H2O,228,19,1
OH,234,19,-1
HO2,237,19,-1
O2,242,19,1
OH,234,20,1
HO2,237,20,-1
O2,242,20,2
O3,243,20,-1
H2O2,160,21,1
HO2,237,21,-2
O2,242,21,1
H2O2,160,22,-1
OH,234,22,1
HO2,237,22,1
O3P,241,22,-1
H2O2,160,23,-1
H2O,228,23,1
OH,234,23,-1
HO2,237,23,1
N,123,24,-1
OH,234,24,-1
NO,239,24,1
H,244,24,1
N,123,25,-1
NO,239,25,1
O3P,241,25,1
O2,242,25,-1
N2,55,26,1
N,123,26,-1
NO,239,26,-1
O3P,241,26,1
N2,55,27,0.25
N2O,61,27,0.5
N,123,27,-1
NO,239,27,0.5
NO2,240,27,-1
O3P,241,27,0.5
O2,242,27,0.25
NO,239,28,-1
NO2,240,28,1
O3P,241,28,-1
NO,239,29,-1
NO2,240,29,1
O2,242,29,1
O3,243,29,-1
OH,234,30,1
HO2,237,30,-1
NO,239,30,-1
NO2,240,30,1
NO,239,31,1
NO2,240,31,-1
O3P,241,31,-1
O2,242,31,1
NO3,236,32,1
NO2,240,32,-1
O3P,241,32,-1
NO3,236,33,1
NO2,240,33,-1
O2,242,33,1
O3,243,33,-1
OH,234,34,1
NO,239,34,1
NO2,240,34,-1
H,244,34,-1
HNO3,230,35,1
