! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Representation of the mechanism as a bipartite species-reaction graph in CSV format
! 
! Generated by KPP-3.4.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
!        P.O. Sturm,  Univ. of Southern California, Los Angeles, CA, USA
! 
! File                 : jam_EdgeList.csv
! Equation file        : jam.kpp
! Output root filename : jam
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



species_index,reaction_index,source,target,directed_stoichiometric_value
241,1,O3P,R1,-1
242,1,O2,R1,-1
243,1,R1,O3,1
241,2,O3P,R2,-1
242,2,R2,O2,2
243,2,O3,R2,-1
241,3,O3P,R3,-2
242,3,R3,O2,1
55,4,N2,R4,-1
55,4,R4,N2,1
241,4,R4,O3P,1
245,4,O1D,R4,-1
241,5,R5,O3P,1
242,5,O2,R5,-1
242,5,R5,O2,1
245,5,O1D,R5,-1
228,6,H2O,R6,-1
234,6,R6,OH,2
245,6,O1D,R6,-1
237,7,R7,HO2,1
242,7,O2,R7,-1
244,7,H,R7,-1
234,8,R8,OH,1
242,8,R8,O2,1
243,8,O3,R8,-1
244,8,H,R8,-1
234,9,R9,OH,2
237,9,HO2,R9,-1
244,9,H,R9,-1
228,10,R10,H2O,1
237,10,HO2,R10,-1
241,10,R10,O3P,1
244,10,H,R10,-1
190,11,R11,H2,1
237,11,HO2,R11,-1
242,11,R11,O2,1
244,11,H,R11,-1
190,12,H2,R12,-1
234,12,R12,OH,1
241,12,O3P,R12,-1
244,12,R12,H,1
190,13,H2,R13,-1
228,13,R13,H2O,1
234,13,OH,R13,-1
244,13,R13,H,1
234,14,OH,R14,-1
241,14,O3P,R14,-1
242,14,R14,O2,1
244,14,R14,H,1
228,15,R15,H2O,1
234,15,OH,R15,-2
241,15,R15,O3P,1
160,16,R16,H2O2,1
234,16,OH,R16,-2
234,17,OH,R17,-1
237,17,R17,HO2,1
242,17,R17,O2,1
243,17,O3,R17,-1
234,18,R18,OH,1
237,18,HO2,R18,-1
241,18,O3P,R18,-1
242,18,R18,O2,1
228,19,R19,H2O,1
234,19,OH,R19,-1
237,19,HO2,R19,-1
242,19,R19,O2,1
234,20,R20,OH,1
237,20,HO2,R20,-1
242,20,R20,O2,2
243,20,O3,R20,-1
160,21,R21,H2O2,1
237,21,HO2,R21,-2
242,21,R21,O2,1
160,22,H2O2,R22,-1
234,22,R22,OH,1
237,22,R22,HO2,1
241,22,O3P,R22,-1
160,23,H2O2,R23,-1
228,23,R23,H2O,1
234,23,OH,R23,-1
237,23,R23,HO2,1
123,24,N,R24,-1
234,24,OH,R24,-1
239,24,R24,NO,1
244,24,R24,H,1
123,25,N,R25,-1
239,25,R25,NO,1
241,25,R25,O3P,1
242,25,O2,R25,-1
55,26,R26,N2,1
123,26,N,R26,-1
239,26,NO,R26,-1
241,26,R26,O3P,1
55,27,R27,N2,0.25
61,27,R27,N2O,0.5
123,27,N,R27,-1
