! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Dense species-by-atom composition matrix (variable species only) in CSV format
! 
! Generated by KPP-3.4.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
!        P.O. Sturm,  Univ. of Southern California, Los Angeles, CA, USA
! 
! File                 : jam_SpeciesCompositionMatrix.csv
! Equation file        : jam.kpp
! Output root filename : jam
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



species_index,species_name,IGNORE,H,C,N,O,F,S,Cl,Br
1,SF6,0,0,0,0,0,6,1,0,0
2,CH3SO3H,0,4,1,0,3,0,1,0,0
3,H2SO4,0,2,0,0,4,0,1,0,0
4,PRODUCTS,1,0,0,0,0,0,0,0,0
5,M,1,0,0,0,0,0,0,0,0
6,HF,0,1,0,0,0,1,0,0,0
7,NH3,0,3,0,1,0,0,0,0,0
8,Cl2O2,0,0,0,0,2,0,0,2,0
9,BIGENE,0,8,4,0,0,0,0,0,0
10,CCl4,0,0,1,0,0,0,0,4,0
11,CF2Cl2,0,0,1,0,0,2,0,2,0
12,CFCl3,0,0,1,0,0,1,0,3,0
13,CH3CCl3,0,3,2,0,0,0,0,3,0
14,CH3SO3,0,3,1,0,3,0,1,0,0
15,CFC114,0,0,2,0,0,4,0,2,0
16,H1202,0,0,1,0,0,2,0,0,2
17,H2402,0,0,2,0,0,4,0,0,2
18,OClO,0,0,0,0,2,0,0,1,0
19,BrNO2,0,0,0,1,2,0,0,0,1
20,CF2ClBr,0,0,1,0,0,2,0,1,1
21,CF3Br,0,0,1,0,0,3,0,0,1
22,CFC113,0,0,2,0,0,3,0,3,0
23,CFC115,0,0,2,0,0,5,0,1,0
24,EOOH,0,6,2,0,3,0,0,0,0
25,PBZNIT,0,5,7,1,5,0,0,0,0
26,BENZENE,0,6,6,0,0,0,0,0,0
27,BEPOMUC,0,6,6,0,3,0,0,0,0
28,Cl2,0,0,0,0,0,0,0,2,0
29,ISOPAOH,0,10,5,0,2,0,0,0,0
30,ISOPBOH,0,10,5,0,2,0,0,0,0
31,ISOPDOH,0,10,5,0,2,0,0,0,0
32,C6H5OOH,0,6,6,0,2,0,0,0,0
33,TOLUENE,0,8,7,0,0,0,0,0,0
34,LXYL,0,10,8,0,0,0,0,0,0
35,TEPOMUC,0,8,7,0,3,0,0,0,0
36,N2O5,0,0,0,2,5,0,0,0,0
37,SO2,0,0,0,0,2,0,1,0,0
38,BENZOOH,0,8,6,0,5,0,0,0,0
39,BZOOH,0,8,7,0,2,0,0,0,0
40,MEKNO3,1,0,0,0,0,0,0,0,0
41,XYLENOOH,0,12,8,0,5,0,0,0,0
42,XYLOLOOH,0,12,8,0,6,0,0,0,0
43,BrCl,0,0,0,0,0,0,0,1,1
44,HONO,0,1,0,1,2,0,0,0,0
45,BrONO,1,0,0,0,0,0,0,0,0
46,COF2,0,0,1,0,1,2,0,0,0
47,HCFC141B,0,3,2,0,0,1,0,2,0
48,COFCL,0,0,1,0,1,1,0,1,0
