# species_index (starts from 1),reaction_index (starts from 1),from,to, directed stoichiometric value
3,1,NO2,R1,-1
2,1,R1,NO,1
8,1,R1,O,1
8,2,O,R2,-1
1,2,R2,O3,1
1,3,O3,R3,-1
2,3,NO,R3,-1
3,3,R3,NO2,1
4,4,HCHO,R4,-1
5,4,R4,HO2,2
10,4,R4,CO,1
4,5,HCHO,R5,-1
10,5,R5,CO,1
11,5,R5,H2,1
4,6,HCHO,R6,-1
7,6,OH,R6,-1
5,6,R6,HO2,1
10,6,R6,CO,1
2,7,NO,R7,-1
5,7,HO2,R7,-1
3,7,R7,NO2,1
7,7,R7,OH,1
3,8,NO2,R8,-1
7,8,OH,R8,-1
9,8,R8,HNO3,1
6,9,H2O2,R9,-1
7,9,R9,OH,2
6,10,H2O2,R10,-1
7,10,OH,R10,-1
5,10,R10,HO2,1
