species_index,reaction_index,source,target,directed_stoichiometric_value
3,1,NO2,R1,-1
16,1,O2,R1,-1
1,1,R1,O3,1
2,1,R1,NO,1
1,2,O3,R2,-1
2,2,NO,R2,-1
3,2,R2,NO2,1
16,2,R2,O2,1
4,3,HCHO,R3,-1
16,3,O2,R3,-2
5,3,R3,HO2,2
9,3,R3,CO,1
4,4,HCHO,R4,-1
9,4,R4,CO,1
10,4,R4,H2,1
4,5,HCHO,R5,-1
7,5,OH,R5,-1
16,5,O2,R5,-1
5,5,R5,HO2,1
9,5,R5,CO,1
15,5,R5,H2O,1
2,6,NO,R6,-1
5,6,HO2,R6,-1
3,6,R6,NO2,1
7,6,R6,OH,1
3,7,NO2,R7,-1
7,7,OH,R7,-1
8,7,R7,HNO3,1
6,8,H2O2,R8,-1
7,8,R8,OH,2
6,9,H2O2,R9,-1
7,9,OH,R9,-1
5,9,R9,HO2,1
15,9,R9,H2O,1
7,10,OH,R10,-1
11,10,ALD2,R10,-1
16,10,O2,R10,-1
13,10,R10,MCO3,1
15,10,R10,H2O,1
12,11,MGLY,R11,-1
16,11,O2,R11,-2
5,11,R11,HO2,1
9,11,R11,CO,1
13,11,R11,MCO3,1
3,12,NO2,R12,-1
13,12,MCO3,R12,-1
14,12,R12,PAN,1
14,13,PAN,R13,-1
3,13,R13,NO2,1
13,13,R13,MCO3,1
3,14,R14,NO2,1
4,14,R14,HCHO,1
7,14,OH,R14,-1
9,14,R14,CO,1
14,14,PAN,R14,-1
10,14,R14,H2,1
16,14,R14,O2,1
1,15,O3,R15,-1
5,15,R15,HO2,1
7,15,OH,R15,-1
16,15,R15,O2,1
