from,to,stoichiometry
O1D,R1,1
N2,R1,1
R1,O3P,1
R1,N2,1
O1D,R2,1
O2,R2,1
R2,O3P,1
R2,O2,1
O1D,R3,1
H2O,R3,1
R3,OH,2
O1D,R4,1
CH4,R4,1
R4,OH,1
R4,CH3,1
O1D,R5,1
CH4,R5,1
R5,H2,1
R5,H2CO,1
O1D,R6a,1
N2O,R6a,1
R6a,NO,2
O1D,R6b,1
N2O,R6b,1
R6b,N2,1
R6b,O2,1
O1D,R7,1
H2,R7,1
R7,OH,1
R7,H,1
OH,R8,1
CO,R8,1
R8,CO2,1
R8,H,1
OH,R9,1
CH4,R9,1
R9,CH3,1
R9,H2O,1
OH,R10,1
O3,R10,1
R10,HO2,1
R10,O2,1
HO2,R11,1
O3,R11,1
R11,OH,1
R11,O2,2
HO2,R12,1
NO,R12,1
R12,OH,1
R12,NO2,1
HO2,R13,1
NO2,R13,1
R13,HNO2,1
R13,O2,1
HO2,R14,2
R14,H2O2,1
R14,O2,1
OH,R15,1
HO2,R15,1
R15,H2O,1
R15,O,1
O3,R16,1
NO,R16,1
R16,NO2,1
R16,O2,1
O3,R17,1
NO2,R17,1
R17,O2,1
R17,NO3,1
NO,R18,1
NO3,R18,1
R18,NO2,2
OH,R19,1
H2,R19,1
R19,H2O,1
R19,H,1
OH,R20,1
H2O2,R20,1
R20,H2O,1
R20,HO2,1
OH,R21,1
H2CO,R21,1
R21,H2O,1
R21,HCO,1
OH,R22,1
HNO3,R22,1
R22,H2O,1
R22,NO3,1
OH,R23,1
HNO2,R23,1
R23,H2O,1
R23,NO2,1
OH,R24,1
HO2NO2,R24,1
R24,H2O,1
R24,O2,1
R24,NO2,1
OH,R25,1
CH3CCl3,R25,1
R25,products_R25,1
CH3OO,R26,1
NO,R26,1
R26,CH3O,1
R26,NO2,1
CH3OO,R27,1
HO2,R27,1
R27,CH3OOH,1
R27,O2,1
CH3OO,R28,2
R28,CH3O,2
R28,O2,1
CH3O,R29,1
O2,R29,1
R29,CH2O,1
R29,HO2,1
CH3OOH,R30,1
OH,R30,1
R30,CH3OO,1
R30,H2O,1
HO2NO2,R31f,1
M,R31f,1
R31f,HO2,1
R31f,NO2,1
R31f,M,1
R31r,HO2NO2,1
R31r,M,1
HO2,R31r,1
NO2,R31r,1
M,R31r,1
N2O5,R32f,1
M,R32f,1
R32f,NO2,1
R32f,NO3,1
R32f,M,1
NO2,R32r,1
NO3,R32r,1
M,R32r,1
R32r,N2O5,1
R32r,M,1
O,R33,1
O2,R33,1
M,R33,1
R33,O3,1
R33,M,1
H,R34,1
O2,R34,1
M,R34,1
R34,HO2,1
R34,M,1
OH,R35,1
NO,R35,1
M,R35,1
R35,HNO2,1
R35,M,1
OH,R36,1
NO2,R36,1
M,R36,1
R36,HNO3,1
R36,M,1
HO2,R37,1
NO2,R37,1
M,R37,1
R37,HO2NO2,1
R37,M,1
NO2,R38,1
NO3,R38,1
M,R38,1
R38,N2O5,1
R38,M,1
CH3OO,R39,1
NO2,R39,1
M,R39,1
R39,CH3OONO2,1
R39,M,1
O3,R40,1
hv,R40,1
R40,O2,1
R40,O,1
NO2,R41,1
hv,R41,1
R41,NO,1
R41,O,1
NO3,R42a,1
hv,R42a,1
R42a,NO,1
R42a,O2,1
NO3,R42b,1
hv,R42b,1
R42b,NO2,1
R42b,O,1
N2O5,R43,1
hv,R43,1
R43,NO2,1
R43,NO3,1
HNO2,R44,1
hv,R44,1
R44,OH,1
R44,NO,1
HNO3,R45,1
hv,R45,1
R45,OH,1
R45,NO2,1
HO2NO2,R46,1
hv,R46,1
R46,OH,1
R46,NO3,1
H2O2,R47,1
hv,R47,1
R47,OH,2
H2CO,R48a,1
hv,R48a,1
R48a,H,1
R48a,HCO,1
H2CO,R48b,1
hv,R48b,1
R48b,H2,1
R48b,CO,1
CH3OOH,R49,1
hv,R49,1
R49,CH3O,1
R49,OH,1
H2O2,R50a,1
HNO2,R50a,1
HNO3,R50a,1
HO2NO2,R50a,1
H2CO,R50a,1
CH3COOH,R50a,1
R50a,precip_loss_lowaltitude,1
H2O2,R50b,1
HNO2,R50b,1
HNO3,R50b,1
HO2NO2,R50b,1
H2CO,R50b,1
CH3COOH,R50b,1
R50b,precip_loss_highaltitude,1
H2O2,R51,1
aerosol,R51,1
R51,H2O2_aerosol_loss,1
