original r_id,# species_index (starts from 1),reaction_index (starts from 1),from,to, directed stoichiometric value
R1,15,1,O1D,R1,-1
R1,24,1,R1,O3P,1
R2,15,2,O1D,R2,-1
R2,24,2,R2,O3P,1
R3,15,3,O1D,R3,-1
R3,7,3,H2O,R3,-1
R3,3,3,R3,OH,2
R4,15,4,O1D,R4,-1
R4,1,4,CH4,R4,-1
R4,3,4,R4,OH,1
R4,9,4,R4,CH3,1
R5,15,5,O1D,R5,-1
R5,1,5,CH4,R5,-1
R5,30,5,R5,H2,1
R5,4,5,R5,CH2O,1
R6a,15,6,O1D,R6a,-1
R6a,21,6,N2O,R6a,-1
R6a,23,6,R6a,NO,2
R6b,15,7,O1D,R6b,-1
R6b,21,7,N2O,R6b,-1
R7,15,8,O1D,R7,-1
R7,30,8,H2,R7,-1
R7,3,8,R7,OH,1
R7,10,8,R7,H,1
R8,3,9,OH,R8,-1
R8,25,9,CO,R8,-1
R8,28,9,R8,CO2,1
R8,10,9,R8,H,1
R9,3,10,OH,R9,-1
R9,1,10,CH4,R9,-1
R9,9,10,R9,CH3,1
R9,7,10,R9,H2O,1
R10,3,11,OH,R10,-1
R10,22,11,O3,R10,-1
R10,17,11,R10,HO2,1
R11,17,12,HO2,R11,-1
R11,22,12,O3,R11,-1
R11,3,12,R11,OH,1
R12,17,13,HO2,R12,-1
R12,23,13,NO,R12,-1
R12,3,13,R12,OH,1
R12,16,13,R12,NO2,1
R13,17,14,HO2,R13,-1
R13,16,14,NO2,R13,-1
R13,27,14,R13,HNO2,1
R14,17,15,HO2,R14,-2
R14,36,15,R14,H2O2,1
R15,3,16,OH,R15,-1
R15,17,16,HO2,R15,-1
R15,7,16,R15,H2O,1
R15,24,16,R15,O3P,1
R16,22,17,O3,R16,-1
R16,23,17,NO,R16,-1
R16,16,17,R16,NO2,1
R17,22,18,O3,R17,-1
R17,16,18,NO2,R17,-1
R17,8,18,R17,NO3,1
R18,23,19,NO,R18,-1
R18,8,19,NO3,R18,-1
R18,16,19,R18,NO2,2
R19,3,20,OH,R19,-1
R19,30,20,H2,R19,-1
R19,7,20,R19,H2O,1
R19,10,20,R19,H,1
R20,3,21,OH,R20,-1
R20,36,21,H2O2,R20,-1
R20,7,21,R20,H2O,1
R20,17,21,R20,HO2,1
R21,3,22,OH,R21,-1
R21,4,22,CH2O,R21,-1
R21,7,22,R21,H2O,1
R21,31,22,R21,HCO,1
R22,3,23,OH,R22,-1
R22,37,23,HNO3,R22,-1
R22,7,23,R22,H2O,1
R22,8,23,R22,NO3,1
R23,3,24,OH,R23,-1
R23,27,24,HNO2,R23,-1
R23,7,24,R23,H2O,1
R23,16,24,R23,NO2,1
R24,3,25,OH,R24,-1
R24,29,25,HO2NO2,R24,-1
R24,7,25,R24,H2O,1
R24,16,25,R24,NO2,1
R25,3,26,OH,R25,-1
R25,35,26,CH3CCl3,R25,-1
R26,5,27,CH3OO,R26,-1
R26,23,27,NO,R26,-1
R26,18,27,R26,CH3O,1
R26,16,27,R26,NO2,1
R27,5,28,CH3OO,R27,-1
R27,17,28,HO2,R27,-1
R27,11,28,R27,CH3OOH,1
R28,5,29,CH3OO,R28,-2
R28,18,29,R28,CH3O,2
R29,18,30,CH3O,R29,-1
R29,4,30,R29,CH2O,1
R29,17,30,R29,HO2,1
R30,11,31,CH3OOH,R30,-1
R30,3,31,OH,R30,-1
R30,5,31,R30,CH3OO,1
R30,7,31,R30,H2O,1
R31f,29,32,HO2NO2,R31f,-1
R31f,17,32,R31f,HO2,1
