original r_id,# species_index (starts from 1),reaction_index (starts from 1),from,to, directed stoichiometric value
R1,26,1,O1D,R1,-1
R1,20,1,N2,R1,-1
R1,28,1,R1,O3P,1
R1,20,1,R1,N2,1
R2,26,2,O1D,R2,-1
R2,28,2,R2,O3P,1
R3,26,3,O1D,R3,-1
R3,13,3,H2O,R3,-1
R3,29,3,R3,OH,2
R4,26,4,O1D,R4,-1
R4,8,4,CH4,R4,-1
R4,29,4,R4,OH,1
R4,2,4,R4,CH3,1
R5,26,5,O1D,R5,-1
R5,8,5,CH4,R5,-1
R5,12,5,R5,H2,1
R5,1,5,R5,CH2O,1
R6a,26,6,O1D,R6a,-1
R6a,21,6,N2O,R6a,-1
R6a,23,6,R6a,NO,2
R6b,26,7,O1D,R6b,-1
R6b,21,7,N2O,R6b,-1
R6b,20,7,R6b,N2,1
R7,26,8,O1D,R7,-1
R7,12,8,H2,R7,-1
R7,29,8,R7,OH,1
R7,11,8,R7,H,1
R8,29,9,OH,R8,-1
R8,9,9,CO,R8,-1
R8,10,9,R8,CO2,1
R8,11,9,R8,H,1
R9,29,10,OH,R9,-1
R9,8,10,CH4,R9,-1
R9,2,10,R9,CH3,1
R9,13,10,R9,H2O,1
R10,29,11,OH,R10,-1
R10,27,11,O3,R10,-1
R10,18,11,R10,HO2,1
R11,18,12,HO2,R11,-1
R11,27,12,O3,R11,-1
R11,29,12,R11,OH,1
R12,18,13,HO2,R12,-1
R12,23,13,NO,R12,-1
R12,29,13,R12,OH,1
R12,24,13,R12,NO2,1
R13,18,14,HO2,R13,-1
R13,24,14,NO2,R13,-1
R13,16,14,R13,HNO2,1
R14,18,15,HO2,R14,-2
R14,14,15,R14,H2O2,1
R15,29,16,OH,R15,-1
R15,18,16,HO2,R15,-1
R15,13,16,R15,H2O,1
R15,28,16,R15,O3P,1
R16,27,17,O3,R16,-1
R16,23,17,NO,R16,-1
R16,24,17,R16,NO2,1
R17,27,18,O3,R17,-1
R17,24,18,NO2,R17,-1
