! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Representation of the mechanism as a bipartite species-reaction graph in CSV format
! 
! Generated by KPP-3.3.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : mcm_EdgeList.csv
! Equation file        : mcm.kpp
! Output root filename : mcm
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



# species_index (starts from 1),reaction_index (starts from 1),from,to, directed stoichiometric value
4247,1,O,R1,-1
6022,1,R1,O3,1
4247,2,O,R2,-1
6022,2,O3,R2,-1
4247,3,O,R3,-1
6017,3,R3,NO2,1
6023,3,NO,R3,-1
4247,4,O,R4,-1
6017,4,NO2,R4,-1
6023,4,R4,NO,1
4247,5,O,R5,-1
6017,5,NO2,R5,-1
6024,5,R5,NO3,1
211,6,O1D,R6,-1
4247,6,R6,O,1
6017,7,R7,NO2,1
6022,7,O3,R7,-1
6023,7,NO,R7,-1
6017,8,NO2,R8,-1
6022,8,O3,R8,-1
6024,8,R8,NO3,1
6017,9,R9,NO2,2
6023,9,NO,R9,-2
6017,10,R10,NO2,2
6023,10,NO,R10,-1
6024,10,NO3,R10,-1
6017,11,NO2,R11,-1
6017,11,R11,NO2,1
6023,11,R11,NO,1
6024,11,NO3,R11,-1
382,12,R12,N2O5,1
6017,12,NO2,R12,-1
6024,12,NO3,R12,-1
211,13,O1D,R13,-1
6029,13,R13,OH,2
6022,14,O3,R14,-1
6029,14,OH,R14,-1
6030,14,R14,HO2,1
805,15,H2,R15,-1
6029,15,OH,R15,-1
6030,15,R15,HO2,1
6029,16,OH,R16,-1
6030,16,R16,HO2,1
6034,16,CO,R16,-1
5727,17,H2O2,R17,-1
6029,17,OH,R17,-1
6030,17,R17,HO2,1
6022,18,O3,R18,-1
6029,18,R18,OH,1
6030,18,HO2,R18,-1
6029,19,OH,R19,-1
6030,19,HO2,R19,-1
5727,20,R20,H2O2,1
6030,20,HO2,R20,-2
806,21,R21,HONO,1
6023,21,NO,R21,-1
6029,21,OH,R21,-1
5909,22,R22,HNO3,1
6017,22,NO2,R22,-1
6029,22,OH,R22,-1
6017,23,R23,NO2,1
6024,23,NO3,R23,-1
6029,23,OH,R23,-1
6030,23,R23,HO2,1
6017,24,R24,NO2,1
6023,24,NO,R24,-1
6029,24,R24,OH,1
6030,24,HO2,R24,-1
1935,25,R25,HO2NO2,1
6017,25,NO2,R25,-1
6030,25,HO2,R25,-1
1935,26,HO2NO2,R26,-1
6017,26,R26,NO2,1
6029,26,OH,R26,-1
6017,27,R27,NO2,1
6024,27,NO3,R27,-1
6029,27,R27,OH,1
6030,27,HO2,R27,-1
806,28,HONO,R28,-1
6017,28,R28,NO2,1
6029,28,OH,R28,-1
5909,29,HNO3,R29,-1
6024,29,R29,NO3,1
6029,29,OH,R29,-1
3,30,R30,SO3,1
4247,30,O,R30,-1
5923,30,SO2,R30,-1
212,31,R31,HSO3,1
5923,31,SO2,R31,-1
6029,31,OH,R31,-1
3,32,R32,SO3,1
212,32,HSO3,R32,-1
6030,32,R32,HO2,1
1,33,R33,NA,1
5909,33,HNO3,R33,-1
1,34,R34,NA,2
382,34,N2O5,R34,-1
2,35,R35,SA,1
3,35,SO3,R35,-1
211,36,R36,O1D,1
6022,36,O3,R36,-1
4247,37,R37,O,1
6022,37,O3,R37,-1
5727,38,H2O2,R38,-1
6029,38,R38,OH,2
4247,39,R39,O,1
6017,39,NO2,R39,-1
6023,39,R39,NO,1
6023,40,R40,NO,1
6024,40,NO3,R40,-1
4247,41,R41,O,1
6017,41,R41,NO2,1
6024,41,NO3,R41,-1
806,42,HONO,R42,-1
6023,42,R42,NO,1
6029,42,R42,OH,1
5909,43,HNO3,R43,-1
6017,43,R43,NO2,1
6029,43,R43,OH,1
382,44,N2O5,R44,-1
6017,44,R44,NO2,1
6024,44,R44,NO3,1
1935,45,HO2NO2,R45,-1
6017,45,R45,NO2,1
6030,45,R45,HO2,1
3599,46,CH4,R46,-1
5849,46,R46,CH3O2,1
6029,46,OH,R46,-1
2942,47,R47,CH3O,1
5849,47,CH3O2,R47,-1
6017,47,R47,NO2,1
6023,47,NO,R47,-1
4033,48,R48,CH3NO3,1
5849,48,CH3O2,R48,-1
6023,48,NO,R48,-1
2942,49,CH3O,R49,-1
5920,49,R49,HCHO,1
6030,49,R49,HO2,1
383,50,R50,CH3O2NO2,1
5849,50,CH3O2,R50,-1
6017,50,NO2,R50,-1
383,51,CH3O2NO2,R51,-1
5849,51,R51,CH3O2,1
6017,51,R51,NO2,1
2942,52,R52,CH3O,1
5849,52,CH3O2,R52,-1
6017,52,R52,NO2,1
6024,52,NO3,R52,-1
2943,53,R53,CH3OOH,1
5849,53,CH3O2,R53,-1
6030,53,HO2,R53,-1
2942,54,R54,CH3O,1
5849,54,CH3O2,R54,-1
5849,55,CH3O2,R55,-1
5920,55,R55,HCHO,1
1936,56,R56,CH3OH,1
5849,56,CH3O2,R56,-1
4033,57,CH3NO3,R57,-1
5920,57,R57,HCHO,1
6017,57,R57,NO2,1
6029,57,OH,R57,-1
2942,58,R58,CH3O,1
4033,58,CH3NO3,R58,-1
6017,58,R58,NO2,1
2943,59,CH3OOH,R59,-1
5849,59,R59,CH3O2,1
6029,59,OH,R59,-1
2943,60,CH3OOH,R60,-1
5920,60,R60,HCHO,1
6029,60,OH,R60,-1
6029,60,R60,OH,1
2942,61,R61,CH3O,1
2943,61,CH3OOH,R61,-1
6029,61,R61,OH,1
3602,62,C2H6,R62,-1
5815,62,R62,C2H5O2,1
6029,62,OH,R62,-1
2944,63,R63,C2H5O,1
5815,63,C2H5O2,R63,-1
6017,63,R63,NO2,1
6023,63,NO,R63,-1
2945,64,R64,C2H5NO3,1
5815,64,C2H5O2,R64,-1
6023,64,NO,R64,-1
2944,65,C2H5O,R65,-1
5867,65,R65,CH3CHO,1
6030,65,R65,HO2,1
2944,66,R66,C2H5O,1
5815,66,C2H5O2,R66,-1
6017,66,R66,NO2,1
6024,66,NO3,R66,-1
2946,67,R67,C2H5OOH,1
5815,67,C2H5O2,R67,-1
6030,67,HO2,R67,-1
2944,68,R68,C2H5O,1
5815,68,C2H5O2,R68,-1
5815,69,C2H5O2,R69,-1
5867,69,R69,CH3CHO,1
2162,70,R70,C2H5OH,1
5815,70,C2H5O2,R70,-1
2945,71,C2H5NO3,R71,-1
5867,71,R71,CH3CHO,1
6017,71,R71,NO2,1
6029,71,OH,R71,-1
