! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Sparse Biadjacency Matrix, aka Stoichiometric Matrix, in CSV format
! 
! Generated by KPP-3.3.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : mcm_BiadjacencyMatrix.csv
! Equation file        : mcm.kpp
! Output root filename : mcm
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



spc_name,species_index,reaction_index,stoichiometric_coefficient
O,4060,1,-1
O3,5830,1,1
O,4060,2,-1
O3,5830,2,-1
O,4060,3,-1
NO,5826,3,-1
NO2,5831,3,1
O,4060,4,-1
NO,5826,4,1
NO2,5831,4,-1
O,4060,5,-1
NO2,5831,5,-1
NO3,5832,5,1
O1D,6,6,-1
O,4060,6,1
NO,5826,7,-1
O3,5830,7,-1
NO2,5831,7,1
O3,5830,8,-1
NO2,5831,8,-1
NO3,5832,8,1
NO,5826,9,-2
NO2,5831,9,2
NO,5826,10,-1
NO2,5831,10,2
NO3,5832,10,-1
NO,5826,11,1
NO3,5832,11,-1
N2O5,157,12,1
NO2,5831,12,-1
NO3,5832,12,-1
O1D,6,13,-1
OH,5824,13,2
OH,5824,14,-1
HO2,5825,14,1
O3,5830,14,-1
H2,321,15,-1
OH,5824,15,-1
HO2,5825,15,1
OH,5824,16,-1
HO2,5825,16,1
CO,5828,16,-1
H2O2,5626,17,-1
OH,5824,17,-1
HO2,5825,17,1
OH,5824,18,1
HO2,5825,18,-1
O3,5830,18,-1
OH,5824,19,-1
HO2,5825,19,-1
H2O2,5626,20,1
HO2,5825,20,-2
HONO,377,21,1
OH,5824,21,-1
NO,5826,21,-1
HNO3,5772,22,1
OH,5824,22,-1
NO2,5831,22,-1
OH,5824,23,-1
HO2,5825,23,1
NO2,5831,23,1
NO3,5832,23,-1
OH,5824,24,1
HO2,5825,24,-1
NO,5826,24,-1
NO2,5831,24,1
HO2NO2,1138,25,1
HO2,5825,25,-1
NO2,5831,25,-1
HO2NO2,1138,26,-1
OH,5824,26,-1
NO2,5831,26,1
OH,5824,27,1
HO2,5825,27,-1
NO2,5831,27,1
NO3,5832,27,-1
HONO,377,28,-1
OH,5824,28,-1
NO2,5831,28,1
HNO3,5772,29,-1
OH,5824,29,-1
NO3,5832,29,1
SO3,3,30,1
O,4060,30,-1
SO2,5827,30,-1
HSO3,7,31,1
OH,5824,31,-1
SO2,5827,31,-1
SO3,3,32,1
HSO3,7,32,-1
HO2,5825,32,1
NA,1,33,1
HNO3,5772,33,-1
NA,1,34,2
N2O5,157,34,-1
SA,2,35,1
SO3,3,35,-1
O1D,6,36,1
O3,5830,36,-1
O,4060,37,1
O3,5830,37,-1
H2O2,5626,38,-1
OH,5824,38,2
O,4060,39,1
NO,5826,39,1
NO2,5831,39,-1
NO,5826,40,1
NO3,5832,40,-1
O,4060,41,1
NO2,5831,41,1
NO3,5832,41,-1
HONO,377,42,-1
OH,5824,42,1
NO,5826,42,1
HNO3,5772,43,-1
OH,5824,43,1
NO2,5831,43,1
N2O5,157,44,-1
NO2,5831,44,1
NO3,5832,44,1
HO2NO2,1138,45,-1
HO2,5825,45,1
NO2,5831,45,1
CH4,2497,46,-1
CH3O2,5803,46,1
OH,5824,46,-1
CH3O,2812,47,1
CH3O2,5803,47,-1
NO,5826,47,-1
NO2,5831,47,1
CH3NO3,3777,48,1
CH3O2,5803,48,-1
NO,5826,48,-1
CH3O,2812,49,-1
HCHO,5808,49,1
HO2,5825,49,1
CH3O2NO2,45,50,1
CH3O2,5803,50,-1
NO2,5831,50,-1
CH3O2NO2,45,51,-1
CH3O2,5803,51,1
NO2,5831,51,1
CH3O,2812,52,1
CH3O2,5803,52,-1
NO2,5831,52,1
NO3,5832,52,-1
CH3OOH,2068,53,1
CH3O2,5803,53,-1
HO2,5825,53,-1
CH3O,2812,54,1
CH3O2,5803,54,-1
CH3O2,5803,55,-1
HCHO,5808,55,1
CH3OH,1140,56,1
CH3O2,5803,56,-1
CH3NO3,3777,57,-1
HCHO,5808,57,1
OH,5824,57,-1
NO2,5831,57,1
CH3O,2812,58,1
CH3NO3,3777,58,-1
NO2,5831,58,1
CH3OOH,2068,59,-1
CH3O2,5803,59,1
OH,5824,59,-1
CH3OOH,2068,60,-1
HCHO,5808,60,1
CH3OOH,2068,61,-1
CH3O,2812,61,1
OH,5824,61,1
C2H6,3172,62,-1
C2H5O2,5705,62,1
OH,5824,62,-1
C2H5O,2502,63,1
C2H5O2,5705,63,-1
NO,5826,63,-1
NO2,5831,63,1
C2H5NO3,2512,64,1
C2H5O2,5705,64,-1
NO,5826,64,-1
C2H5O,2502,65,-1
CH3CHO,5764,65,1
HO2,5825,65,1
C2H5O,2502,66,1
C2H5O2,5705,66,-1
NO2,5831,66,1
NO3,5832,66,-1
C2H5OOH,2255,67,1
C2H5O2,5705,67,-1
HO2,5825,67,-1
C2H5O,2502,68,1
C2H5O2,5705,68,-1
C2H5O2,5705,69,-1
CH3CHO,5764,69,1
C2H5OH,1957,70,1
C2H5O2,5705,70,-1
C2H5NO3,2512,71,-1
CH3CHO,5764,71,1
OH,5824,71,-1
NO2,5831,71,1
C2H5O,2502,72,1
C2H5NO3,2512,72,-1
NO2,5831,72,1
C2H5OOH,2255,73,-1
C2H5O2,5705,73,1
OH,5824,73,-1
C2H5OOH,2255,74,-1
CH3CHO,5764,74,1
C2H5OOH,2255,75,-1
C2H5O,2502,75,1
OH,5824,75,1
C3H8,4089,76,-1
NC3H7O2,5784,76,1
OH,5824,76,-1
C3H8,4089,77,-1
IC3H7O2,5753,77,1
OH,5824,77,-1
NC3H7O,1813,78,1
NC3H7O2,5784,78,-1
NO,5826,78,-1
NO2,5831,78,1
NC3H7NO3,2229,79,1
NC3H7O2,5784,79,-1
NO,5826,79,-1
NC3H7O,1813,80,-1
C2H5CHO,5762,80,1
HO2,5825,80,1
NC3H7O,1813,81,1
NC3H7O2,5784,81,-1
NO2,5831,81,1
NO3,5832,81,-1
NC3H7OOH,2452,82,1
NC3H7O2,5784,82,-1
HO2,5825,82,-1
NC3H7O,1813,83,1
NC3H7O2,5784,83,-1
C2H5CHO,5762,84,1
NC3H7O2,5784,84,-1
NPROPOL,1917,85,1
NC3H7O2,5784,85,-1
NC3H7NO3,2229,86,-1
C2H5CHO,5762,86,1
OH,5824,86,-1
NO2,5831,86,1
NC3H7O,1813,87,1
NC3H7NO3,2229,87,-1
NO2,5831,87,1
NC3H7OOH,2452,88,-1
NC3H7O2,5784,88,1
OH,5824,88,-1
NC3H7OOH,2452,89,-1
C2H5CHO,5762,89,1
NC3H7O,1813,90,1
NC3H7OOH,2452,90,-1
OH,5824,90,1
IC3H7O,1951,91,1
IC3H7O2,5753,91,-1
NO,5826,91,-1
NO2,5831,91,1
IC3H7NO3,2389,92,1
IC3H7O2,5753,92,-1
NO,5826,92,-1
IC3H7O,1951,93,-1
CH3COCH3,5706,93,1
HO2,5825,93,1
IC3H7O,1951,94,1
IC3H7O2,5753,94,-1
NO2,5831,94,1
NO3,5832,94,-1
IC3H7OOH,2211,95,1
IC3H7O2,5753,95,-1
HO2,5825,95,-1
IC3H7O,1951,96,1
IC3H7O2,5753,96,-1
CH3COCH3,5706,97,1
IC3H7O2,5753,97,-1
IPROPOL,2364,98,1
IC3H7O2,5753,98,-1
IC3H7NO3,2389,99,-1
CH3COCH3,5706,99,1
OH,5824,99,-1
NO2,5831,99,1
IC3H7O,1951,100,1
IC3H7NO3,2389,100,-1
NO2,5831,100,1
IC3H7OOH,2211,101,-1
IC3H7O2,5753,101,1
OH,5824,101,-1
IC3H7OOH,2211,102,-1
CH3COCH3,5706,102,1
IC3H7O,1951,103,1
IC3H7OOH,2211,103,-1
OH,5824,103,1
NC4H10,3481,104,-1
NC4H9O2,5783,104,1
OH,5824,104,-1
NC4H10,3481,105,-1
SC4H9O2,5684,105,1
OH,5824,105,-1
NC4H9O,3145,106,1
NC4H9O2,5783,106,-1
NO,5826,106,-1
NO2,5831,106,1
NC4H9NO3,2528,107,1
NC4H9O2,5783,107,-1
NO,5826,107,-1
NC4H9O,3145,108,-1
C3H7CHO,5812,108,1
HO2,5825,108,1
NC4H9O,3145,109,-1
HO1C4O2,4126,109,1
HO1C4O,1767,110,1
HO1C4O2,4126,110,-1
NO,5826,110,-1
NO2,5831,110,1
HO1C4NO3,2401,111,1
HO1C4O2,4126,111,-1
NO,5826,111,-1
HO1C4O,1767,112,-1
HOC3H6CHO,5098,112,1
HO2,5825,112,1
NC4H9O,3145,113,1
NC4H9O2,5783,113,-1
NO2,5831,113,1
NO3,5832,113,-1
NC4H9OOH,2436,114,1
NC4H9O2,5783,114,-1
HO2,5825,114,-1
NC4H9O,3145,115,1
NC4H9O2,5783,115,-1
NC4H9O2,5783,116,-1
C3H7CHO,5812,116,1
NBUTOL,1769,117,1
NC4H9O2,5783,117,-1
HO1C4O,1767,118,1
HO1C4O2,4126,118,-1
NO2,5831,118,1
NO3,5832,118,-1
HO1C4OOH,2712,119,1
HO1C4O2,4126,119,-1
HO2,5825,119,-1
HO1C4O,1767,120,1
HO1C4O2,4126,120,-1
HO1C4O2,4126,121,-1
HOC3H6CHO,5098,121,1
HOC4H8OH,339,122,1
HO1C4O2,4126,122,-1
NC4H9NO3,2528,123,-1
C3H7CHO,5812,123,1
OH,5824,123,-1
NO2,5831,123,1
NC4H9NO3,2528,124,-1
NC4H9O,3145,124,1
NO2,5831,124,1
HO1C4NO3,2401,125,-1
HOC3H6CHO,5098,125,1
OH,5824,125,-1
NO2,5831,125,1
HO1C4O,1767,126,1
HO1C4NO3,2401,126,-1
NO2,5831,126,1
NC4H9OOH,2436,127,-1
NC4H9O2,5783,127,1
OH,5824,127,-1
NC4H9OOH,2436,128,-1
C3H7CHO,5812,128,1
NC4H9OOH,2436,129,-1
NC4H9O,3145,129,1
OH,5824,129,1
HO1C4OOH,2712,130,-1
HO1C4O2,4126,130,1
OH,5824,130,-1
HO1C4OOH,2712,131,-1
HOC3H6CHO,5098,131,1
HO1C4O,1767,132,1
HO1C4OOH,2712,132,-1
OH,5824,132,1
HOC4H8OH,339,133,-1
HOC3H6CHO,5098,133,1
OH,5824,133,-1
HO2,5825,133,1
HOC3H6CHO,5098,134,-1
HO1C3O2,5603,134,1
HO2,5825,134,1
CO,5828,134,1
HOC3H6CHO,5098,135,-1
HOC3H6CO3,5543,135,1
OH,5824,135,-1
HOC3H6CHO,5098,136,-1
HOC3H6CO3,5543,136,1
HNO3,5772,136,1
NO3,5832,136,-1
HOC3H6CO3,5543,137,-1
HO1C3O2,5603,137,1
NO,5826,137,-1
NO2,5831,137,1
HO1C3O,1790,138,1
HO1C3O2,5603,138,-1
NO,5826,138,-1
NO2,5831,138,1
HO1C3NO3,2051,139,1
HO1C3O2,5603,139,-1
NO,5826,139,-1
HO1C3O,1790,140,-1
HOC2H4CHO,5756,140,1
HO2,5825,140,1
C4PAN1,2925,141,1
HOC3H6CO3,5543,141,-1
NO2,5831,141,-1
C4PAN1,2925,142,-1
HOC3H6CO3,5543,142,1
NO2,5831,142,1
HOC3H6CO3,5543,143,-1
HO1C3O2,5603,143,1
