! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Representation of the mechanism as a bipartite species-reaction graph in CSV format
! 
! Generated by KPP-3.3.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : mcm_EdgeList.csv
! Equation file        : mcm.kpp
! Output root filename : mcm
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



# species_index (starts from 1),reaction_index (starts from 1),from,to, directed stoichiometric value
4060,1,O,R1,-1
5830,1,R1,O3,1
4060,2,O,R2,-1
5830,2,O3,R2,-1
4060,3,O,R3,-1
5826,3,NO,R3,-1
5831,3,R3,NO2,1
4060,4,O,R4,-1
5826,4,R4,NO,1
5831,4,NO2,R4,-1
4060,5,O,R5,-1
5831,5,NO2,R5,-1
5832,5,R5,NO3,1
6,6,O1D,R6,-1
4060,6,R6,O,1
5826,7,NO,R7,-1
5830,7,O3,R7,-1
5831,7,R7,NO2,1
5830,8,O3,R8,-1
5831,8,NO2,R8,-1
5832,8,R8,NO3,1
5826,9,NO,R9,-2
5831,9,R9,NO2,2
5826,10,NO,R10,-1
5831,10,R10,NO2,2
5832,10,NO3,R10,-1
5826,11,R11,NO,1
5831,11,NO2,R11,-1
5831,11,R11,NO2,1
5832,11,NO3,R11,-1
157,12,R12,N2O5,1
5831,12,NO2,R12,-1
5832,12,NO3,R12,-1
6,13,O1D,R13,-1
5824,13,R13,OH,2
5824,14,OH,R14,-1
5825,14,R14,HO2,1
5830,14,O3,R14,-1
321,15,H2,R15,-1
5824,15,OH,R15,-1
5825,15,R15,HO2,1
5824,16,OH,R16,-1
5825,16,R16,HO2,1
5828,16,CO,R16,-1
5626,17,H2O2,R17,-1
5824,17,OH,R17,-1
5825,17,R17,HO2,1
5824,18,R18,OH,1
5825,18,HO2,R18,-1
5830,18,O3,R18,-1
5824,19,OH,R19,-1
5825,19,HO2,R19,-1
5626,20,R20,H2O2,1
5825,20,HO2,R20,-2
377,21,R21,HONO,1
5824,21,OH,R21,-1
5826,21,NO,R21,-1
5772,22,R22,HNO3,1
5824,22,OH,R22,-1
5831,22,NO2,R22,-1
5824,23,OH,R23,-1
5825,23,R23,HO2,1
5831,23,R23,NO2,1
5832,23,NO3,R23,-1
5824,24,R24,OH,1
5825,24,HO2,R24,-1
5826,24,NO,R24,-1
5831,24,R24,NO2,1
1138,25,R25,HO2NO2,1
5825,25,HO2,R25,-1
5831,25,NO2,R25,-1
1138,26,HO2NO2,R26,-1
5824,26,OH,R26,-1
5831,26,R26,NO2,1
5824,27,R27,OH,1
5825,27,HO2,R27,-1
5831,27,R27,NO2,1
5832,27,NO3,R27,-1
377,28,HONO,R28,-1
5824,28,OH,R28,-1
5831,28,R28,NO2,1
5772,29,HNO3,R29,-1
5824,29,OH,R29,-1
5832,29,R29,NO3,1
3,30,R30,SO3,1
4060,30,O,R30,-1
5827,30,SO2,R30,-1
7,31,R31,HSO3,1
5824,31,OH,R31,-1
5827,31,SO2,R31,-1
3,32,R32,SO3,1
7,32,HSO3,R32,-1
5825,32,R32,HO2,1
1,33,R33,NA,1
5772,33,HNO3,R33,-1
1,34,R34,NA,2
157,34,N2O5,R34,-1
2,35,R35,SA,1
3,35,SO3,R35,-1
6,36,R36,O1D,1
5830,36,O3,R36,-1
4060,37,R37,O,1
5830,37,O3,R37,-1
5626,38,H2O2,R38,-1
5824,38,R38,OH,2
4060,39,R39,O,1
5826,39,R39,NO,1
5831,39,NO2,R39,-1
5826,40,R40,NO,1
5832,40,NO3,R40,-1
4060,41,R41,O,1
5831,41,R41,NO2,1
5832,41,NO3,R41,-1
377,42,HONO,R42,-1
5824,42,R42,OH,1
5826,42,R42,NO,1
5772,43,HNO3,R43,-1
5824,43,R43,OH,1
5831,43,R43,NO2,1
157,44,N2O5,R44,-1
5831,44,R44,NO2,1
5832,44,R44,NO3,1
1138,45,HO2NO2,R45,-1
5825,45,R45,HO2,1
5831,45,R45,NO2,1
2497,46,CH4,R46,-1
5803,46,R46,CH3O2,1
5824,46,OH,R46,-1
2812,47,R47,CH3O,1
5803,47,CH3O2,R47,-1
5826,47,NO,R47,-1
5831,47,R47,NO2,1
3777,48,R48,CH3NO3,1
5803,48,CH3O2,R48,-1
5826,48,NO,R48,-1
2812,49,CH3O,R49,-1
5808,49,R49,HCHO,1
5825,49,R49,HO2,1
45,50,R50,CH3O2NO2,1
5803,50,CH3O2,R50,-1
5831,50,NO2,R50,-1
45,51,CH3O2NO2,R51,-1
5803,51,R51,CH3O2,1
5831,51,R51,NO2,1
2812,52,R52,CH3O,1
5803,52,CH3O2,R52,-1
5831,52,R52,NO2,1
5832,52,NO3,R52,-1
2068,53,R53,CH3OOH,1
5803,53,CH3O2,R53,-1
5825,53,HO2,R53,-1
2812,54,R54,CH3O,1
5803,54,CH3O2,R54,-1
5803,55,CH3O2,R55,-1
5808,55,R55,HCHO,1
1140,56,R56,CH3OH,1
5803,56,CH3O2,R56,-1
3777,57,CH3NO3,R57,-1
5808,57,R57,HCHO,1
5824,57,OH,R57,-1
5831,57,R57,NO2,1
2812,58,R58,CH3O,1
3777,58,CH3NO3,R58,-1
5831,58,R58,NO2,1
2068,59,CH3OOH,R59,-1
5803,59,R59,CH3O2,1
5824,59,OH,R59,-1
2068,60,CH3OOH,R60,-1
5808,60,R60,HCHO,1
5824,60,OH,R60,-1
5824,60,R60,OH,1
2068,61,CH3OOH,R61,-1
2812,61,R61,CH3O,1
5824,61,R61,OH,1
3172,62,C2H6,R62,-1
5705,62,R62,C2H5O2,1
5824,62,OH,R62,-1
2502,63,R63,C2H5O,1
5705,63,C2H5O2,R63,-1
5826,63,NO,R63,-1
5831,63,R63,NO2,1
2512,64,R64,C2H5NO3,1
5705,64,C2H5O2,R64,-1
5826,64,NO,R64,-1
2502,65,C2H5O,R65,-1
5764,65,R65,CH3CHO,1
5825,65,R65,HO2,1
2502,66,R66,C2H5O,1
