! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Dense species-by-atom composition matrix (variable species only) in CSV format
! 
! Generated by KPP-3.3.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : mcm_SpeciesCompositionMatrix.csv
! Equation file        : mcm.kpp
! Output root filename : mcm
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



species_index,species_name,IGNORE,H,C,N,O,S,Cl,Br
1,NA,1,0,0,0,0,0,0,0
2,SA,1,0,0,0,0,0,0,0
3,SO3,0,0,0,0,3,1,0,0
4,BR,0,0,0,0,0,0,0,1
5,HCL,0,1,0,0,0,0,1,0
6,O1D,0,0,0,0,1,0,0,0
7,HSO3,0,1,0,0,3,1,0,0
8,HO2CO3C4O,0,7,4,0,3,0,0,0
9,C5CO24O,0,7,5,0,3,0,0,0
10,IPRCOMO,0,9,5,0,2,0,0,0
11,CH3CL,0,3,1,0,0,0,1,0
12,CH2CL2,0,2,1,0,0,0,2,0
13,CHCL3,0,1,1,0,0,0,3,0
14,CH3CCL3,0,3,2,0,0,0,3,0
15,TCE,0,0,2,0,0,0,4,0
16,CDICLETH,0,2,2,0,0,0,2,0
17,TDICLETH,0,2,2,0,0,0,2,0
18,CH2CLCH2CL,0,4,2,0,0,0,2,0
19,DIBRET,0,4,2,0,0,0,0,2
20,CH3BR,0,3,1,0,0,0,0,1
21,CHCL2CHCL2,0,2,2,0,0,0,4,0
22,ETHOX,0,4,2,0,1,0,0,0
23,C51OH,0,10,5,0,3,0,0,0
24,C42CHO2O,0,9,5,0,2,0,0,0
25,SBUTACET,0,12,6,0,2,0,0,0
26,TRICLETH,0,1,2,0,0,0,3,0
27,CH3CH2CL,0,5,2,0,0,0,1,0
28,CH2CLCHCL2,0,3,2,0,0,0,3,0
29,CHCL2CH3,0,4,2,0,0,0,2,0
30,CCL2CH2,0,2,2,0,0,0,2,0
31,INB1HPCO2H,0,9,5,1,8,0,0,0
32,M2PEDOH,0,14,6,0,1,0,0,0
33,M3PECOH,0,14,6,0,1,0,0,0
34,M23C43OH,0,14,6,0,1,0,0,0
35,CO3C75O,0,13,7,0,2,0,0,0
36,C75O,0,13,7,0,2,0,0,0
37,M2HEXBOH,0,16,7,0,1,0,0,0
38,C710O,0,13,7,0,2,0,0,0
39,M3HEXBOH,0,16,7,0,1,0,0,0
