! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Sparse Biadjacency Matrix, aka Stoichiometric Matrix, in CSV format
! 
! Generated by KPP-3.4.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
!        P.O. Sturm,  Univ. of Southern California, Los Angeles, CA, USA
! 
! File                 : gas_BiadjacencyMatrix.csv
! Equation file        : gas.kpp
! Output root filename : gas
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



species_name,species_index,reaction_index,stoichiometric_coefficient
O3P,720,1,1
O1D,722,1,-1
O3,719,2,1
O3P,720,2,-1
O2,723,2,-1
O3,719,3,-1
O1D,722,3,-1
O2,723,3,2
O3,719,4,-1
O3P,720,4,2
O1D,722,4,-1
O2,723,4,1
O3,719,5,-1
O3P,720,5,-1
O2,723,5,2
Op,352,6,-1
O2p,477,6,1
O3P,720,6,1
O2,723,6,-1
O2p,477,7,-1
em,478,7,-1
O3P,720,7,2
H,691,8,-1
HO2,721,8,1
O2,723,8,-1
H,691,9,-1
O3,719,9,-1
O2,723,9,1
OH,727,9,1
H2,601,10,-1
H,691,10,1
O1D,722,10,-1
OH,727,10,1
H,691,11,1
O3P,720,11,-1
O2,723,11,1
OH,727,11,-1
O3,719,12,-1
HO2,721,12,1
O2,723,12,1
OH,727,12,-1
H2,601,13,-1
H,691,13,1
H2O,714,13,1
OH,727,13,-1
O3P,720,14,-1
HO2,721,14,-1
O2,723,14,1
OH,727,14,1
O3,719,15,-1
HO2,721,15,-1
O2,723,15,2
OH,727,15,1
H,691,16,-1
HO2,721,16,-1
OH,727,16,2
H2,601,17,1
H,691,17,-1
HO2,721,17,-1
O2,723,17,1
H,691,18,-1
H2O,714,18,1
O3P,720,18,1
HO2,721,18,-1
H2O,714,19,1
HO2,721,19,-1
O2,723,19,1
OH,727,19,-1
H2O2,668,20,1
HO2,721,20,-2
O2,723,20,1
H2O,714,21,-1
O1D,722,21,-1
OH,727,21,2
H2O2,668,22,-1
H2O,714,22,1
HO2,721,22,1
OH,727,22,-1
H2,601,23,-1
H,691,23,1
O3P,720,23,-1
OH,727,23,1
H2O,714,24,1
O3P,720,24,1
OH,727,24,-2
H2O2,668,25,1
OH,727,25,-2
H2,601,26,1
H,691,26,-2
H2O2,668,27,-1
O3P,720,27,-1
HO2,721,27,1
OH,727,27,1
H2OH2O,84,28,1
H2O,714,28,-2
H2OH2O,84,29,-1
H2O,714,29,2
NOp,443,30,-1
em,478,30,-1
N2D,479,30,0.85
N,591,30,0.15
O3P,720,30,1
N2p,442,31,-1
em,478,31,-1
N2D,479,31,1.12
N,591,31,0.88
N2D,479,32,-1
N,591,32,1
N,591,33,-1
O3P,720,33,1
O2,723,33,-1
NO,730,33,1
O3P,720,34,1
O1D,722,34,-1
N2O,284,35,-1
O1D,722,35,-1
NO,730,35,2
N2O,284,36,-1
N2,562,36,1
O1D,722,36,-1
O2,723,36,1
O3,719,37,-1
O2,723,37,1
NO,730,37,-1
NO2,731,37,1
N2,562,38,1
N,591,38,-1
O3P,720,38,1
NO,730,38,-1
O3P,720,39,-1
NO2,731,39,-1
NO3,732,39,1
O3P,720,40,-1
O2,723,40,1
NO,730,40,1
NO2,731,40,-1
O3,719,41,-1
O2,723,41,1
NO2,731,41,-1
NO3,732,41,1
N2O,284,42,1
N,591,42,-1
O3P,720,42,1
NO2,731,42,-1
NO,730,43,-1
NO2,731,43,2
NO3,732,43,-1
N2O5,444,44,1
NO2,731,44,-1
NO3,732,44,-1
N2O5,444,45,-1
NO2,731,45,1
NO3,732,45,1
N2D,479,46,-1
N2,562,46,1
O3P,720,46,1
NO,730,46,-1
N2D,479,47,-1
O3P,720,47,1
O2,723,47,-1
NO,730,47,1
N2D,479,48,-1
N,591,48,1
N2D,479,49,-1
O3,719,49,-1
O2,723,49,1
NO,730,49,1
O3P,720,50,-1
NO,730,50,-1
NO2,731,50,1
N2D,479,51,-1
N,591,51,1
Np,351,52,-1
Op,352,52,1
O2,723,52,-1
NO,730,52,1
N2p,442,53,-1
NOp,443,53,1
N2D,479,53,1
O3P,720,53,-1
Np,351,54,-1
NOp,443,54,1
O3P,720,54,1
O2,723,54,-1
Np,351,55,-1
O2p,477,55,1
N,591,55,1
O2,723,55,-1
Np,351,56,-1
Op,352,56,1
N,591,56,1
O3P,720,56,-1
NOp,443,57,1
O2p,477,57,-1
N,591,57,-1
O3P,720,57,1
NOp,443,58,1
O2p,477,58,-1
O2,723,58,1
NO,730,58,-1
Op,352,59,-1
NOp,443,59,1
N2,562,59,-1
N,591,59,1
N2p,442,60,-1
O2p,477,60,1
N2,562,60,1
O2,723,60,-1
HONO,491,61,1
OH,727,61,-1
NO,730,61,-1
HO2,721,62,-1
OH,727,62,1
NO,730,62,-1
NO2,731,62,1
HNO3,671,63,1
OH,727,63,-1
NO2,731,63,-1
HOONO,102,64,1
OH,727,64,-1
NO2,731,64,-1
HNO4,270,65,1
HO2,721,65,-1
NO2,731,65,-1
HO2,721,66,-1
O2,723,66,1
OH,727,66,1
NO2,731,66,1
NO3,732,66,-1
HONO,491,67,-1
H2O,714,67,1
OH,727,67,-1
NO2,731,67,1
HNO3,671,68,-1
H2O,714,68,1
OH,727,68,-1
NO3,732,68,1
HNO4,270,69,-1
HO2,721,69,1
NO2,731,69,1
