! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Representation of the mechanism as a bipartite species-reaction graph in CSV format
! 
! Generated by KPP-3.4.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
!        P.O. Sturm,  Univ. of Southern California, Los Angeles, CA, USA
! 
! File                 : gas_EdgeList.csv
! Equation file        : gas.kpp
! Output root filename : gas
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



species_index,reaction_index,source,target,directed_stoichiometric_value
720,1,R1,O3P,1
722,1,O1D,R1,-1
723,1,O2,R1,-1
723,1,R1,O2,1
719,2,R2,O3,1
720,2,O3P,R2,-1
723,2,O2,R2,-1
719,3,O3,R3,-1
722,3,O1D,R3,-1
723,3,R3,O2,2
719,4,O3,R4,-1
720,4,R4,O3P,2
722,4,O1D,R4,-1
723,4,R4,O2,1
719,5,O3,R5,-1
720,5,O3P,R5,-1
723,5,R5,O2,2
352,6,Op,R6,-1
477,6,R6,O2p,1
720,6,R6,O3P,1
723,6,O2,R6,-1
477,7,O2p,R7,-1
478,7,em,R7,-1
720,7,R7,O3P,2
691,8,H,R8,-1
721,8,R8,HO2,1
723,8,O2,R8,-1
691,9,H,R9,-1
719,9,O3,R9,-1
723,9,R9,O2,1
727,9,R9,OH,1
601,10,H2,R10,-1
691,10,R10,H,1
722,10,O1D,R10,-1
727,10,R10,OH,1
691,11,R11,H,1
720,11,O3P,R11,-1
723,11,R11,O2,1
727,11,OH,R11,-1
719,12,O3,R12,-1
721,12,R12,HO2,1
723,12,R12,O2,1
727,12,OH,R12,-1
601,13,H2,R13,-1
691,13,R13,H,1
714,13,R13,H2O,1
727,13,OH,R13,-1
720,14,O3P,R14,-1
721,14,HO2,R14,-1
723,14,R14,O2,1
727,14,R14,OH,1
719,15,O3,R15,-1
721,15,HO2,R15,-1
723,15,R15,O2,2
727,15,R15,OH,1
691,16,H,R16,-1
721,16,HO2,R16,-1
727,16,R16,OH,2
601,17,R17,H2,1
691,17,H,R17,-1
721,17,HO2,R17,-1
723,17,R17,O2,1
691,18,H,R18,-1
714,18,R18,H2O,1
720,18,R18,O3P,1
721,18,HO2,R18,-1
714,19,R19,H2O,1
721,19,HO2,R19,-1
