! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Dense species-by-atom composition matrix (variable species only) in CSV format
! 
! Generated by KPP-3.3.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : gas_SpeciesCompositionMatrix.csv
! Equation file        : gas.kpp
! Output root filename : gas
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



species_index,species_name,H,C,N,O,F,S,Cl,Br,I,Hg,Pls,Min
1,CH3CF2Cl,3,2,0,0,2,0,1,0,0,0,0,0
2,BrNO2,0,0,1,2,0,0,0,1,0,0,0,0
3,CBrF2CBrF2,0,2,0,0,4,0,0,2,0,0,0,0
4,CF2ClBr,0,1,0,0,2,0,1,1,0,0,0,0
5,CF3Br,0,1,0,0,3,0,0,1,0,0,0,0
6,CH2ClI,2,1,0,0,0,0,1,0,1,0,0,0
7,CH2I2,2,1,0,0,0,0,0,0,2,0,0,0
8,LNITROGEN,0,0,1,0,0,0,0,0,0,0,0,0
9,LCARBON,0,1,0,0,0,0,0,0,0,0,0,0
10,C3MDIALO2,5,4,0,4,0,0,0,0,0,0,0,0
11,LFLUORINE,0,0,0,0,1,0,0,0,0,0,0,0
12,ClO2,0,0,0,2,0,0,1,0,0,0,0,0
13,LCHLORINE,0,0,0,0,0,0,1,0,0,0,0,0
14,LBROMINE,0,0,0,0,0,0,0,1,0,0,0,0
15,HIO3,1,0,0,3,0,0,0,0,1,0,0,0
16,CH3SO3H,4,1,0,3,0,1,0,0,0,0,0,0
17,H2SO4,2,0,0,4,0,1,0,0,0,0,0,0
18,NO3m_cs,0,0,1,3,0,0,0,0,0,0,0,0
19,Hp_cs,1,0,0,0,0,0,0,0,0,0,0,0
20,RGM_cs,0,0,0,0,0,0,0,0,0,1,0,0
21,HgO,0,0,0,1,0,0,0,0,0,1,0,0
22,HgCl2,0,0,0,0,0,0,2,0,0,1,0,0
23,HgBr2,0,0,0,0,0,0,0,2,0,1,0,0
24,ClHgBr,0,0,0,0,0,0,1,1,0,1,0,0
25,BrHgOBr,0,0,0,1,0,0,0,2,0,1,0,0
26,ClHgOBr,0,0,0,1,0,0,1,1,0,1,0,0
27,ROO6R5O2,11,7,0,7,0,0,0,0,0,0,0,0
28,I2O4,0,0,0,4,0,0,0,0,2,0,0,0
