! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Sparse Biadjacency Matrix, aka Stoichiometric Matrix, in CSV format
! 
! Generated by KPP-3.3.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : MOZART_T1_BiadjacencyMatrix.csv
! Equation file        : MOZART_T1.kpp
! Output root filename : MOZART_T1
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



spc_name,species_index,reaction_index,stoichiometric_coefficient
H2O2,39,1,-1
OH,148,1,2
O,135,2,2
O,135,3,1
O3,151,3,-1
O1D,106,4,1
O3,151,4,-1
HNO3,70,5,-1
NO2,147,5,1
OH,148,5,1
HO2NO2,45,6,-1
NO2,147,6,0.66
OH,148,6,0.33
HO2,149,6,0.66
NO3,150,6,0.33
N2O,18,7,-1
O1D,106,7,1
N2O5,29,8,-1
NO2,147,8,1
NO3,150,8,1
O,135,9,1
NO2,147,9,-1
NO,153,9,1
NO2,147,10,0.89
NO3,150,10,-1
O3,151,10,0.89
NO,153,10,0.11
MEK,78,11,0.8
ALKNIT,93,11,-1
CH3COCH3,122,11,0.25
CH3CHO,129,11,0.4
CH2O,146,11,0.1
NO2,147,11,1
HO2,149,11,1
MEK,78,12,0.8
ALKOOH,94,12,-1
CH3COCH3,122,12,0.25
CH3CHO,129,12,0.4
CH2O,146,12,0.1
OH,148,12,1
HO2,149,12,0.9
BENZOOH,67,13,-1
BIGALD1,69,13,0.5
GLYOXAL,109,13,1
OH,148,13,1
HO2,149,13,1
BEPOMUC,26,14,-1
BIGALD1,69,14,1
CO,123,14,1.5
HO2,149,14,1.5
GLYOXAL,109,15,0.13
BIGALD,111,15,-1
CO,123,15,0.45
CH3COCHO,138,15,0.18
HO2,149,15,0.56
CH3CO3,152,15,0.13
BIGALD1,69,16,-1
MALO2,100,16,0.6
HO2,149,16,1
BIGALD2,44,17,-1
DICARBO2,102,17,0.6
HO2,149,17,0.6
BIGALD3,91,18,-1
CO,123,18,0.6
MDIALO2,130,18,0.6
HO2,149,18,0.6
BIGALD4,57,19,-1
CO,123,19,1
CH3COCHO,138,19,1
HO2,149,19,1
CH3CO3,152,19,1
BZALD,38,20,1
BZOOH,50,20,-1
OH,148,20,1
HO2,149,20,1
C2H5OOH,53,21,-1
CH3CHO,129,21,1
OH,148,21,1
HO2,149,21,1
C3H7OOH,56,22,-1
CH3COCH3,122,22,0.82
OH,148,22,1
HO2,149,22,1
C6H5OOH,41,23,-1
PHENO,73,23,1
OH,148,23,1
CO,123,24,1
CH2O,146,24,-1
HO2,149,24,2
H2,82,25,1
CO,123,25,1
CH2O,146,25,-1
CO,123,26,1
CH3CHO,129,26,-1
HO2,149,26,1
CH3O2,155,26,1
CH3COCH3,122,27,-1
CH3CO3,152,27,1
CH3O2,155,27,1
CO,123,28,1
CH3COCHO,138,28,-1
HO2,149,28,1
CH3CO3,152,28,1
CH3COOOH,68,29,-1
OH,148,29,1
CH3O2,155,29,1
CH3OOH,47,30,-1
CH2O,146,30,1
OH,148,30,1
HO2,149,30,1
EOOH,20,31,-1
EO,42,31,1
OH,148,31,1
CO,123,32,1
GLYALD,124,32,-1
CH2O,146,32,1
HO2,149,32,2
GLYOXAL,109,33,-1
CO,123,33,2
HO2,149,33,2
HMPROP,113,34,-1
CH3COCH3,122,34,1
CO,123,34,1
HO2,149,34,2
