! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Dense species-by-atom composition matrix (variable species only) in CSV format
! 
! Generated by KPP-3.3.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : MOZART_T1_SpeciesCompositionMatrix.csv
! Equation file        : MOZART_T1.kpp
! Output root filename : MOZART_T1
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



species_index,species_name,IGNORE
1,BENOOH,1
2,SO4,1
3,SOAG0,1
4,SOAG1,1
5,SOAG2,1
6,SOAG3,1
7,SOAG4,1
8,IVOC,1
9,SVOC,1
10,RO2_RO2,1
11,RO2_HO2,1
12,RO2_NO,1
13,VOC_OH,1
14,NH3,1
15,C2H6,1
16,C3H8,1
17,CH3CN,1
18,N2O,1
19,SO2,1
20,EOOH,1
21,IEPOX,1
22,ONITR,1
23,PBZNIT,1
24,C2H2,1
25,BENZENE,1
26,BEPOMUC,1
27,PHENOL,1
28,HCN,1
29,N2O5,1
30,TOLUENE,1
31,CRESOL,1
32,TEPOMUC,1
33,XOOH,1
34,XYLENES,1
35,XYLOL,1
36,DMS,1
37,HPALD,1
38,BZALD,1
39,H2O2,1
40,C2H5OH,1
41,C6H5OOH,1
42,EO,1
43,BENO2,1
44,BIGALD2,1
45,HO2NO2,1
46,HYDRALD,1
47,CH3OOH,1
48,MACROOH,1
49,MEKOOH,1
50,BZOOH,1
51,NC4CH2OH,1
52,NTERPOOH,1
53,C2H5OOH,1
54,PHENOOH,1
55,ROOH,1
56,C3H7OOH,1
57,BIGALD4,1
58,BIGALK,1
59,BIGENE,1
60,C2H4,1
61,CH3COOH,1
62,ISOPNOOH,1
63,XYLOLOOH,1
64,BZOO,1
65,HOCH2OO,1
66,PHENO2,1
67,BENZOOH,1
68,CH3COOOH,1
69,BIGALD1,1
70,HNO3,1
71,PAN,1
72,ISOPNITB,1
73,PHENO,1
74,POOH,1
75,TERPOOH,1
76,BENZO2,1
77,XYLOLO2,1
78,MEK,1
79,HMPROPO2,1
80,TERPNIT,1
81,ACBZO2,1
82,H2,1
83,MBOOOH,1
84,MPAN,1
85,ISOPNITA,1
86,ENEO2,1
87,CH4,1
88,TERP2OOH,1
89,TOLOOH,1
90,EO2,1
91,BIGALD3,1
92,C6H5O2,1
93,ALKNIT,1
94,ALKOOH,1
95,MEKO2,1
96,PO2,1
97,ISOPOOH,1
98,XYLENOOH,1
99,TOLO2,1
100,MALO2,1
101,XYLENO2,1
102,DICARBO2,1
103,HCOOH,1
104,MBO,1
105,C3H7O2,1
106,O1D,1
107,CH3OH,1
108,C2H5O2,1
109,GLYOXAL,1
110,NC4CHO,1
111,BIGALD,1
112,MBONO3O2,1
113,HMPROP,1
114,ISOP,1
115,LIMON,1
116,APIN,1
117,BCARY,1
118,BPIN,1
119,NOA,1
120,MYRC,1
121,ALKO2,1
122,CH3COCH3,1
123,CO,1
124,GLYALD,1
125,MBOO2,1
126,TERPROD2,1
127,TERP2O2,1
128,C3H6,1
129,CH3CHO,1
130,MDIALO2,1
131,TERPO2,1
132,NTERPO2,1
133,TERPROD1,1
134,RO2,1
135,O,1
136,HYAC,1
137,HONITR,1
138,CH3COCHO,1
139,XO2,1
140,ISOPAO2,1
141,ISOPBO2,1
142,ISOPNO3,1
143,MACR,1
144,MVK,1
145,MACRO2,1
146,CH2O,1
147,NO2,1
148,OH,1
149,HO2,1
150,NO3,1
151,O3,1
152,CH3CO3,1
153,NO,1
154,MCO3,1
155,CH3O2,1
