! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Representation of the mechanism as a bipartite species-reaction graph in CSV format
! 
! Generated by KPP-3.3.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : MOZART_T1_EdgeList.csv
! Equation file        : MOZART_T1.kpp
! Output root filename : MOZART_T1
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



# species_index (starts from 1),reaction_index (starts from 1),from,to, directed stoichiometric value
39,1,H2O2,R1,-1
148,1,R1,OH,2
135,2,R2,O,2
135,3,R3,O,1
151,3,O3,R3,-1
106,4,R4,O1D,1
151,4,O3,R4,-1
70,5,HNO3,R5,-1
147,5,R5,NO2,1
148,5,R5,OH,1
45,6,HO2NO2,R6,-1
147,6,R6,NO2,0.66
148,6,R6,OH,0.33
149,6,R6,HO2,0.66
150,6,R6,NO3,0.33
18,7,N2O,R7,-1
106,7,R7,O1D,1
29,8,N2O5,R8,-1
147,8,R8,NO2,1
150,8,R8,NO3,1
135,9,R9,O,1
147,9,NO2,R9,-1
153,9,R9,NO,1
147,10,R10,NO2,0.89
150,10,NO3,R10,-1
151,10,R10,O3,0.89
153,10,R10,NO,0.11
78,11,R11,MEK,0.8
93,11,ALKNIT,R11,-1
122,11,R11,CH3COCH3,0.25
129,11,R11,CH3CHO,0.4
146,11,R11,CH2O,0.1
147,11,R11,NO2,1
149,11,R11,HO2,1
78,12,R12,MEK,0.8
94,12,ALKOOH,R12,-1
122,12,R12,CH3COCH3,0.25
129,12,R12,CH3CHO,0.4
146,12,R12,CH2O,0.1
148,12,R12,OH,1
149,12,R12,HO2,0.9
67,13,BENZOOH,R13,-1
69,13,R13,BIGALD1,0.5
109,13,R13,GLYOXAL,1
148,13,R13,OH,1
149,13,R13,HO2,1
26,14,BEPOMUC,R14,-1
69,14,R14,BIGALD1,1
123,14,R14,CO,1.5
149,14,R14,HO2,1.5
109,15,R15,GLYOXAL,0.13
111,15,BIGALD,R15,-1
123,15,R15,CO,0.45
138,15,R15,CH3COCHO,0.18
149,15,R15,HO2,0.56
152,15,R15,CH3CO3,0.13
69,16,BIGALD1,R16,-1
100,16,R16,MALO2,0.6
149,16,R16,HO2,1
44,17,BIGALD2,R17,-1
102,17,R17,DICARBO2,0.6
149,17,R17,HO2,0.6
91,18,BIGALD3,R18,-1
123,18,R18,CO,0.6
130,18,R18,MDIALO2,0.6
149,18,R18,HO2,0.6
57,19,BIGALD4,R19,-1
123,19,R19,CO,1
138,19,R19,CH3COCHO,1
149,19,R19,HO2,1
