! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Sparse Biadjacency Matrix, aka Stoichiometric Matrix, in CSV format
! 
! Generated by KPP-3.3.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : MOZART_4_BiadjacencyMatrix.csv
! Equation file        : MOZART_4.kpp
! Output root filename : MOZART_4
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



spc_name,species_index,reaction_index,stoichiometric_coefficient
O,52,1,2
O1D_CB4,47,2,1
O3,81,2,-1
O,52,3,1
O3,81,3,-1
N2O,3,4,-1
O1D_CB4,47,4,1
O,52,5,1
NO2,73,5,-1
NO,76,5,1
N2O5,13,6,-1
NO2,73,6,1
NO3,80,6,1
HNO3,39,7,-1
NO2,73,7,1
OH,75,7,1
NO2,73,8,0.89
NO,76,8,0.11
NO3,80,8,-1
O3,81,8,0.89
HO2NO2,26,9,-1
NO2,73,9,0.66
OH,75,9,0.33
HO2,79,9,0.66
NO3,80,9,0.33
CH3OOH,18,10,-1
CH2O,72,10,1
OH,75,10,1
HO2,79,10,1
CO,58,11,1
CH2O,72,11,-1
HO2,79,11,2
H2,19,12,1
CO,58,12,1
CH2O,72,12,-1
H2O2,9,13,-1
OH,75,13,2
CO,58,14,1
CH3CHO,62,14,-1
CH3O2,77,14,1
HO2,79,14,1
POOH,35,15,-1
CH3CHO,62,15,1
CH2O,72,15,1
OH,75,15,1
HO2,79,15,1
CH3COOOH,32,16,-1
OH,75,16,1
CH3O2,77,16,1
PAN,36,17,-1
NO2,73,17,0.6
CH3O2,77,17,0.4
CH3CO3,78,17,0.6
NO3,80,17,0.4
MPAN,43,18,-1
NO2,73,18,1
MCO3,74,18,1
CO,58,19,0.67
MACR,66,19,-1
CH2O,72,19,0.67
MCO3,74,19,0.33
OH,75,19,0.33
