! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Representation of the mechanism as a bipartite species-reaction graph in CSV format
! 
! Generated by KPP-3.4.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
!        P.O. Sturm,  Univ. of Southern California, Los Angeles, CA, USA
! 
! File                 : MOZART_4_EdgeList.csv
! Equation file        : MOZART_4.kpp
! Output root filename : MOZART_4
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



species_index,reaction_index,source,target,directed_stoichiometric_value
52,1,R1,O,2
47,2,R2,O1D_CB4,1
81,2,O3,R2,-1
52,3,R3,O,1
81,3,O3,R3,-1
3,4,N2O,R4,-1
47,4,R4,O1D_CB4,1
52,5,R5,O,1
73,5,NO2,R5,-1
76,5,R5,NO,1
13,6,N2O5,R6,-1
73,6,R6,NO2,1
80,6,R6,NO3,1
39,7,HNO3,R7,-1
73,7,R7,NO2,1
75,7,R7,OH,1
73,8,R8,NO2,0.89
76,8,R8,NO,0.11
80,8,NO3,R8,-1
81,8,R8,O3,0.89
26,9,HO2NO2,R9,-1
73,9,R9,NO2,0.66
75,9,R9,OH,0.33
79,9,R9,HO2,0.66
80,9,R9,NO3,0.33
18,10,CH3OOH,R10,-1
72,10,R10,CH2O,1
75,10,R10,OH,1
79,10,R10,HO2,1
58,11,R11,CO,1
72,11,CH2O,R11,-1
79,11,R11,HO2,2
19,12,R12,H2,1
58,12,R12,CO,1
72,12,CH2O,R12,-1
9,13,H2O2,R13,-1
75,13,R13,OH,2
58,14,R14,CO,1
62,14,CH3CHO,R14,-1
77,14,R14,CH3O2,1
79,14,R14,HO2,1
35,15,POOH,R15,-1
62,15,R15,CH3CHO,1
72,15,R15,CH2O,1
75,15,R15,OH,1
79,15,R15,HO2,1
32,16,CH3COOOH,R16,-1
75,16,R16,OH,1
77,16,R16,CH3O2,1
36,17,PAN,R17,-1
73,17,R17,NO2,0.6
77,17,R17,CH3O2,0.4
78,17,R17,CH3CO3,0.6
80,17,R17,NO3,0.4
43,18,MPAN,R18,-1
73,18,R18,NO2,1
74,18,R18,MCO3,1
58,19,R19,CO,0.67
66,19,MACR,R19,-1
72,19,R19,CH2O,0.67
74,19,R19,MCO3,0.33
75,19,R19,OH,0.33
78,19,R19,CH3CO3,0.67
79,19,R19,HO2,0.67
58,20,R20,CO,0.7
61,20,R20,C3H6,0.7
69,20,MVK,R20,-1
77,20,R20,CH3O2,0.3
78,20,R20,CH3CO3,0.3
21,21,C2H5OOH,R21,-1
62,21,R21,CH3CHO,1
75,21,R21,OH,1
79,21,R21,HO2,1
22,22,C3H7OOH,R22,-1
51,22,R22,CH3COCH3,0.82
75,22,R22,OH,1
79,22,R22,HO2,1
23,23,ROOH,R23,-1
72,23,R23,CH2O,1
75,23,R23,OH,1
78,23,R23,CH3CO3,1
51,24,CH3COCH3,R24,-1
77,24,R24,CH3O2,1
78,24,R24,CH3CO3,1
58,25,R25,CO,1
67,25,CH3COCHO,R25,-1
78,25,R25,CH3CO3,1
79,25,R25,HO2,1
15,26,XOOH,R26,-1
75,26,R26,OH,1
58,27,R27,CO,1
60,27,ONITR,R27,-1
72,27,R27,CH2O,1
73,27,R27,NO2,1
79,27,R27,HO2,1
42,28,ISOPOOH,R28,-1
66,28,R28,MACR,0.288
69,28,R28,MVK,0.402
72,28,R28,CH2O,0.69
79,28,R28,HO2,1
65,29,HYAC,R29,-1
72,29,R29,CH2O,1
78,29,R29,CH3CO3,1
79,29,R29,HO2,1
54,30,GLYALD,R30,-1
58,30,R30,CO,1
72,30,R30,CH2O,1
79,30,R30,HO2,2
33,31,MEK,R31,-1
56,31,R31,C2H5O2,1
78,31,R31,CH3CO3,1
37,32,R32,GLYOXAL,0.13
45,32,BIGALD,R32,-1
58,32,R32,CO,0.45
67,32,R32,CH3COCHO,0.18
78,32,R32,CH3CO3,0.13
79,32,R32,HO2,0.56
37,33,GLYOXAL,R33,-1
58,33,R33,CO,2
79,33,R33,HO2,2
33,34,R34,MEK,0.8
48,34,ALKOOH,R34,-1
51,34,R34,CH3COCH3,0.25
62,34,R34,CH3CHO,0.4
72,34,R34,CH2O,0.1
75,34,R34,OH,1
79,34,R34,HO2,0.9
25,35,MEKOOH,R35,-1
62,35,R35,CH3CHO,1
75,35,R35,OH,1
78,35,R35,CH3CO3,1
31,36,TOLOOH,R36,-1
37,36,R36,GLYOXAL,0.45
45,36,R36,BIGALD,0.9
67,36,R36,CH3COCHO,0.45
75,36,R36,OH,1
38,37,TERPOOH,R37,-1
51,37,R37,CH3COCH3,0.1
66,37,R37,MACR,1
69,37,R37,MVK,1
75,37,R37,OH,1
79,37,R37,HO2,1
52,38,O,R38,-1
81,38,R38,O3,1
52,39,O,R39,-1
81,39,O3,R39,-1
47,40,O1D_CB4,R40,-1
52,40,R40,O,1
47,41,O1D_CB4,R41,-1
75,41,R41,OH,2
19,42,H2,R42,-1
47,42,O1D_CB4,R42,-1
75,42,R42,OH,1
79,42,R42,HO2,1
19,43,H2,R43,-1
75,43,OH,R43,-1
79,43,R43,HO2,1
52,44,O,R44,-1
75,44,OH,R44,-1
79,44,R44,HO2,1
52,45,O,R45,-1
75,45,R45,OH,1
79,45,HO2,R45,-1
75,46,OH,R46,-1
79,46,R46,HO2,1
81,46,O3,R46,-1
75,47,R47,OH,1
79,47,HO2,R47,-1
81,47,O3,R47,-1
9,48,R48,H2O2,1
79,48,HO2,R48,-2
9,49,H2O2,R49,-1
75,49,OH,R49,-1
