! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Dense species-by-atom composition matrix (variable species only) in CSV format
! 
! Generated by KPP-3.3.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : MOZART_4_SpeciesCompositionMatrix.csv
! Equation file        : MOZART_4.kpp
! Output root filename : MOZART_4
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



species_index,species_name,IGNORE
1,SO4,1
2,NH3,1
3,N2O,1
4,C2H6,1
5,C3H8,1
6,BIGENE,1
7,BIGALK,1
8,SO2,1
9,H2O2,1
10,TOLUENE,1
11,CRESOL,1
12,EO,1
13,N2O5,1
14,XOH,1
15,XOOH,1
16,DMS,1
17,C2H5OH,1
18,CH3OOH,1
19,H2,1
20,MACROOH,1
21,C2H5OOH,1
22,C3H7OOH,1
23,ROOH,1
24,ENEO2,1
25,MEKOOH,1
26,HO2NO2,1
27,C2H4,1
28,HYDRALD,1
29,ONIT,1
30,EO2,1
31,TOLOOH,1
32,CH3COOOH,1
33,MEK,1
34,CH3COOH,1
35,POOH,1
36,PAN,1
37,GLYOXAL,1
38,TERPOOH,1
39,HNO3,1
40,CH4,1
41,CH3OH,1
42,ISOPOOH,1
43,MPAN,1
44,TOLO2,1
45,BIGALD,1
46,C10H16,1
47,O1D_CB4,1
48,ALKOOH,1
49,MEKO2,1
50,PO2,1
51,CH3COCH3,1
52,O,1
53,ISOPNO3,1
54,GLYALD,1
55,ALKO2,1
56,C2H5O2,1
57,C3H7O2,1
58,CO,1
59,ISOP,1
60,ONITR,1
61,C3H6,1
62,CH3CHO,1
63,RO2,1
64,TERPO2,1
65,HYAC,1
66,MACR,1
67,CH3COCHO,1
68,XO2,1
69,MVK,1
70,MACRO2,1
71,ISOPO2,1
72,CH2O,1
73,NO2,1
74,MCO3,1
75,OH,1
76,NO,1
77,CH3O2,1
78,CH3CO3,1
79,HO2,1
80,NO3,1
81,O3,1
