! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Representation of the mechanism as a bipartite species-reaction graph in CSV format
! 
! Generated by KPP-3.3.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : mech_EdgeList.csv
! Equation file        : mech.kpp
! Output root filename : mech
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



# species_index (starts from 1),reaction_index (starts from 1),from,to, directed stoichiometric value
153,1,R1,O3P,1
155,1,O3,R1,-1
42,2,R2,O1D,1
155,2,O3,R2,-1
77,3,H2O2,R3,-1
159,3,R3,HO,2
153,4,R4,O3P,1
154,4,R4,NO,1
162,4,NO2,R4,-1
154,5,R5,NO,1
163,5,NO3,R5,-1
153,6,R6,O3P,1
162,6,R6,NO2,1
163,6,NO3,R6,-1
45,7,HONO,R7,-1
154,7,R7,NO,1
159,7,R7,HO,1
97,8,HNO3,R8,-1
159,8,R8,HO,1
162,8,R8,NO2,1
47,9,HNO4,R9,-1
159,9,R9,HO,0.2
162,9,R9,NO2,0.8
163,9,R9,NO3,0.2
164,9,R9,HO2,0.8
87,10,R10,CO,1
151,10,HCHO,R10,-1
87,11,R11,CO,1
151,11,HCHO,R11,-1
164,11,R11,HO2,2
87,12,R12,CO,1
150,12,ACD,R12,-1
156,12,R12,MO2,1
164,12,R12,HO2,1
87,13,R13,CO,1
158,13,ALD,R13,-1
161,13,R13,ETHP,1
164,13,R13,HO2,1
96,14,ACT,R14,-1
156,14,R14,MO2,1
166,14,R14,ACO3,1
87,15,R15,CO,1.22
103,15,R15,KET,0.216
135,15,UALD,R15,-1
151,15,R15,HCHO,0.35
158,15,R15,ALD,0.434
164,15,R15,HO2,1.22
166,15,R15,ACO3,0.784
95,16,MEK,R16,-1
156,16,R16,MO2,0.5
161,16,R16,ETHP,0.5
166,16,R16,ACO3,1
103,17,KET,R17,-1
161,17,R17,ETHP,1
166,17,R17,ACO3,1
98,18,HKET,R18,-1
151,18,R18,HCHO,1
164,18,R18,HO2,1
166,18,R18,ACO3,1
87,19,R19,CO,0.67
126,19,MACR,R19,-1
128,19,R19,MACP,0.33
149,19,R19,XO2,0.34
151,19,R19,HCHO,0.67
159,19,R19,HO,0.34
164,19,R19,HO2,0.66
166,19,R19,ACO3,0.67
87,20,R20,CO,0.7
107,20,MVK,R20,-1
128,20,R20,MACP,0.3
135,20,R20,UALD,0.7
156,20,R20,MO2,0.3
87,21,R21,CO,2
116,21,GLY,R21,-1
87,22,R22,CO,1
116,22,GLY,R22,-1
151,22,R22,HCHO,1
87,23,R23,CO,2
116,23,GLY,R23,-1
164,23,R23,HO2,2
87,24,R24,CO,1
124,24,MGLY,R24,-1
164,24,R24,HO2,1
166,24,R24,ACO3,1
87,25,R25,CO,1
116,25,R25,GLY,0.5
124,25,R25,MGLY,0.5
146,25,DCB1,R25,-1
149,25,R25,XO2,0.2
164,25,R25,HO2,1.5
166,25,R25,ACO3,0.25
