! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Sparse Biadjacency Matrix, aka Stoichiometric Matrix, in CSV format
! 
! Generated by KPP-3.3.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : pollu_BiadjacencyMatrix.csv
! Equation file        : pollu.kpp
! Output root filename : pollu
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



spc_name,species_index,reaction_index,stoichiometric_coefficient
O3P,7,1,1
NO2,17,1,-1
NO,18,1,1
O3,14,2,-1
NO2,17,2,1
NO,18,2,-1
HO2,16,3,-1
NO2,17,3,1
NO,18,3,-1
OH,20,3,1
CO,1,4,1
HCHO,13,4,-1
HO2,16,4,2
CO,1,5,1
HCHO,13,5,-1
CO,1,6,1
HCHO,13,6,-1
HO2,16,6,1
OH,20,6,-1
CO,1,7,1
ALD,8,7,-1
HO2,16,7,1
MEO2,19,7,1
ALD,8,8,-1
C2O3,15,8,1
OH,20,8,-1
CO2,4,9,1
C2O3,15,9,-1
NO2,17,9,1
NO,18,9,-1
MEO2,19,9,1
PAN,9,10,1
C2O3,15,10,-1
NO2,17,10,-1
PAN,9,11,-1
C2O3,15,11,1
NO2,17,11,1
CH3O,10,12,1
NO2,17,12,1
NO,18,12,-1
MEO2,19,12,-1
CH3O,10,13,-1
HCHO,13,13,1
HO2,16,13,1
HNO3,2,14,1
NO2,17,14,-1
OH,20,14,-1
O3P,7,15,-1
O3,14,15,1
O1D,5,16,1
O3,14,16,-1
O3P,7,17,1
O3,14,17,-1
O1D,5,18,-1
OH,20,18,2
O1D,5,19,-1
O3P,7,19,1
SO4,3,20,1
SO2,6,20,-1
HO2,16,20,1
OH,20,20,-1
NO3,12,21,-1
NO,18,21,1
O3P,7,22,1
NO3,12,22,-1
NO2,17,22,1
NO3,12,23,1
O3,14,23,-1
NO2,17,23,-1
N2O5,11,24,1
NO3,12,24,-1
NO2,17,24,-1
N2O5,11,25,-1
NO3,12,25,1
NO2,17,25,1
