! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Representation of the mechanism as a bipartite species-reaction graph in CSV format
! 
! Generated by KPP-3.4.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
!        P.O. Sturm,  Univ. of Southern California, Los Angeles, CA, USA
! 
! File                 : pollu_EdgeList.csv
! Equation file        : pollu.kpp
! Output root filename : pollu
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



species_index,reaction_index,source,target,directed_stoichiometric_value
7,1,R1,O3P,1
17,1,NO2,R1,-1
18,1,R1,NO,1
14,2,O3,R2,-1
17,2,R2,NO2,1
18,2,NO,R2,-1
16,3,HO2,R3,-1
17,3,R3,NO2,1
18,3,NO,R3,-1
20,3,R3,OH,1
1,4,R4,CO,1
13,4,HCHO,R4,-1
16,4,R4,HO2,2
1,5,R5,CO,1
13,5,HCHO,R5,-1
1,6,R6,CO,1
13,6,HCHO,R6,-1
16,6,R6,HO2,1
20,6,OH,R6,-1
1,7,R7,CO,1
8,7,ALD,R7,-1
16,7,R7,HO2,1
19,7,R7,MEO2,1
8,8,ALD,R8,-1
15,8,R8,C2O3,1
20,8,OH,R8,-1
4,9,R9,CO2,1
15,9,C2O3,R9,-1
17,9,R9,NO2,1
18,9,NO,R9,-1
19,9,R9,MEO2,1
9,10,R10,PAN,1
15,10,C2O3,R10,-1
17,10,NO2,R10,-1
9,11,PAN,R11,-1
15,11,R11,C2O3,1
17,11,R11,NO2,1
10,12,R12,CH3O,1
17,12,R12,NO2,1
18,12,NO,R12,-1
19,12,MEO2,R12,-1
10,13,CH3O,R13,-1
13,13,R13,HCHO,1
16,13,R13,HO2,1
2,14,R14,HNO3,1
17,14,NO2,R14,-1
20,14,OH,R14,-1
7,15,O3P,R15,-1
14,15,R15,O3,1
5,16,R16,O1D,1
14,16,O3,R16,-1
7,17,R17,O3P,1
14,17,O3,R17,-1
5,18,O1D,R18,-1
20,18,R18,OH,2
5,19,O1D,R19,-1
7,19,R19,O3P,1
3,20,R20,SO4,1
6,20,SO2,R20,-1
16,20,R20,HO2,1
20,20,OH,R20,-1
12,21,NO3,R21,-1
18,21,R21,NO,1
7,22,R22,O3P,1
12,22,NO3,R22,-1
17,22,R22,NO2,1
12,23,R23,NO3,1
14,23,O3,R23,-1
17,23,NO2,R23,-1
11,24,R24,N2O5,1
12,24,NO3,R24,-1
17,24,NO2,R24,-1
11,25,N2O5,R25,-1
12,25,R25,NO3,1
17,25,R25,NO2,1
