! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Dense species-by-atom composition matrix (variable species only) in CSV format
! 
! Generated by KPP-3.4.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
!        P.O. Sturm,  Univ. of Southern California, Los Angeles, CA, USA
! 
! File                 : pollu_SpeciesCompositionMatrix.csv
! Equation file        : pollu.kpp
! Output root filename : pollu
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



species_index,species_name,H,C,N,O,S
1,CO,0,1,0,1,0
2,HNO3,1,0,1,3,0
3,SO4,0,0,0,4,1
4,CO2,0,1,0,2,0
5,O1D,0,0,0,1,0
6,SO2,0,0,0,2,1
7,O3P,0,0,0,1,0
8,ALD,4,2,0,1,0
9,PAN,3,2,1,5,0
10,CH3O,3,1,0,1,0
11,N2O5,0,0,2,5,0
12,NO3,0,0,1,3,0
13,HCHO,2,1,0,1,0
14,O3,0,0,0,3,0
15,C2O3,3,2,0,3,0
16,HO2,1,0,0,2,0
17,NO2,0,0,1,2,0
18,NO,0,0,1,1,0
19,MEO2,3,1,0,2,0
20,OH,1,0,0,1,0
