! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Sparse Biadjacency Matrix, aka Stoichiometric Matrix, in CSV format
! 
! Generated by KPP-3.3.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : RACM_BiadjacencyMatrix.csv
! Equation file        : RACM.kpp
! Output root filename : RACM
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



spc_name,species_index,reaction_index,stoichiometric_coefficient
O3P,25,1,1
NO,81,1,1
NO2,82,1,-1
O1D,6,2,1
O3,72,2,-1
O3P,25,3,1
O3,72,3,-1
HONO,23,4,-1
HO,78,4,1
NO,81,4,1
HNO3,32,5,-1
HO,78,5,1
NO2,82,5,1
HNO4,19,6,-1
HO2,76,6,0.65
HO,78,6,0.35
NO3,79,6,0.35
NO2,82,6,0.65
NO3,79,7,-1
NO,81,7,1
O3P,25,8,1
NO3,79,8,-1
NO2,82,8,1
H2O2,27,9,-1
HO,78,9,2
CO,38,10,1
HCHO,58,10,-1
CO,38,11,1
HCHO,58,11,-1
HO2,76,11,2
CO,38,12,1
ALD,66,12,-1
MO2,74,12,1
HO2,76,12,1
OP1,20,13,-1
HCHO,58,13,1
HO2,76,13,1
HO,78,13,1
ALD,66,14,1
OP2,75,14,-1
HO2,76,14,1
HO,78,14,1
PAA,33,15,-1
MO2,74,15,1
HO,78,15,1
KET,52,16,-1
ETHP,70,16,1
ACO3,77,16,1
CO,38,17,1.87
GLY,46,17,-1
HCHO,58,17,0.13
CO,38,18,1.55
GLY,46,18,-1
HCHO,58,18,0.45
HO2,76,18,0.8
CO,38,19,1
MGLY,53,19,-1
HO2,76,19,1
ACO3,77,19,1
DCB,63,20,-1
TCO3,71,20,1
HO2,76,20,1
KET,52,21,0.8
ONIT,62,21,-1
ALD,66,21,0.2
HO2,76,21,1
NO2,82,21,1
CO,38,22,1
MACR,49,22,-1
HCHO,58,22,1
HO2,76,22,1
ACO3,77,22,1
HKET,24,23,-1
HCHO,58,23,1
HO2,76,23,1
ACO3,77,23,1
O3P,25,24,-1
O3,72,24,1
O3P,25,25,-1
O3,72,25,-1
O1D,6,26,-1
O3P,25,26,1
O1D,6,27,-1
HO,78,27,2
O3,72,28,-1
HO2,76,28,1
HO,78,28,-1
O3,72,29,-1
HO2,76,29,-1
HO,78,29,1
HO2,76,30,-1
HO,78,30,-1
H2O2,27,31,-1
HO2,76,31,1
HO,78,31,-1
H2O2,27,32,1
HO2,76,32,-2
H2O2,27,33,1
HO2,76,33,-2
O3P,25,34,-1
NO,81,34,-1
NO2,82,34,1
O3P,25,35,-1
NO,81,35,1
NO2,82,35,-1
O3P,25,36,-1
NO3,79,36,1
NO2,82,36,-1
HONO,23,37,1
HO,78,37,-1
NO,81,37,-1
HNO3,32,38,1
HO,78,38,-1
NO2,82,38,-1
HO2,76,39,1
HO,78,39,-1
NO3,79,39,-1
NO2,82,39,1
HO2,76,40,-1
HO,78,40,1
NO,81,40,-1
NO2,82,40,1
HNO4,19,41,1
HO2,76,41,-1
NO2,82,41,-1
HNO4,19,42,-1
HO2,76,42,1
NO2,82,42,1
HNO3,32,43,0.3
HO2,76,43,-1
HO,78,43,0.7
NO3,79,43,-1
NO2,82,43,0.7
HONO,23,44,-1
HO,78,44,-1
NO2,82,44,1
HNO3,32,45,-1
HO,78,45,-1
NO3,79,45,1
HNO4,19,46,-1
HO,78,46,-1
NO2,82,46,1
O3,72,47,-1
NO,81,47,-1
NO2,82,47,1
O3,72,48,-1
NO3,79,48,1
NO2,82,48,-1
NO,81,49,-2
NO2,82,49,2
NO3,79,50,-1
NO,81,50,-1
NO2,82,50,2
NO3,79,51,-1
NO,81,51,1
N2O5,11,52,1
NO3,79,52,-1
NO2,82,52,-1
N2O5,11,53,-1
NO3,79,53,1
NO2,82,53,1
NO3,79,54,-2
NO2,82,54,2
HO2,76,55,1
HO,78,55,-1
SULF,1,56,1
SO2,5,56,-1
HO2,76,56,1
HO,78,56,-1
CO2,2,57,1
CO,38,57,-1
HO2,76,57,1
HO,78,57,-1
NALD,16,58,-1
CO,38,58,1
HCHO,58,58,1
HO,78,58,-1
NO2,82,58,1
HACE,22,59,-1
MGLY,53,59,1
HO2,76,59,1
HO,78,59,-1
CH4,18,60,-1
MO2,74,60,1
HO,78,60,-1
ETH,17,61,-1
ETHP,70,61,1
HO,78,61,-1
ORA1,3,62,0.036
HC3,14,62,-1
CO,38,62,0.036
GLY,46,62,0.036
HCHO,58,62,0.01
ALD,66,62,0.335
HC3P,73,62,0.583
HO2,76,62,0.381
HO,78,62,-0.964
HC5,8,63,-1
KET,52,63,0.25
HC5P,57,63,0.75
HO2,76,63,0.25
HO,78,63,-1
HC8,12,64,-1
HKET,24,64,0.024
HC8P,56,64,0.9511
ALD,66,64,0.025
HO2,76,64,0.049
HO,78,64,-1
ETE,30,65,-1
ETEP,47,65,1
HO,78,65,-1
OLTP,48,66,1
OLT,65,66,-1
HO,78,66,-1
OLIP,61,67,1
OLI,67,67,-1
HO,78,67,-1
DIEN,43,68,-1
ISOP,50,68,1
HO,78,68,-1
ISO,40,69,-1
ISOP,50,69,1
HO,78,69,-1
API,37,70,-1
APIP,51,70,1
HO,78,70,-1
LIM,39,71,-1
LIMP,55,71,1
HO,78,71,-1
TOL,9,72,-1
ADDT,28,72,0.9
XO2,64,72,0.1
HO2,76,72,0.1
HO,78,72,-1
XYL,10,73,-1
ADDX,29,73,0.9
XO2,64,73,0.1
HO2,76,73,0.1
HO,78,73,-1
PHO,26,74,0.1
ADDC,31,74,0.85
CSL,42,74,-1
XO2,64,74,0.05
HO2,76,74,0.05
HO,78,74,-1
CO,38,75,1
HCHO,58,75,-1
HO2,76,75,1
HO,78,75,-1
ALD,66,76,-1
ACO3,77,76,1
HO,78,76,-1
KET,52,77,-1
HO,78,77,-1
KETP,80,77,1
HKET,24,78,-1
MGLY,53,78,1
HO2,76,78,1
HO,78,78,-1
CO,38,79,2
GLY,46,79,-1
HO2,76,79,1
HO,78,79,-1
CO,38,80,1
MGLY,53,80,-1
ACO3,77,80,1
HO,78,80,-1
MACP,44,81,1
MACR,49,81,-1
HO,78,81,-1
UDD,15,82,0.35
GLY,46,82,0.15
MGLY,53,82,0.15
DCB,63,82,-1
XO2,64,82,0.5
TCO3,71,82,0.5
HO2,76,82,0.5
HO,78,82,-1
UDD,15,83,-1
KET,52,83,0.12
ALD,66,83,0.88
HO2,76,83,1
HO,78,83,-1
OP1,20,84,-1
HCHO,58,84,0.35
MO2,74,84,0.65
HO,78,84,-0.65
KET,52,85,0.41
XO2,64,85,0.07
ALD,66,85,0.08
HC3P,73,85,0.44
OP2,75,85,-1
HO,78,85,-0.51
PAA,33,86,-1
HCHO,58,86,0.35
XO2,64,86,0.35
HO2,76,86,0.35
ACO3,77,86,0.65
HO,78,86,-1
PAN,36,87,-1
HCHO,58,87,1
XO2,64,87,1
HO,78,87,-1
NO3,79,87,1
HKET,24,88,0.6
PAN,36,88,0.4
TPAN,45,88,-1
HCHO,58,88,0.4
XO2,64,88,1
HO2,76,88,0.4
HO,78,88,-1
NO3,79,88,0.6
ONIT,62,89,-1
HC3P,73,89,1
HO,78,89,-1
NO2,82,89,1
HNO3,32,90,1
CO,38,90,1
HCHO,58,90,-1
HO2,76,90,1
NO3,79,90,-1
HNO3,32,91,1
ALD,66,91,-1
ACO3,77,91,1
NO3,79,91,-1
HNO3,32,92,1
CO,38,92,2
GLY,46,92,-1
HO2,76,92,1
NO3,79,92,-1
HNO3,32,93,1
CO,38,93,1
MGLY,53,93,-1
ACO3,77,93,1
NO3,79,93,-1
MAHP,13,94,-1
MACP,44,94,1
HO,78,94,-1
HNO3,32,95,0.5
GLY,46,95,0.25
KET,52,95,0.03
MGLY,53,95,0.25
DCB,63,95,-1
XO2,64,95,0.5
ALD,66,95,0.25
TCO3,71,95,0.5
HO2,76,95,0.5
NO3,79,95,-1
NO2,82,95,0.5
PHO,26,96,1
HNO3,32,96,1
CSL,42,96,-1
NO3,79,96,-1
ETE,30,97,-1
OLND,68,97,0.2
OLNN,69,97,0.8
NO3,79,97,-1
OLT,65,98,-1
OLND,68,98,0.57
OLNN,69,98,0.43
NO3,79,98,-1
OLI,67,99,-1
OLND,68,99,0.89
OLNN,69,99,0.11
NO3,79,99,-1
DIEN,43,100,-1
MACR,49,100,0.9
OLND,68,100,0.1
OLNN,69,100,0.9
NO3,79,100,-1
ISON,34,101,1
ISO,40,101,-1
NO3,79,101,-1
API,37,102,-1
OLND,68,102,0.9
OLNN,69,102,0.1
NO3,79,102,-1
LIM,39,103,-1
OLND,68,103,0.87
OLNN,69,103,0.13
NO3,79,103,-1
PAN,36,104,0.4
TPAN,45,104,-1
HCHO,58,104,0.4
ONIT,62,104,0.6
XO2,64,104,1
NO3,79,104,-0.4
NO2,82,104,0.4
ORA1,3,105,0.37
ETE,30,105,-1
CO,38,105,0.43
HCHO,58,105,1
O3,72,105,-1
HO2,76,105,0.26
HO,78,105,0.12
ORA1,3,106,0.14
ORA2,4,106,0.1
ETH,17,106,0.03
CH4,18,106,0.06
H2O2,27,106,0.006
CO,38,106,0.37
KET,52,106,0.03
HCHO,58,106,0.64
OLT,65,106,-1
ALD,66,106,0.44
ETHP,70,106,0.1
O3,72,106,-1
MO2,74,106,0.19
HO2,76,106,0.25
HO,78,106,0.4
KETP,80,106,0.03
ORA2,4,107,0.14
ETH,17,107,0.06
CH4,18,107,0.07
H2O2,27,107,0.011
CO,38,107,0.3
KET,52,107,0.16
HCHO,58,107,0.02
ALD,66,107,0.99
OLI,67,107,-1
ETHP,70,107,0.18
O3,72,107,-1
MO2,74,107,0.23
HO2,76,107,0.22
HO,78,107,0.63
KETP,80,107,0.12
ORA1,3,108,0.15
O3P,25,108,0.09
H2O2,27,108,0.001
CO,38,108,0.36
DIEN,43,108,-1
MACR,49,108,0.39
HCHO,58,108,0.9
XO2,64,108,0.13
OLT,65,108,0.35
O3,72,108,-1
MO2,74,108,0.03
HO2,76,108,0.3
ACO3,77,108,0.15
HO,78,108,0.28
KETP,80,108,0.02
ORA1,3,109,0.28
H2O2,27,109,0.09
CO,38,109,0.14
ISO,40,109,-1
MACP,44,109,0.1
MACR,49,109,0.65
HCHO,58,109,0.58
O3,72,109,-1
MO2,74,109,0.08
HO2,76,109,0.25
ACO3,77,109,0.1
HO,78,109,0.25
H2O2,27,110,0.02
API,37,110,-1
CO,38,110,0.14
KET,52,110,0.53
ALD,66,110,0.65
ETHP,70,110,0.2
O3,72,110,-1
HO2,76,110,0.1
HO,78,110,0.85
KETP,80,110,0.42
ORA1,3,111,0.01
ORA2,4,111,0.07
H2O2,27,111,0.02
CO,38,111,0.14
LIM,39,111,-1
MACR,49,111,0.79
HCHO,58,111,0.04
OLT,65,111,0.46
ETHP,70,111,0.16
O3,72,111,-1
HO2,76,111,0.1
HO,78,111,0.85
KETP,80,111,0.42
ORA1,3,112,0.45
CO,38,112,0.22
MACR,49,112,-1
MGLY,53,112,0.9
O3,72,112,-1
HO2,76,112,0.32
ACO3,77,112,0.1
HO,78,112,0.19
ORA1,3,113,0.11
ORA2,4,113,0.21
PAA,33,113,0.11
CO,38,113,0.66
GLY,46,113,0.5
MGLY,53,113,0.62
DCB,63,113,-1
ALD,66,113,0.16
O3,72,113,-1
HO2,76,113,0.29
ACO3,77,113,0.28
HO,78,113,0.21
ORA1,3,114,0.11
PAN,36,114,0.3
CO,38,114,0.13
TPAN,45,114,-1
HCHO,58,114,0.7
O3,72,114,-1
HO2,76,114,0.08
ACO3,77,114,0.7
HO,78,114,0.036
NO2,82,114,0.7
PHO,26,115,-1
CSL,42,115,0.1
ONIT,62,115,1
NO2,82,115,-1
PHO,26,116,-1
CSL,42,116,1
HO2,76,116,-1
HONO,23,117,1
ADDT,28,117,-1
CSL,42,117,1
NO2,82,117,-1
ADDT,28,118,-1
CSL,42,118,0.02
TOLP,59,118,0.98
HO2,76,118,0.02
ADDT,28,119,-1
CSL,42,119,1
O3,72,119,-1
HO,78,119,1
HONO,23,120,1
ADDX,29,120,-1
CSL,42,120,1
NO2,82,120,-1
ADDX,29,121,-1
CSL,42,121,0.02
XYLP,60,121,0.98
HO2,76,121,0.02
ADDX,29,122,-1
CSL,42,122,1
O3,72,122,-1
HO,78,122,1
HONO,23,123,1
ADDC,31,123,-1
CSL,42,123,1
NO2,82,123,-1
ADDC,31,124,-1
CSL,42,124,0.02
CSLP,54,124,0.98
HO2,76,124,0.02
ADDC,31,125,-1
CSL,42,125,1
O3,72,125,-1
HO,78,125,1
PAN,36,126,1
ACO3,77,126,-1
NO2,82,126,-1
PAN,36,127,-1
ACO3,77,127,1
NO2,82,127,1
TPAN,45,128,1
TCO3,71,128,-1
NO2,82,128,-1
TPAN,45,129,-1
TCO3,71,129,1
NO2,82,129,1
HCHO,58,130,1
MO2,74,130,-1
HO2,76,130,1
NO,81,130,-1
NO2,82,130,1
ALD,66,131,1
ETHP,70,131,-1
HO2,76,131,1
NO,81,131,-1
NO2,82,131,1
GLY,46,132,0.063
KET,52,132,0.623
HCHO,58,132,0.047
ONIT,62,132,0.059
XO2,64,132,0.048
ALD,66,132,0.233
ETHP,70,132,0.048
HC3P,73,132,-1
MO2,74,132,0.15
HO2,76,132,0.742
NO,81,132,-1
NO2,82,132,0.941
KET,52,133,0.722
HC5P,57,133,-1
HCHO,58,133,0.021
ONIT,62,133,0.124
XO2,64,133,0.334
ALD,66,133,0.211
ETHP,70,133,0.245
MO2,74,133,0.031
HO2,76,133,0.599
NO,81,133,-1
NO2,82,133,0.876
KET,52,134,0.642
HC8P,56,134,-1
ONIT,62,134,0.261
XO2,64,134,0.416
ALD,66,134,0.15
ETHP,70,134,0.133
HO2,76,134,0.606
NO,81,134,-1
NO2,82,134,0.739
ETEP,47,135,-1
HCHO,58,135,1.6
ALD,66,135,0.2
HO2,76,135,1
NO,81,135,-1
NO2,82,135,1
OLTP,48,136,-1
KET,52,136,0.06
HCHO,58,136,1
ALD,66,136,0.94
HO2,76,136,1
NO,81,136,-1
NO2,82,136,1
KET,52,137,0.29
OLIP,61,137,-1
ALD,66,137,1.71
HO2,76,137,1
NO,81,137,-1
NO2,82,137,1
ISON,34,138,0.046
MACR,49,138,1
ISOP,50,138,-1
HCHO,58,138,1
HO2,76,138,1
NO,81,138,-1
NO2,82,138,1
APIP,51,139,-1
KET,52,139,0.8
ONIT,62,139,0.2
ALD,66,139,0.8
HO2,76,139,0.8
NO,81,139,-1
NO2,82,139,0.8
MACR,49,140,0.4
LIMP,55,140,-1
HCHO,58,140,0.25
ONIT,62,140,0.35
OLI,67,140,0.25
HO2,76,140,0.65
NO,81,140,-1
NO2,82,140,0.65
GLY,46,141,1.2
MGLY,53,141,0.65
TOLP,59,141,-1
ONIT,62,141,0.05
DCB,63,141,0.5
HO2,76,141,0.95
NO,81,141,-1
NO2,82,141,0.95
GLY,46,142,0.35
MGLY,53,142,0.6
XYLP,60,142,-1
ONIT,62,142,0.05
DCB,63,142,0.95
HO2,76,142,0.95
NO,81,142,-1
NO2,82,142,0.95
GLY,46,143,1
MGLY,53,143,1
CSLP,54,143,-1
HO2,76,143,1
NO,81,143,-1
NO2,82,143,1
MO2,74,144,1
ACO3,77,144,-1
NO,81,144,-1
NO2,82,144,1
HCHO,58,145,1
TCO3,71,145,-1
ACO3,77,145,1
NO,81,145,-1
NO2,82,145,1
MGLY,53,146,0.54
XO2,64,146,0.16
ALD,66,146,0.46
HO2,76,146,0.77
ACO3,77,146,0.23
KETP,80,146,-1
NO,81,146,-1
NO2,82,146,1
ONIT,62,147,1
OLNN,69,147,-1
HO2,76,147,1
NO,81,147,-1
NO2,82,147,1
KET,52,148,0.464
HCHO,58,148,0.287
ALD,66,148,1.24
OLND,68,148,-1
NO,81,148,-1
NO2,82,148,2
OP1,20,149,1
MO2,74,149,-1
HO2,76,149,-1
ETHP,70,150,-1
OP2,75,150,1
HO2,76,150,-1
