! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Dense species-by-atom composition matrix (variable species only) in CSV format
! 
! Generated by KPP-3.3.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : RACM_SpeciesCompositionMatrix.csv
! Equation file        : RACM.kpp
! Output root filename : RACM
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



species_index,species_name,IGNORE
1,SULF,1
2,CO2,1
3,ORA1,1
4,ORA2,1
5,SO2,1
6,O1D,1
7,ISHP,1
8,HC5,1
9,TOL,1
10,XYL,1
11,N2O5,1
12,HC8,1
13,MAHP,1
14,HC3,1
15,UDD,1
16,NALD,1
17,ETH,1
18,CH4,1
19,HNO4,1
20,OP1,1
21,MPAN,1
22,HACE,1
23,HONO,1
24,HKET,1
25,O3P,1
26,PHO,1
27,H2O2,1
28,ADDT,1
29,ADDX,1
30,ETE,1
31,ADDC,1
32,HNO3,1
33,PAA,1
34,ISON,1
35,SESQ,1
36,PAN,1
37,API,1
38,CO,1
39,LIM,1
40,ISO,1
41,MBO,1
42,CSL,1
43,DIEN,1
44,MACP,1
45,TPAN,1
46,GLY,1
47,ETEP,1
48,OLTP,1
49,MACR,1
50,ISOP,1
51,APIP,1
52,KET,1
53,MGLY,1
54,CSLP,1
55,LIMP,1
56,HC8P,1
57,HC5P,1
58,HCHO,1
59,TOLP,1
60,XYLP,1
61,OLIP,1
62,ONIT,1
63,DCB,1
64,XO2,1
65,OLT,1
66,ALD,1
67,OLI,1
68,OLND,1
69,OLNN,1
70,ETHP,1
71,TCO3,1
72,O3,1
73,HC3P,1
74,MO2,1
75,OP2,1
76,HO2,1
77,ACO3,1
78,HO,1
79,NO3,1
80,KETP,1
81,NO,1
82,NO2,1
