! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Representation of the mechanism as a bipartite species-reaction graph in CSV format
! 
! Generated by KPP-3.3.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : RACM_EdgeList.csv
! Equation file        : RACM.kpp
! Output root filename : RACM
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



# species_index (starts from 1),reaction_index (starts from 1),from,to, directed stoichiometric value
25,1,R1,O3P,1
81,1,R1,NO,1
82,1,NO2,R1,-1
6,2,R2,O1D,1
72,2,O3,R2,-1
25,3,R3,O3P,1
72,3,O3,R3,-1
23,4,HONO,R4,-1
78,4,R4,HO,1
81,4,R4,NO,1
32,5,HNO3,R5,-1
78,5,R5,HO,1
82,5,R5,NO2,1
19,6,HNO4,R6,-1
76,6,R6,HO2,0.65
78,6,R6,HO,0.35
79,6,R6,NO3,0.35
82,6,R6,NO2,0.65
79,7,NO3,R7,-1
81,7,R7,NO,1
25,8,R8,O3P,1
79,8,NO3,R8,-1
82,8,R8,NO2,1
27,9,H2O2,R9,-1
78,9,R9,HO,2
38,10,R10,CO,1
58,10,HCHO,R10,-1
38,11,R11,CO,1
58,11,HCHO,R11,-1
76,11,R11,HO2,2
38,12,R12,CO,1
66,12,ALD,R12,-1
74,12,R12,MO2,1
76,12,R12,HO2,1
20,13,OP1,R13,-1
58,13,R13,HCHO,1
76,13,R13,HO2,1
78,13,R13,HO,1
66,14,R14,ALD,1
75,14,OP2,R14,-1
76,14,R14,HO2,1
78,14,R14,HO,1
33,15,PAA,R15,-1
74,15,R15,MO2,1
78,15,R15,HO,1
52,16,KET,R16,-1
70,16,R16,ETHP,1
77,16,R16,ACO3,1
38,17,R17,CO,1.87
46,17,GLY,R17,-1
58,17,R17,HCHO,0.13
38,18,R18,CO,1.55
46,18,GLY,R18,-1
58,18,R18,HCHO,0.45
76,18,R18,HO2,0.8
38,19,R19,CO,1
53,19,MGLY,R19,-1
76,19,R19,HO2,1
77,19,R19,ACO3,1
63,20,DCB,R20,-1
71,20,R20,TCO3,1
76,20,R20,HO2,1
52,21,R21,KET,0.8
62,21,ONIT,R21,-1
66,21,R21,ALD,0.2
76,21,R21,HO2,1
82,21,R21,NO2,1
38,22,R22,CO,1
49,22,MACR,R22,-1
58,22,R22,HCHO,1
76,22,R22,HO2,1
77,22,R22,ACO3,1
24,23,HKET,R23,-1
58,23,R23,HCHO,1
76,23,R23,HO2,1
77,23,R23,ACO3,1
25,24,O3P,R24,-1
72,24,R24,O3,1
25,25,O3P,R25,-1
72,25,O3,R25,-1
6,26,O1D,R26,-1
25,26,R26,O3P,1
6,27,O1D,R27,-1
78,27,R27,HO,2
72,28,O3,R28,-1
76,28,R28,HO2,1
78,28,HO,R28,-1
72,29,O3,R29,-1
76,29,HO2,R29,-1
78,29,R29,HO,1
76,30,HO2,R30,-1
78,30,HO,R30,-1
27,31,H2O2,R31,-1
76,31,R31,HO2,1
78,31,HO,R31,-1
27,32,R32,H2O2,1
76,32,HO2,R32,-2
27,33,R33,H2O2,1
76,33,HO2,R33,-2
25,34,O3P,R34,-1
81,34,NO,R34,-1
82,34,R34,NO2,1
25,35,O3P,R35,-1
81,35,R35,NO,1
82,35,NO2,R35,-1
25,36,O3P,R36,-1
79,36,R36,NO3,1
82,36,NO2,R36,-1
23,37,R37,HONO,1
78,37,HO,R37,-1
81,37,NO,R37,-1
32,38,R38,HNO3,1
78,38,HO,R38,-1
82,38,NO2,R38,-1
76,39,R39,HO2,1
78,39,HO,R39,-1
79,39,NO3,R39,-1
82,39,R39,NO2,1
76,40,HO2,R40,-1
78,40,R40,HO,1
81,40,NO,R40,-1
82,40,R40,NO2,1
19,41,R41,HNO4,1
76,41,HO2,R41,-1
82,41,NO2,R41,-1
19,42,HNO4,R42,-1
76,42,R42,HO2,1
82,42,R42,NO2,1
32,43,R43,HNO3,0.3
76,43,HO2,R43,-1
78,43,R43,HO,0.7
79,43,NO3,R43,-1
82,43,R43,NO2,0.7
23,44,HONO,R44,-1
78,44,HO,R44,-1
82,44,R44,NO2,1
32,45,HNO3,R45,-1
78,45,HO,R45,-1
79,45,R45,NO3,1
19,46,HNO4,R46,-1
78,46,HO,R46,-1
82,46,R46,NO2,1
72,47,O3,R47,-1
81,47,NO,R47,-1
82,47,R47,NO2,1
72,48,O3,R48,-1
79,48,R48,NO3,1
82,48,NO2,R48,-1
81,49,NO,R49,-2
82,49,R49,NO2,2
79,50,NO3,R50,-1
81,50,NO,R50,-1
82,50,R50,NO2,2
79,51,NO3,R51,-1
81,51,R51,NO,1
82,51,NO2,R51,-1
82,51,R51,NO2,1
11,52,R52,N2O5,1
79,52,NO3,R52,-1
82,52,NO2,R52,-1
11,53,N2O5,R53,-1
79,53,R53,NO3,1
82,53,R53,NO2,1
79,54,NO3,R54,-2
82,54,R54,NO2,2
76,55,R55,HO2,1
78,55,HO,R55,-1
1,56,R56,SULF,1
5,56,SO2,R56,-1
76,56,R56,HO2,1
78,56,HO,R56,-1
2,57,R57,CO2,1
38,57,CO,R57,-1
76,57,R57,HO2,1
78,57,HO,R57,-1
16,58,NALD,R58,-1
38,58,R58,CO,1
58,58,R58,HCHO,1
78,58,HO,R58,-1
82,58,R58,NO2,1
22,59,HACE,R59,-1
53,59,R59,MGLY,1
76,59,R59,HO2,1
78,59,HO,R59,-1
18,60,CH4,R60,-1
74,60,R60,MO2,1
78,60,HO,R60,-1
17,61,ETH,R61,-1
70,61,R61,ETHP,1
78,61,HO,R61,-1
3,62,R62,ORA1,0.036
14,62,HC3,R62,-1
38,62,R62,CO,0.036
46,62,R62,GLY,0.036
58,62,R62,HCHO,0.01
66,62,R62,ALD,0.335
73,62,R62,HC3P,0.583
76,62,R62,HO2,0.381
78,62,HO,R62,-1
78,62,R62,HO,0.036
8,63,HC5,R63,-1
52,63,R63,KET,0.25
57,63,R63,HC5P,0.75
76,63,R63,HO2,0.25
78,63,HO,R63,-1
12,64,HC8,R64,-1
24,64,R64,HKET,0.024
56,64,R64,HC8P,0.9511
66,64,R64,ALD,0.025
76,64,R64,HO2,0.049
78,64,HO,R64,-1
30,65,ETE,R65,-1
47,65,R65,ETEP,1
78,65,HO,R65,-1
48,66,R66,OLTP,1
65,66,OLT,R66,-1
78,66,HO,R66,-1
61,67,R67,OLIP,1
67,67,OLI,R67,-1
78,67,HO,R67,-1
43,68,DIEN,R68,-1
50,68,R68,ISOP,1
78,68,HO,R68,-1
40,69,ISO,R69,-1
50,69,R69,ISOP,1
78,69,HO,R69,-1
37,70,API,R70,-1
51,70,R70,APIP,1
78,70,HO,R70,-1
39,71,LIM,R71,-1
55,71,R71,LIMP,1
78,71,HO,R71,-1
9,72,TOL,R72,-1
28,72,R72,ADDT,0.9
64,72,R72,XO2,0.1
76,72,R72,HO2,0.1
78,72,HO,R72,-1
10,73,XYL,R73,-1
29,73,R73,ADDX,0.9
64,73,R73,XO2,0.1
76,73,R73,HO2,0.1
78,73,HO,R73,-1
26,74,R74,PHO,0.1
31,74,R74,ADDC,0.85
42,74,CSL,R74,-1
64,74,R74,XO2,0.05
76,74,R74,HO2,0.05
78,74,HO,R74,-1
38,75,R75,CO,1
58,75,HCHO,R75,-1
76,75,R75,HO2,1
78,75,HO,R75,-1
66,76,ALD,R76,-1
77,76,R76,ACO3,1
78,76,HO,R76,-1
52,77,KET,R77,-1
78,77,HO,R77,-1
80,77,R77,KETP,1
24,78,HKET,R78,-1
53,78,R78,MGLY,1
76,78,R78,HO2,1
78,78,HO,R78,-1
38,79,R79,CO,2
46,79,GLY,R79,-1
76,79,R79,HO2,1
78,79,HO,R79,-1
38,80,R80,CO,1
53,80,MGLY,R80,-1
77,80,R80,ACO3,1
78,80,HO,R80,-1
44,81,R81,MACP,1
49,81,MACR,R81,-1
78,81,HO,R81,-1
15,82,R82,UDD,0.35
46,82,R82,GLY,0.15
53,82,R82,MGLY,0.15
63,82,DCB,R82,-1
64,82,R82,XO2,0.5
71,82,R82,TCO3,0.5
76,82,R82,HO2,0.5
78,82,HO,R82,-1
15,83,UDD,R83,-1
52,83,R83,KET,0.12
66,83,R83,ALD,0.88
76,83,R83,HO2,1
78,83,HO,R83,-1
20,84,OP1,R84,-1
58,84,R84,HCHO,0.35
74,84,R84,MO2,0.65
78,84,HO,R84,-1
78,84,R84,HO,0.35
52,85,R85,KET,0.41
64,85,R85,XO2,0.07
66,85,R85,ALD,0.08
73,85,R85,HC3P,0.44
75,85,OP2,R85,-1
78,85,HO,R85,-1
78,85,R85,HO,0.49
33,86,PAA,R86,-1
58,86,R86,HCHO,0.35
64,86,R86,XO2,0.35
76,86,R86,HO2,0.35
77,86,R86,ACO3,0.65
78,86,HO,R86,-1
36,87,PAN,R87,-1
58,87,R87,HCHO,1
64,87,R87,XO2,1
78,87,HO,R87,-1
79,87,R87,NO3,1
24,88,R88,HKET,0.6
36,88,R88,PAN,0.4
45,88,TPAN,R88,-1
58,88,R88,HCHO,0.4
64,88,R88,XO2,1
76,88,R88,HO2,0.4
78,88,HO,R88,-1
79,88,R88,NO3,0.6
62,89,ONIT,R89,-1
73,89,R89,HC3P,1
78,89,HO,R89,-1
82,89,R89,NO2,1
32,90,R90,HNO3,1
38,90,R90,CO,1
58,90,HCHO,R90,-1
76,90,R90,HO2,1
79,90,NO3,R90,-1
32,91,R91,HNO3,1
66,91,ALD,R91,-1
77,91,R91,ACO3,1
79,91,NO3,R91,-1
32,92,R92,HNO3,1
38,92,R92,CO,2
46,92,GLY,R92,-1
76,92,R92,HO2,1
79,92,NO3,R92,-1
32,93,R93,HNO3,1
38,93,R93,CO,1
53,93,MGLY,R93,-1
77,93,R93,ACO3,1
79,93,NO3,R93,-1
13,94,MAHP,R94,-1
44,94,R94,MACP,1
78,94,HO,R94,-1
32,95,R95,HNO3,0.5
46,95,R95,GLY,0.25
52,95,R95,KET,0.03
53,95,R95,MGLY,0.25
63,95,DCB,R95,-1
64,95,R95,XO2,0.5
66,95,R95,ALD,0.25
71,95,R95,TCO3,0.5
76,95,R95,HO2,0.5
79,95,NO3,R95,-1
82,95,R95,NO2,0.5
26,96,R96,PHO,1
32,96,R96,HNO3,1
42,96,CSL,R96,-1
79,96,NO3,R96,-1
30,97,ETE,R97,-1
68,97,R97,OLND,0.2
69,97,R97,OLNN,0.8
79,97,NO3,R97,-1
65,98,OLT,R98,-1
68,98,R98,OLND,0.57
69,98,R98,OLNN,0.43
79,98,NO3,R98,-1
67,99,OLI,R99,-1
68,99,R99,OLND,0.89
69,99,R99,OLNN,0.11
79,99,NO3,R99,-1
43,100,DIEN,R100,-1
49,100,R100,MACR,0.9
68,100,R100,OLND,0.1
69,100,R100,OLNN,0.9
79,100,NO3,R100,-1
34,101,R101,ISON,1
40,101,ISO,R101,-1
79,101,NO3,R101,-1
37,102,API,R102,-1
68,102,R102,OLND,0.9
69,102,R102,OLNN,0.1
79,102,NO3,R102,-1
39,103,LIM,R103,-1
68,103,R103,OLND,0.87
69,103,R103,OLNN,0.13
79,103,NO3,R103,-1
36,104,R104,PAN,0.4
45,104,TPAN,R104,-1
58,104,R104,HCHO,0.4
62,104,R104,ONIT,0.6
64,104,R104,XO2,1
79,104,NO3,R104,-1
79,104,R104,NO3,0.6
82,104,R104,NO2,0.4
3,105,R105,ORA1,0.37
30,105,ETE,R105,-1
38,105,R105,CO,0.43
58,105,R105,HCHO,1
72,105,O3,R105,-1
76,105,R105,HO2,0.26
78,105,R105,HO,0.12
3,106,R106,ORA1,0.14
4,106,R106,ORA2,0.1
17,106,R106,ETH,0.03
18,106,R106,CH4,0.06
27,106,R106,H2O2,0.006
38,106,R106,CO,0.37
52,106,R106,KET,0.03
58,106,R106,HCHO,0.64
65,106,OLT,R106,-1
66,106,R106,ALD,0.44
70,106,R106,ETHP,0.1
72,106,O3,R106,-1
74,106,R106,MO2,0.19
76,106,R106,HO2,0.25
78,106,R106,HO,0.4
80,106,R106,KETP,0.03
4,107,R107,ORA2,0.14
17,107,R107,ETH,0.06
18,107,R107,CH4,0.07
27,107,R107,H2O2,0.011
38,107,R107,CO,0.3
52,107,R107,KET,0.16
58,107,R107,HCHO,0.02
66,107,R107,ALD,0.99
67,107,OLI,R107,-1
70,107,R107,ETHP,0.18
72,107,O3,R107,-1
74,107,R107,MO2,0.23
76,107,R107,HO2,0.22
78,107,R107,HO,0.63
80,107,R107,KETP,0.12
3,108,R108,ORA1,0.15
25,108,R108,O3P,0.09
27,108,R108,H2O2,0.001
38,108,R108,CO,0.36
43,108,DIEN,R108,-1
49,108,R108,MACR,0.39
