! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Sparse Biadjacency Matrix, aka Stoichiometric Matrix, in CSV format
! 
! Generated by KPP-3.3.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : RADM2_BiadjacencyMatrix.csv
! Equation file        : RADM2.kpp
! Output root filename : RADM2
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



spc_name,species_index,reaction_index,stoichiometric_coefficient
O3P,19,1,1
NO,58,1,1
NO2,59,1,-1
O1D,7,2,1
O3,46,2,-1
O3P,19,3,1
O3,46,3,-1
HONO,13,4,-1
OH,53,4,1
NO,58,4,1
HNO3,25,5,-1
OH,53,5,1
NO2,59,5,1
HNO4,20,6,-1
HO2,51,6,0.65
OH,53,6,0.35
NO3,54,6,0.35
NO2,59,6,0.65
NO3,54,7,-1
NO,58,7,1
O3P,19,8,1
NO3,54,8,-1
NO2,59,8,1
H2O2,14,9,-1
OH,53,9,2
CO,26,10,1
HCHO,43,10,-1
CO,26,11,1
HCHO,43,11,-1
HO2,51,11,2
CO,26,12,1
ALD,48,12,-1
HO2,51,12,1
MO2,52,12,1
OP1,21,13,-1
HCHO,43,13,1
HO2,51,13,1
OH,53,13,1
OP2,42,14,-1
ALD,48,14,1
HO2,51,14,1
OH,53,14,1
PAA,18,15,-1
MO2,52,15,1
OH,53,15,1
KET,33,16,-1
ACO3,55,16,1
ETHP,57,16,1
CO,26,17,1.87
GLY,31,17,-1
HCHO,43,17,0.13
CO,26,18,1.55
GLY,31,18,-1
HCHO,43,18,0.45
HO2,51,18,0.8
CO,26,19,1
MGLY,34,19,-1
HO2,51,19,1
ACO3,55,19,1
DCB,30,20,-1
TCO3,45,20,1
HO2,51,20,1
KET,33,21,0.8
ONIT,47,21,-1
ALD,48,21,0.2
HO2,51,21,1
NO2,59,21,1
O3P,19,22,-1
O3,46,22,1
O3P,19,23,-1
NO,58,23,1
NO2,59,23,-1
O1D,7,24,-1
O3P,19,24,1
O1D,7,25,-1
OH,53,25,2
O3,46,26,-1
NO,58,26,-1
NO2,59,26,1
O3,46,27,-1
HO2,51,27,1
OH,53,27,-1
O3,46,28,-1
HO2,51,28,-1
OH,53,28,1
HO2,51,29,-1
OH,53,29,1
NO,58,29,-1
NO2,59,29,1
HNO4,20,30,1
HO2,51,30,-1
NO2,59,30,-1
HNO4,20,31,-1
HO2,51,31,1
NO2,59,31,1
H2O2,14,32,1
HO2,51,32,-2
H2O2,14,33,1
HO2,51,33,-2
H2O2,14,34,-1
HO2,51,34,1
OH,53,34,-1
HONO,13,35,1
OH,53,35,-1
NO,58,35,-1
NO,58,36,-2
NO2,59,36,2
O3,46,37,-1
NO3,54,37,1
NO2,59,37,-1
NO3,54,38,-1
NO,58,38,-1
NO2,59,38,2
NO3,54,39,-1
NO,58,39,1
HNO3,25,40,1
HO2,51,40,-1
NO3,54,40,-1
N2O5,15,41,1
NO3,54,41,-1
NO2,59,41,-1
N2O5,15,42,-1
NO3,54,42,1
NO2,59,42,1
N2O5,15,43,-1
HNO3,25,43,2
HNO3,25,44,1
OH,53,44,-1
NO2,59,44,-1
HNO3,25,45,-1
OH,53,45,-1
NO3,54,45,1
HNO4,20,46,-1
OH,53,46,-1
NO2,59,46,1
HO2,51,47,-1
OH,53,47,-1
SULF,1,48,1
SO2,5,48,-1
HO2,51,48,1
OH,53,48,-1
CO2,4,49,1
CO,26,49,-1
HO2,51,49,1
OH,53,49,-1
CH4,17,50,-1
MO2,52,50,1
OH,53,50,-1
ETH,6,51,-1
OH,53,51,-1
ETHP,57,51,1
HC3,16,52,-1
KET,33,52,0.025
HCHO,43,52,0.009
ALD,48,52,0.075
HO2,51,52,0.17
OH,53,52,-1
HC3P,56,52,0.83
HC5,8,53,-1
XO2,39,53,0.25
HC5P,41,53,1
OH,53,53,-1
HC8,9,54,-1
XO2,39,54,0.75
HC8P,44,54,1
OH,53,54,-1
OL2,24,55,-1
OL2P,40,55,1
OH,53,55,-1
OLT,28,56,-1
OLTP,37,56,1
OH,53,56,-1
OLI,29,57,-1
OLIP,49,57,1
OH,53,57,-1
TOL,10,58,-1
CSL,22,58,0.25
TOLP,35,58,0.75
HO2,51,58,0.25
OH,53,58,-1
XYL,11,59,-1
CSL,22,59,0.17
XYLP,36,59,0.83
HO2,51,59,0.17
OH,53,59,-1
CSL,22,60,-1
XO2,39,60,0.9
TCO3,45,60,0.9
HO2,51,60,0.1
OH,53,60,-1.9
CO,26,61,1
HCHO,43,61,-1
HO2,51,61,1
OH,53,61,-1
ALD,48,62,-1
OH,53,62,-1
ACO3,55,62,1
KET,33,63,-1
KETP,50,63,1
OH,53,63,-1
CO,26,64,2
GLY,31,64,-1
HO2,51,64,1
OH,53,64,-1
CO,26,65,1
MGLY,34,65,-1
OH,53,65,-1
ACO3,55,65,1
DCB,30,66,-1
TCO3,45,66,1
OH,53,66,-1
OP1,21,67,-1
HCHO,43,67,0.5
MO2,52,67,0.5
OH,53,67,-0.5
OP2,42,68,-1
ALD,48,68,0.5
OH,53,68,-0.5
HC3P,56,68,0.5
PAA,18,69,-1
OH,53,69,-1
ACO3,55,69,1
PAN,23,70,-1
XO2,39,70,1
HCHO,43,70,1
OH,53,70,-1
NO3,54,70,1
ONIT,47,71,-1
OH,53,71,-1
HC3P,56,71,1
NO2,59,71,1
ISO,27,72,-1
OLTP,37,72,1
OH,53,72,-1
PAN,23,73,1
ACO3,55,73,-1
NO2,59,73,-1
PAN,23,74,-1
ACO3,55,74,1
NO2,59,74,1
TPAN,12,75,1
TCO3,45,75,-1
NO2,59,75,-1
TPAN,12,76,-1
TCO3,45,76,1
NO2,59,76,1
HCHO,43,77,1
HO2,51,77,1
MO2,52,77,-1
NO,58,77,-1
NO2,59,77,1
KET,33,78,0.25
HCHO,43,78,0.09
ONIT,47,78,0.036
ALD,48,78,0.75
HO2,51,78,0.964
HC3P,56,78,-1
NO,58,78,-1
NO2,59,78,0.964
KET,33,79,0.69
HC5P,41,79,-1
ONIT,47,79,0.08
ALD,48,79,0.38
HO2,51,79,0.92
NO,58,79,-1
NO2,59,79,0.92
KET,33,80,1.06
HCHO,43,80,0.04
HC8P,44,80,-1
ONIT,47,80,0.24
ALD,48,80,0.35
HO2,51,80,0.76
NO,58,80,-1
NO2,59,80,0.76
OL2P,40,81,-1
HCHO,43,81,1.6
ALD,48,81,0.2
HO2,51,81,1
NO,58,81,-1
NO2,59,81,1
OLTP,37,82,-1
HCHO,43,82,1
ALD,48,82,1
HO2,51,82,1
NO,58,82,-1
NO2,59,82,1
KET,33,83,0.1
HCHO,43,83,0.28
ALD,48,83,1.45
OLIP,49,83,-1
HO2,51,83,1
NO,58,83,-1
NO2,59,83,1
MO2,52,84,1
ACO3,55,84,-1
NO,58,84,-1
NO2,59,84,1
CO,26,85,0.95
GLY,31,85,0.89
MGLY,34,85,0.11
XO2,39,85,2
TCO3,45,85,-1
HO2,51,85,0.92
ACO3,55,85,0.05
NO,58,85,-1
NO2,59,85,1
DCB,30,86,0.7
GLY,31,86,0.16
MGLY,34,86,0.17
TOLP,35,86,-1
HO2,51,86,1
NO,58,86,-1
NO2,59,86,1
DCB,30,87,0.806
MGLY,34,87,0.45
XYLP,36,87,-1
HO2,51,87,1
NO,58,87,-1
NO2,59,87,1
ALD,48,88,1
HO2,51,88,1
ETHP,57,88,-1
NO,58,88,-1
NO2,59,88,1
MGLY,34,89,1
KETP,50,89,-1
HO2,51,89,1
NO,58,89,-1
NO2,59,89,1
OLN,38,90,-1
HCHO,43,90,1
ALD,48,90,1
NO,58,90,-1
NO2,59,90,2
HNO3,25,91,1
CO,26,91,1
HCHO,43,91,-1
HO2,51,91,1
NO3,54,91,-1
HNO3,25,92,1
ALD,48,92,-1
NO3,54,92,-1
ACO3,55,92,1
HNO3,25,93,1
CO,26,93,2
GLY,31,93,-1
HO2,51,93,1
NO3,54,93,-1
HNO3,25,94,1
CO,26,94,1
MGLY,34,94,-1
NO3,54,94,-1
ACO3,55,94,1
HNO3,25,95,1
DCB,30,95,-1
TCO3,45,95,1
NO3,54,95,-1
CSL,22,96,-0.5
HNO3,25,96,1
XNO2,32,96,1
NO3,54,96,-1
OL2,24,97,-1
OLN,38,97,1
NO3,54,97,-1
OLT,28,98,-1
OLN,38,98,1
NO3,54,98,-1
OLI,29,99,-1
OLN,38,99,1
NO3,54,99,-1
ISO,27,100,-1
OLN,38,100,1
NO3,54,100,-1
ORA1,2,101,0.4
OL2,24,101,-1
CO,26,101,0.42
HCHO,43,101,1
O3,46,101,-1
HO2,51,101,0.12
ORA1,2,102,0.2
ORA2,3,102,0.2
CH4,17,102,0.06
CO,26,102,0.33
OLT,28,102,-1
HCHO,43,102,0.53
O3,46,102,-1
ALD,48,102,0.5
HO2,51,102,0.23
MO2,52,102,0.22
OH,53,102,0.1
ORA1,2,103,0.06
ORA2,3,103,0.29
CH4,17,103,0.09
CO,26,103,0.23
OLI,29,103,-1
KET,33,103,0.1
HCHO,43,103,0.18
O3,46,103,-1
ALD,48,103,0.72
HO2,51,103,0.26
MO2,52,103,0.31
OH,53,103,0.14
ORA1,2,104,0.2
ORA2,3,104,0.2
CO,26,104,0.33
ISO,27,104,-1
HCHO,43,104,0.53
O3,46,104,-1
ALD,48,104,0.5
HO2,51,104,0.23
MO2,52,104,0.22
OH,53,104,0.1
OP1,21,105,1
HO2,51,105,-1
MO2,52,105,-1
OP2,42,106,1
HO2,51,106,-1
ETHP,57,106,-1
OP2,42,107,1
HO2,51,107,-1
HC3P,56,107,-1
HC5P,41,108,-1
OP2,42,108,1
HO2,51,108,-1
OP2,42,109,1
HC8P,44,109,-1
HO2,51,109,-1
OL2P,40,110,-1
OP2,42,110,1
HO2,51,110,-1
OLTP,37,111,-1
OP2,42,111,1
HO2,51,111,-1
OP2,42,112,1
OLIP,49,112,-1
HO2,51,112,-1
OP2,42,113,1
KETP,50,113,-1
HO2,51,113,-1
PAA,18,114,1
HO2,51,114,-1
ACO3,55,114,-1
TOLP,35,115,-1
OP2,42,115,1
HO2,51,115,-1
XYLP,36,116,-1
OP2,42,116,1
HO2,51,116,-1
OP2,42,117,1
TCO3,45,117,-1
HO2,51,117,-1
OLN,38,118,-1
ONIT,47,118,1
HO2,51,118,-1
HCHO,43,119,1.5
HO2,51,119,1
MO2,52,119,-2
HCHO,43,120,0.75
ALD,48,120,0.75
HO2,51,120,1
MO2,52,120,-1
ETHP,57,120,-1
KET,33,121,0.6
HCHO,43,121,0.75
ALD,48,121,0.15
HO2,51,121,1
MO2,52,121,-1
HC3P,56,121,-1
KET,33,122,0.75
HC5P,41,122,-1
HCHO,43,122,0.77
ALD,48,122,0.41
HO2,51,122,1
MO2,52,122,-1
KET,33,123,1.39
HCHO,43,123,0.8
HC8P,44,123,-1
ALD,48,123,0.46
HO2,51,123,1
MO2,52,123,-1
OL2P,40,124,-1
HCHO,43,124,1.55
ALD,48,124,0.35
HO2,51,124,1
MO2,52,124,-1
OLTP,37,125,-1
HCHO,43,125,1.25
ALD,48,125,0.75
HO2,51,125,1
MO2,52,125,-1
KET,33,126,0.55
HCHO,43,126,0.89
ALD,48,126,0.725
OLIP,49,126,-1
HO2,51,126,1
MO2,52,126,-1
MGLY,34,127,0.75
HCHO,43,127,0.75
KETP,50,127,-1
HO2,51,127,1
MO2,52,127,-1
ORA2,3,128,0.5
HCHO,43,128,1
HO2,51,128,0.5
MO2,52,128,-0.5
ACO3,55,128,-1
DCB,30,129,0.7
GLY,31,129,0.16
MGLY,34,129,0.17
TOLP,35,129,-1
HCHO,43,129,1
HO2,51,129,2
MO2,52,129,-1
DCB,30,130,0.806
MGLY,34,130,0.45
XYLP,36,130,-1
HCHO,43,130,1
HO2,51,130,2
MO2,52,130,-1
ORA2,3,131,0.5
CO,26,131,0.475
GLY,31,131,0.445
MGLY,34,131,0.055
XO2,39,131,1
