! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Representation of the mechanism as a bipartite species-reaction graph in CSV format
! 
! Generated by KPP-3.3.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : RADM2_EdgeList.csv
! Equation file        : RADM2.kpp
! Output root filename : RADM2
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



# species_index (starts from 1),reaction_index (starts from 1),from,to, directed stoichiometric value
19,1,R1,O3P,1
58,1,R1,NO,1
59,1,NO2,R1,-1
7,2,R2,O1D,1
46,2,O3,R2,-1
19,3,R3,O3P,1
46,3,O3,R3,-1
13,4,HONO,R4,-1
53,4,R4,OH,1
58,4,R4,NO,1
25,5,HNO3,R5,-1
53,5,R5,OH,1
59,5,R5,NO2,1
20,6,HNO4,R6,-1
51,6,R6,HO2,0.65
53,6,R6,OH,0.35
54,6,R6,NO3,0.35
59,6,R6,NO2,0.65
54,7,NO3,R7,-1
58,7,R7,NO,1
19,8,R8,O3P,1
54,8,NO3,R8,-1
59,8,R8,NO2,1
14,9,H2O2,R9,-1
53,9,R9,OH,2
26,10,R10,CO,1
43,10,HCHO,R10,-1
26,11,R11,CO,1
43,11,HCHO,R11,-1
51,11,R11,HO2,2
26,12,R12,CO,1
48,12,ALD,R12,-1
51,12,R12,HO2,1
52,12,R12,MO2,1
21,13,OP1,R13,-1
43,13,R13,HCHO,1
51,13,R13,HO2,1
53,13,R13,OH,1
42,14,OP2,R14,-1
48,14,R14,ALD,1
51,14,R14,HO2,1
53,14,R14,OH,1
18,15,PAA,R15,-1
52,15,R15,MO2,1
53,15,R15,OH,1
33,16,KET,R16,-1
55,16,R16,ACO3,1
57,16,R16,ETHP,1
26,17,R17,CO,1.87
31,17,GLY,R17,-1
