! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Dense species-by-atom composition matrix (variable species only) in CSV format
! 
! Generated by KPP-3.3.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : RADM2_SpeciesCompositionMatrix.csv
! Equation file        : RADM2.kpp
! Output root filename : RADM2
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



species_index,species_name,IGNORE
1,SULF,1
2,ORA1,1
3,ORA2,1
4,CO2,1
5,SO2,1
6,ETH,1
7,O1D,1
8,HC5,1
9,HC8,1
10,TOL,1
11,XYL,1
12,TPAN,1
13,HONO,1
14,H2O2,1
15,N2O5,1
16,HC3,1
17,CH4,1
18,PAA,1
19,O3P,1
20,HNO4,1
21,OP1,1
22,CSL,1
23,PAN,1
24,OL2,1
25,HNO3,1
26,CO,1
27,ISO,1
28,OLT,1
29,OLI,1
30,DCB,1
31,GLY,1
32,XNO2,1
33,KET,1
34,MGLY,1
35,TOLP,1
36,XYLP,1
37,OLTP,1
38,OLN,1
39,XO2,1
40,OL2P,1
41,HC5P,1
42,OP2,1
43,HCHO,1
44,HC8P,1
45,TCO3,1
46,O3,1
47,ONIT,1
48,ALD,1
49,OLIP,1
50,KETP,1
51,HO2,1
52,MO2,1
53,OH,1
54,NO3,1
55,ACO3,1
56,HC3P,1
57,ETHP,1
58,NO,1
59,NO2,1
