! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Sparse Biadjacency Matrix, aka Stoichiometric Matrix, in CSV format
! 
! Generated by KPP-3.3.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : saprc99_BiadjacencyMatrix.csv
! Equation file        : saprc99.kpp
! Output root filename : saprc99
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



spc_name,species_index,reaction_index,stoichiometric_coefficient
O3P,58,1,1
NO,69,1,1
NO2,70,1,-1
O3P,58,2,-1
O3,62,2,1
O3P,58,3,-1
O3,62,3,-1
O3P,58,4,-1
NO,69,4,-1
NO2,70,4,1
O3P,58,5,-1
NO,69,5,1
NO2,70,5,-1
O3P,58,6,-1
NO2,70,6,-1
NO3,71,6,1
O3,62,7,-1
NO,69,7,-1
NO2,70,7,1
O3,62,8,-1
NO2,70,8,-1
NO3,71,8,1
NO,69,9,-1
NO2,70,9,2
NO3,71,9,-1
NO,69,10,-2
NO2,70,10,2
N2O5,18,11,1
NO2,70,11,-1
NO3,71,11,-1
N2O5,18,12,-1
NO2,70,12,1
NO3,71,12,1
N2O5,18,13,-1
HNO3,43,13,2
NO,69,14,1
NO3,71,14,-1
NO,69,15,1
NO3,71,15,-1
O3P,58,16,1
NO2,70,16,1
NO3,71,16,-1
O3P,58,17,1
O3,62,17,-1
O1D,10,18,1
O3,62,18,-1
O1D,10,19,-1
OH,74,19,2
O1D,10,20,-1
O3P,58,20,1
HONO,19,21,1
NO,69,21,-1
OH,74,21,-1
HONO,19,22,-1
NO,69,22,1
OH,74,22,1
HONO,19,23,-1
HO2,63,23,1
NO2,70,23,1
HONO,19,24,-1
NO2,70,24,1
OH,74,24,-1
HNO3,43,25,1
NO2,70,25,-1
OH,74,25,-1
HO2,63,26,1
NO2,70,26,1
NO3,71,26,-1
OH,74,26,-1
HNO3,43,27,-1
NO3,71,27,1
OH,74,27,-1
HNO3,43,28,-1
NO2,70,28,1
OH,74,28,1
CO,40,29,-1
HO2,63,29,1
OH,74,29,-1
O3,62,30,-1
HO2,63,30,1
OH,74,30,-1
HO2,63,31,-1
NO,69,31,-1
NO2,70,31,1
OH,74,31,1
HNO4,25,32,1
HO2,63,32,-1
NO2,70,32,-1
HNO4,25,33,-1
HO2,63,33,1
NO2,70,33,1
HNO4,25,34,-1
HO2,63,34,0.61
NO2,70,34,0.61
NO3,71,34,0.39
OH,74,34,0.39
HNO4,25,35,-1
NO2,70,35,1
OH,74,35,-1
O3,62,36,-1
HO2,63,36,-1
OH,74,36,1
H2O2,17,37,1
HO2,63,37,-2
H2O2,17,38,1
HO2,63,38,-2
HNO3,43,39,0.2
HO2,63,39,-1
NO2,70,39,0.8
NO3,71,39,-1
OH,74,39,0.8
NO2,70,40,2
NO3,71,40,-2
H2O2,17,41,-1
OH,74,41,2
H2O2,17,42,-1
HO2,63,42,1
OH,74,42,-1
HO2,63,43,-1
OH,74,43,-1
H2SO4,1,44,1
SO2,9,44,-1
HO2,63,44,1
OH,74,44,-1
HO2,63,45,1
OH,74,45,-1
HCHO,56,46,1
HO2,63,46,1
C_O2,66,46,-1
NO,69,46,-1
NO2,70,46,1
COOH,26,47,1
HO2,63,47,-1
C_O2,66,47,-1
HCHO,56,48,1
HO2,63,48,1
C_O2,66,48,-1
NO2,70,48,1
NO3,71,48,-1
MEOH,29,49,1
HCHO,56,49,1
C_O2,66,49,-2
HCHO,56,50,2
HO2,63,50,2
C_O2,66,50,-2
HO2,63,51,1
RO2_R,68,51,-1
NO,69,51,-1
NO2,70,51,1
ROOH,37,52,1
HO2,63,52,-1
RO2_R,68,52,-1
HO2,63,53,1
RO2_R,68,53,-1
NO2,70,53,1
NO3,71,53,-1
MEOH,29,54,0.25
HCHO,56,54,0.75
HO2,63,54,1
C_O2,66,54,-1
RO2_R,68,54,-1
HO2,63,55,1
RO2_R,68,55,-2
R2O2,48,56,-1
NO,69,56,-1
NO2,70,56,1
R2O2,48,57,-1
R2O2,48,58,-1
NO2,70,58,1
NO3,71,58,-1
R2O2,48,59,-1
R2O2,48,60,-1
RNO3,57,62,1
RO2_N,64,62,-1
NO,69,62,-1
ROOH,37,63,1
HO2,63,63,-1
RO2_N,64,63,-1
MEOH,29,64,0.25
HCHO,56,64,0.75
MEK,60,64,0.5
PROD2,61,64,0.5
HO2,63,64,1
RO2_N,64,64,-1
C_O2,66,64,-1
MEK,60,65,1
HO2,63,65,1
RO2_N,64,65,-1
NO2,70,65,1
NO3,71,65,-1
MEK,60,66,0.5
PROD2,61,66,0.5
HO2,63,66,1
RO2_N,64,66,-1
RO2_R,68,66,-1
R2O2,48,67,-1
MEK,60,68,1
PROD2,61,68,1
HO2,63,68,1
RO2_N,64,68,-2
PAN,13,69,1
NO2,70,69,-1
CCO_O2,72,69,-1
PAN,13,70,-1
NO2,70,70,1
CCO_O2,72,70,1
C_O2,66,71,1
NO,69,71,-1
NO2,70,71,1
CCO_O2,72,71,-1
CCO_OH,3,72,0.25
CCO_OOH,5,72,0.75
O3,62,72,0.25
HO2,63,72,-1
CCO_O2,72,72,-1
C_O2,66,73,1
NO2,70,73,1
NO3,71,73,-1
CCO_O2,72,73,-1
CCO_OH,3,74,1
HCHO,56,74,1
C_O2,66,74,-1
CCO_O2,72,74,-1
CCO_OH,3,75,1
RO2_R,68,75,-1
CCO_O2,72,75,-1
R2O2,48,76,-1
CCO_OH,3,77,1
PROD2,61,77,1
RO2_N,64,77,-1
CCO_O2,72,77,-1
C_O2,66,78,2
CCO_O2,72,78,-2
PAN2,14,79,1
NO2,70,79,-1
RCO_O2,73,79,-1
PAN2,14,80,-1
NO2,70,80,1
RCO_O2,73,80,1
CCHO,55,81,1
RO2_R,68,81,1
NO,69,81,-1
NO2,70,81,1
RCO_O2,73,81,-1
RCO_OH,4,82,0.25
RCO_OOH,6,82,0.75
O3,62,82,0.25
HO2,63,82,-1
RCO_O2,73,82,-1
CCHO,55,83,1
RO2_R,68,83,1
NO2,70,83,1
NO3,71,83,-1
RCO_O2,73,83,-1
RCO_OH,4,84,1
HCHO,56,84,1
C_O2,66,84,-1
RCO_O2,73,84,-1
RCO_OH,4,85,1
RO2_R,68,85,-1
RCO_O2,73,85,-1
R2O2,48,86,-1
RCO_OH,4,87,1
PROD2,61,87,1
RO2_N,64,87,-1
RCO_O2,73,87,-1
CCHO,55,88,1
C_O2,66,88,1
RO2_R,68,88,1
CCO_O2,72,88,-1
RCO_O2,73,88,-1
CCHO,55,89,2
RO2_R,68,89,2
RCO_O2,73,89,-2
PBZN,15,90,1
BZCO_O2,67,90,-1
NO2,70,90,-1
PBZN,15,91,-1
BZCO_O2,67,91,1
NO2,70,91,1
BZ_O,46,92,1
R2O2,48,92,1
BZCO_O2,67,92,-1
NO,69,92,-1
NO2,70,92,1
RCO_OH,4,93,0.25
RCO_OOH,6,93,0.75
O3,62,93,0.25
HO2,63,93,-1
