! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Representation of the mechanism as a bipartite species-reaction graph in CSV format
! 
! Generated by KPP-3.3.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : saprc99_EdgeList.csv
! Equation file        : saprc99.kpp
! Output root filename : saprc99
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



# species_index (starts from 1),reaction_index (starts from 1),from,to, directed stoichiometric value
58,1,R1,O3P,1
69,1,R1,NO,1
70,1,NO2,R1,-1
58,2,O3P,R2,-1
62,2,R2,O3,1
58,3,O3P,R3,-1
62,3,O3,R3,-1
58,4,O3P,R4,-1
69,4,NO,R4,-1
70,4,R4,NO2,1
58,5,O3P,R5,-1
69,5,R5,NO,1
70,5,NO2,R5,-1
58,6,O3P,R6,-1
70,6,NO2,R6,-1
71,6,R6,NO3,1
62,7,O3,R7,-1
69,7,NO,R7,-1
70,7,R7,NO2,1
62,8,O3,R8,-1
70,8,NO2,R8,-1
71,8,R8,NO3,1
69,9,NO,R9,-1
70,9,R9,NO2,2
71,9,NO3,R9,-1
69,10,NO,R10,-2
70,10,R10,NO2,2
18,11,R11,N2O5,1
70,11,NO2,R11,-1
71,11,NO3,R11,-1
18,12,N2O5,R12,-1
70,12,R12,NO2,1
71,12,R12,NO3,1
18,13,N2O5,R13,-1
43,13,R13,HNO3,2
69,14,R14,NO,1
70,14,NO2,R14,-1
70,14,R14,NO2,1
71,14,NO3,R14,-1
69,15,R15,NO,1
71,15,NO3,R15,-1
58,16,R16,O3P,1
70,16,R16,NO2,1
71,16,NO3,R16,-1
58,17,R17,O3P,1
