! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Dense species-by-atom composition matrix (variable species only) in CSV format
! 
! Generated by KPP-3.4.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
!        P.O. Sturm,  Univ. of Southern California, Los Angeles, CA, USA
! 
! File                 : saprc99_SpeciesCompositionMatrix.csv
! Equation file        : saprc99.kpp
! Output root filename : saprc99
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



species_index,species_name,IGNORE,H,C,N,O,S
1,H2SO4,0,2,0,0,4,1
2,HCOOH,0,2,1,0,2,0
3,CCO_OH,1,0,0,0,0,0
4,RCO_OH,1,0,0,0,0,0
5,CCO_OOH,0,1,2,0,3,0
6,RCO_OOH,1,0,0,0,0,0
7,XN,1,0,0,0,0,0
8,XC,1,0,0,0,0,0
9,SO2,0,0,0,0,2,1
10,O1D,0,0,0,0,1,0
11,ALK1,1,0,0,0,0,0
12,BACL,1,0,0,0,0,0
13,PAN,0,3,2,1,5,0
14,PAN2,1,0,0,1,0,0
15,PBZN,1,0,0,1,0,0
16,MA_PAN,1,0,0,1,0,0
17,H2O2,0,2,0,0,2,0
18,N2O5,0,0,0,2,5,0
19,HONO,0,1,0,1,2,0
20,ALK2,1,0,0,0,0,0
21,ALK3,1,0,0,0,0,0
22,TBU_O,1,0,0,0,0,0
23,ALK5,1,0,0,0,0,0
24,ARO2,1,0,0,0,0,0
25,HNO4,0,1,0,1,4,0
26,COOH,0,1,1,0,2,0
27,HOCOO,0,1,1,0,3,0
28,BZNO2_O,1,0,0,0,0,0
29,MEOH,1,0,0,0,0,0
30,ALK4,1,0,0,0,0,0
31,ARO1,1,0,0,0,0,0
32,DCB2,1,0,0,0,0,0
33,DCB3,1,0,0,0,0,0
34,CRES,1,0,0,0,0,0
35,DCB1,1,0,0,0,0,0
36,NPHE,1,0,0,0,0,0
37,ROOH,1,0,0,0,0,0
38,BALD,1,0,0,0,0,0
39,PHEN,1,0,0,0,0,0
40,CO,0,0,1,0,1,0
41,MGLY,0,4,3,0,2,0
42,ACET,1,0,0,0,0,0
43,HNO3,0,1,0,1,3,0
44,ETHENE,0,4,2,0,0,0
45,GLY,1,0,0,0,0,0
46,BZ_O,1,0,0,0,0,0
47,ISOPRENE,1,0,0,0,0,0
48,R2O2,1,0,0,0,0,0
49,TERP,1,0,0,0,0,0
50,METHACRO,1,0,0,0,0,0
51,OLE1,1,0,0,0,0,0
52,ISOPROD,1,0,0,0,0,0
53,OLE2,1,0,0,0,0,0
54,MVK,1,0,0,0,0,0
55,CCHO,0,1,2,0,1,0
56,HCHO,0,2,1,0,1,0
57,RNO3,1,0,0,0,0,0
58,O3P,0,0,0,0,1,0
59,RCHO,1,0,3,0,0,0
60,MEK,1,0,0,0,0,0
61,PROD2,1,0,0,0,0,0
62,O3,0,0,0,0,3,0
63,HO2,0,1,0,0,2,0
64,RO2_N,1,0,0,0,0,0
65,MA_RCO3,1,0,0,0,0,0
66,C_O2,1,0,0,0,0,0
67,BZCO_O2,1,0,0,0,0,0
68,RO2_R,1,0,0,0,0,0
69,NO,0,0,0,1,1,0
70,NO2,0,0,0,1,2,0
71,NO3,0,0,0,1,3,0
72,CCO_O2,1,0,0,0,0,0
73,RCO_O2,1,0,0,0,0,0
74,OH,0,1,0,0,1,0
