! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Representation of the mechanism as a bipartite species-reaction graph in CSV format
! 
! Generated by KPP-3.3.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : small_strato_EdgeList.csv
! Equation file        : small_strato.kpp
! Output root filename : small_strato
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



# species_index (starts from 1),reaction_index (starts from 1),from,to, directed stoichiometric value
2,1,R1,O,2
2,2,O,R2,-1
3,2,R2,O3,1
2,3,R3,O,1
3,3,O3,R3,-1
2,4,O,R4,-1
3,4,O3,R4,-1
1,5,R5,O1D,1
3,5,O3,R5,-1
1,6,O1D,R6,-1
2,6,R6,O,1
1,7,O1D,R7,-1
3,7,O3,R7,-1
3,8,O3,R8,-1
4,8,NO,R8,-1
5,8,R8,NO2,1
2,9,O,R9,-1
4,9,R9,NO,1
5,9,NO2,R9,-1
2,10,R10,O,1
4,10,R10,NO,1
5,10,NO2,R10,-1
