! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Representation of the mechanism as a bipartite species-reaction graph in CSV format
! 
! Generated by KPP-3.4.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
!        P.O. Sturm,  Univ. of Southern California, Los Angeles, CA, USA
! 
! File                 : superfast_EdgeList.csv
! Equation file        : superfast.kpp
! Output root filename : superfast
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



species_index,reaction_index,source,target,directed_stoichiometric_value
11,1,R1,HO2,1
14,1,O3,R1,-1
15,1,OH,R1,-1
11,2,HO2,R2,-1
14,2,O3,R2,-1
15,2,R2,OH,1
11,3,HO2,R3,-1
15,3,OH,R3,-1
5,4,R4,H2O2,1
11,4,HO2,R4,-2
5,5,H2O2,R5,-1
11,5,R5,HO2,1
15,5,OH,R5,-1
10,6,R6,NO2,1
12,6,NO,R6,-1
14,6,O3,R6,-1
10,7,R7,NO2,1
11,7,HO2,R7,-1
12,7,NO,R7,-1
15,7,R7,OH,1
1,8,R8,HNO3,1
10,8,NO2,R8,-1
15,8,OH,R8,-1
13,9,R9,MO2,1
15,9,OH,R9,-1
4,10,CO,R10,-1
11,10,R10,HO2,1
15,10,OH,R10,-1
4,11,R11,CO,1
8,11,CH2O,R11,-1
11,11,R11,HO2,1
15,11,OH,R11,-1
9,12,R12,MP,1
11,12,HO2,R12,-1
13,12,MO2,R12,-1
9,13,MP,R13,-1
13,13,R13,MO2,1
15,13,OH,R13,-1
8,14,R14,CH2O,1
9,14,MP,R14,-1
15,14,OH,R14,-1
15,14,R14,OH,1
8,15,R15,CH2O,1
10,15,R15,NO2,1
11,15,R15,HO2,1
12,15,NO,R15,-1
13,15,MO2,R15,-1
8,16,R16,CH2O,2
11,16,R16,HO2,0.8
13,16,MO2,R16,-2
1,17,R17,HNO3,0.5
10,17,NO2,R17,-1
3,18,DMS,R18,-1
6,18,R18,SO2,1
15,18,OH,R18,-1
3,19,DMS,R19,-1
6,19,R19,SO2,0.75
15,19,OH,R19,-1
2,20,R20,SO4,1
6,20,SO2,R20,-1
15,20,OH,R20,-1
2,21,R21,SO4,1
5,21,H2O2,R21,-1
6,21,SO2,R21,-1
2,22,R22,SO4,1
6,22,SO2,R22,-1
14,22,O3,R22,-1
7,23,ISOP,R23,-1
13,23,R23,MO2,2
15,23,OH,R23,-1
7,24,ISOP,R24,-1
7,24,R24,ISOP,1
15,24,OH,R24,-1
7,25,ISOP,R25,-1
7,25,R25,ISOP,1
15,25,OH,R25,-1
15,25,R25,OH,0.5
4,26,R26,CO,0.05
7,26,ISOP,R26,-1
8,26,R26,CH2O,0.87
11,26,R26,HO2,0.06
13,26,R26,MO2,1.86
14,26,O3,R26,-1
14,27,O3,R27,-1
15,27,R27,OH,2
5,28,H2O2,R28,-1
15,28,R28,OH,2
10,29,NO2,R29,-1
12,29,R29,NO,1
14,29,R29,O3,1
4,30,R30,CO,1
8,30,CH2O,R30,-1
11,30,R30,HO2,2
4,31,R31,CO,1
8,31,CH2O,R31,-1
8,32,R32,CH2O,1
9,32,MP,R32,-1
11,32,R32,HO2,1
15,32,R32,OH,1
